年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,2,7,10,5,2,11,8,8,5,4,3,8,12,7,4,3,1,0,2,3,3,2,2,8,1,11,8,26,21,1,3,8,5,5,8,4,7,10,6,1,5,5,3,8,9,7,2,1,3,3,9,5,1,2,0,2,5,0,0,3,6,2,1,1,1,7,5,4,5,2,1,1,4,0,1,9,8,9,6,14,11,1,2,3,1,0,0,1,2,10,9,12,17,5,3,1,3,5,5,0,0,2,4,2,2,1,2,2,1,1,0,17,7,4,6,1,1,1,2,1,2,1,2,18,15,7,5,4,6,2,3,2,3,3,3,16,9,4,2,19,7,3,2,3,1,6,4,4,4,0,2,0,0,0,1,0,1,0,2,0,0,6,4,387,344,731
1,2,1,8,4,4,2,1,5,4,6,4,2,15,10,6,5,4,11,2,0,1,4,1,3,8,5,15,12,31,31,2,6,5,6,7,5,2,9,7,6,6,7,3,2,7,11,6,4,7,8,3,4,2,6,1,1,7,7,3,2,4,6,2,0,0,0,14,8,10,11,0,0,1,1,3,2,10,10,12,17,18,18,3,3,7,1,0,0,5,4,17,9,14,12,4,5,6,1,3,3,0,0,8,3,3,4,2,1,2,1,0,0,17,18,8,5,0,0,1,3,1,0,2,3,13,12,9,10,11,8,4,5,3,4,3,2,9,10,8,6,22,27,0,0,3,6,6,3,7,4,1,3,0,0,1,0,1,0,1,1,0,1,8,2,461,438,899
2,1,2,12,11,5,2,2,9,4,10,4,5,7,11,6,6,7,12,2,0,1,3,1,2,7,5,10,11,37,29,2,4,5,7,8,7,2,6,6,4,12,3,1,3,12,5,6,2,0,5,5,2,8,2,2,0,5,3,6,1,8,5,0,2,1,0,8,7,9,11,3,2,1,3,2,3,9,7,16,9,19,11,3,3,6,4,0,0,4,4,14,13,16,15,7,10,5,9,4,4,0,0,6,2,5,3,1,2,1,2,1,0,15,8,3,7,1,7,1,1,0,2,5,3,13,10,9,11,12,4,0,1,2,1,4,4,14,13,6,9,23,20,0,3,3,8,8,5,6,8,3,2,0,0,0,0,0,0,1,1,1,0,4,9,469,440,909
3,1,5,8,9,4,2,4,6,8,7,3,2,13,9,6,10,7,6,3,0,3,0,3,5,5,9,8,9,39,33,7,3,8,9,12,10,11,10,1,3,5,6,5,5,14,8,5,6,7,4,6,6,4,1,0,1,5,8,2,1,4,4,1,8,0,0,9,15,10,16,0,1,8,7,6,6,5,7,12,16,24,18,6,2,6,5,0,0,4,4,23,10,18,17,2,4,5,5,4,8,0,0,5,2,6,6,0,2,1,1,0,1,18,9,8,4,1,1,3,1,1,0,2,3,14,16,11,6,10,6,7,4,5,9,6,2,17,15,6,2,33,24,1,0,8,6,6,3,3,2,3,4,0,0,3,2,1,2,1,1,2,0,6,9,542,489,"1,031"
4,4,2,15,11,7,5,4,8,3,6,4,5,8,6,8,6,8,6,3,1,4,2,2,5,9,5,11,5,38,43,0,3,2,7,11,8,6,11,8,5,2,5,2,2,7,14,8,10,7,6,9,5,2,3,5,2,13,8,6,2,8,7,0,0,0,0,14,18,8,10,0,0,4,3,8,5,5,10,11,14,28,19,4,1,8,7,0,0,3,6,10,10,10,16,5,11,6,6,2,4,0,0,5,11,7,2,4,5,1,2,0,0,17,9,6,7,2,4,2,1,3,3,4,0,23,19,15,19,14,8,2,4,6,4,8,5,22,21,4,6,25,30,1,2,12,4,5,3,4,4,0,4,0,1,2,0,2,0,3,1,2,1,6,3,557,537,"1,094"
5,2,4,13,10,3,3,3,5,4,10,3,1,11,13,9,6,7,7,2,1,2,1,2,4,4,2,11,10,43,36,5,4,5,4,12,11,5,9,4,6,7,3,4,1,8,6,6,9,6,4,6,3,4,6,2,1,8,5,2,7,7,9,4,5,1,2,12,14,10,14,1,0,4,3,7,7,8,4,11,15,34,36,3,4,5,6,0,1,3,4,18,14,12,13,5,3,6,6,1,4,0,0,7,2,2,6,1,1,2,3,1,1,14,19,6,5,2,2,3,3,2,1,1,4,22,13,12,18,7,6,0,0,3,8,3,4,19,20,8,7,23,29,2,4,7,5,9,3,1,4,2,2,0,0,1,0,1,0,3,1,0,0,4,5,523,532,"1,055"
6,3,1,13,6,6,6,12,4,5,5,4,5,15,13,12,4,5,7,1,1,4,3,2,1,7,8,14,9,41,39,6,2,8,7,14,12,3,13,6,5,4,6,3,8,14,10,7,6,6,1,7,5,3,4,0,0,6,8,1,10,11,9,9,4,1,1,11,8,11,11,1,0,4,7,6,10,5,12,14,12,29,43,4,3,4,5,0,0,2,3,17,12,10,17,7,3,4,8,2,4,0,0,8,6,5,11,3,8,2,0,2,1,16,13,7,6,0,3,1,1,3,2,2,1,15,24,21,14,8,8,5,7,8,8,3,7,17,18,4,2,29,33,1,3,9,8,4,6,5,3,5,4,0,1,0,0,3,1,1,1,1,0,10,5,582,586,"1,168"
7,6,1,10,7,3,4,5,8,3,10,4,4,30,12,11,12,11,6,2,2,2,2,1,3,6,3,4,15,57,58,4,5,7,4,8,11,6,4,9,4,1,4,3,2,5,12,4,4,9,4,4,3,4,1,1,1,8,8,6,4,7,10,2,5,1,1,15,10,15,14,0,0,5,4,8,7,6,16,9,14,30,31,0,4,5,5,1,0,1,7,17,13,12,16,5,5,5,9,7,6,0,0,11,4,10,5,1,4,2,4,1,1,13,10,7,6,2,4,3,1,3,2,2,3,16,16,30,26,10,13,7,3,3,5,8,7,12,20,3,8,24,25,2,3,7,7,8,8,3,7,5,3,0,0,3,2,1,2,3,2,2,1,5,3,592,600,"1,192"
8,5,0,11,8,1,5,3,9,4,6,2,1,29,19,11,8,7,6,3,3,1,2,2,2,3,3,17,5,49,52,2,3,9,6,9,10,6,9,7,8,2,1,10,5,8,8,9,14,2,6,4,4,2,9,0,1,9,3,2,6,8,8,6,5,0,1,10,4,24,13,3,0,4,3,15,4,12,7,15,15,40,32,3,3,3,6,1,0,5,3,9,13,13,11,5,5,4,7,6,5,0,0,10,5,3,11,0,3,5,1,1,0,12,8,9,7,7,6,3,2,2,3,4,4,11,15,22,18,9,9,3,7,8,8,9,7,10,11,6,13,25,24,1,4,7,12,6,9,5,2,5,3,1,0,2,3,0,0,1,3,0,1,10,8,612,574,"1,186"
