年齢別人口　令和３年６月１日現在,,,,
年齢,男,女,合計,
0,382,348,730,
1,462,436,898,
2,478,441,919,
3,539,494,"1,033",
4,554,538,"1,092",
5,531,537,"1,068",
6,576,587,"1,163",
7,615,599,"1,214",
8,595,557,"1,152",
9,605,561,"1,166",
小計,"5,337","5,098","10,435",
10,609,604,"1,213",
11,624,625,"1,249",
12,677,634,"1,311",
13,620,615,"1,235",
14,648,623,"1,271",
15,616,559,"1,175",
16,621,571,"1,192",
17,627,637,"1,264",
18,706,638,"1,344",
19,735,698,"1,433",
小計,"6,483","6,204","12,687",
20,753,745,"1,498",
21,775,772,"1,547",
22,743,777,"1,520",
23,768,737,"1,505",
24,794,770,"1,564",
25,753,723,"1,476",
26,731,719,"1,450",
27,715,676,"1,391",
28,684,653,"1,337",
29,661,635,"1,296",
小計,"7,377","7,207","14,584",
30,679,612,"1,291",
31,686,613,"1,299",
32,698,700,"1,398",
33,760,705,"1,465",
34,850,764,"1,614",
35,821,791,"1,612",
36,896,840,"1,736",
37,936,893,"1,829",
38,921,952,"1,873",
39,938,909,"1,847",
小計,"8,185","7,779","15,964",
40,"1,025",936,"1,961",
41,"1,061",919,"1,980",
42,"1,108",992,"2,100",
43,"1,105","1,101","2,206",
44,"1,179","1,079","2,258",
45,"1,141","1,120","2,261",
46,"1,261","1,225","2,486",
47,"1,277","1,237","2,514",
48,"1,258","1,251","2,509",
49,"1,385","1,275","2,660",
小計,"11,800","11,135","22,935",
50,"1,180","1,181","2,361",
51,"1,199","1,154","2,353",
52,"1,230","1,161","2,391",
53,"1,165","1,083","2,248",
54,"1,094",953,"2,047",
55,968,954,"1,922",
56,"1,033","1,017","2,050",
57,985,898,"1,883",
58,906,898,"1,804",
59,876,844,"1,720",
小計,"10,636","10,143","20,779",
60,810,806,"1,616",
61,793,799,"1,592",
62,769,842,"1,611",
63,752,840,"1,592",
64,732,822,"1,554",
65,749,861,"1,610",
66,749,946,"1,695",
67,795,933,"1,728",
68,853,"1,033","1,886",
69,938,"1,056","1,994",
小計,"7,940","8,938","16,878",
70,992,"1,186","2,178",
71,"1,069","1,319","2,388",
72,"1,218","1,389","2,607",
73,"1,261","1,515","2,776",
74,"1,005","1,171","2,176",
75,654,808,"1,462",
76,800,942,"1,742",
77,906,"1,237","2,143",
78,874,"1,040","1,914",
79,869,988,"1,857",
小計,"9,648","11,595","21,243",
80,747,962,"1,709",
81,667,797,"1,464",
82,514,688,"1,202",
83,561,675,"1,236",
84,491,617,"1,108",
85,422,661,"1,083",
86,368,489,857,
87,325,449,774,
88,272,435,707,
89,207,365,572,
小計,"4,574","6,138","10,712",
90,171,317,488,
91,114,244,358,
92,95,217,312,
93,54,197,251,
94,48,139,187,
95,32,111,143,
96,24,89,113,
97,16,62,78,
98,11,42,53,
99,1,33,34,
小計,566,"1,451","2,017",
100以上,9,61,70,
合計,"72,555","75,749","148,304",
,,,,
