年齢別人口　令和３年９月１日現在,,,,
年齢,男,女,合計,
0,393,338,731,
1,451,411,862,
2,472,465,937,
3,513,465,978,
4,574,529,"1,103",
5,526,539,"1,065",
6,573,576,"1,149",
7,577,581,"1,158",
8,615,585,"1,200",
9,602,540,"1,142",
小計,"5,296","5,029","10,325",
10,634,582,"1,216",
11,598,619,"1,217",
12,667,635,"1,302",
13,631,633,"1,264",
14,644,616,"1,260",
15,605,577,"1,182",
16,624,586,"1,210",
17,626,612,"1,238",
18,670,634,"1,304",
19,749,674,"1,423",
小計,"6,448","6,168","12,616",
20,771,750,"1,521",
21,751,752,"1,503",
22,737,754,"1,491",
23,790,778,"1,568",
24,778,739,"1,517",
25,754,722,"1,476",
26,739,711,"1,450",
27,690,677,"1,367",
28,690,648,"1,338",
29,686,670,"1,356",
小計,"7,386","7,201","14,587",
30,680,617,"1,297",
31,718,613,"1,331",
32,656,662,"1,318",
33,752,681,"1,433",
34,850,767,"1,617",
35,800,796,"1,596",
36,903,818,"1,721",
37,911,869,"1,780",
38,930,937,"1,867",
39,947,920,"1,867",
小計,"8,147","7,680","15,827",
40,989,925,"1,914",
41,"1,050",947,"1,997",
42,"1,098",957,"2,055",
43,"1,078","1,069","2,147",
44,"1,128","1,105","2,233",
45,"1,196","1,098","2,294",
46,"1,232","1,183","2,415",
47,"1,252","1,233","2,485",
48,"1,276","1,254","2,530",
49,"1,380","1,266","2,646",
小計,"11,679","11,037","22,716",
50,"1,229","1,206","2,435",
51,"1,193","1,143","2,336",
52,"1,201","1,174","2,375",
53,"1,205","1,149","2,354",
54,"1,125",986,"2,111",
55,966,892,"1,858",
56,"1,028","1,028","2,056",
57,995,945,"1,940",
58,919,867,"1,786",
59,880,857,"1,737",
小計,"10,741","10,247","20,988",
60,828,834,"1,662",
61,774,781,"1,555",
62,790,853,"1,643",
63,759,835,"1,594",
64,719,821,"1,540",
65,749,858,"1,607",
66,783,910,"1,693",
67,738,935,"1,673",
68,853,"1,032","1,885",
69,922,"1,040","1,962",
小計,"7,915","8,899","16,814",
70,948,"1,136","2,084",
71,"1,043","1,299","2,342",
72,"1,207","1,385","2,592",
73,"1,252","1,463","2,715",
74,"1,103","1,278","2,381",
75,651,852,"1,503",
76,810,922,"1,732",
77,865,"1,190","2,055",
78,867,"1,076","1,943",
79,899,"1,000","1,899",
小計,"9,645","11,601","21,246",
80,771,951,"1,722",
81,651,866,"1,517",
82,570,691,"1,261",
83,538,676,"1,214",
84,494,608,"1,102",
85,441,660,"1,101",
86,362,527,889,
87,326,441,767,
88,257,419,676,
89,222,388,610,
小計,"4,632","6,227","10,859",
90,173,292,465,
91,114,251,365,
92,98,214,312,
93,61,203,264,
94,47,146,193,
95,36,112,148,
96,19,97,116,
97,16,59,75,
98,10,45,55,
99,3,28,31,
小計,577,"1,447","2,024",
100以上,5,58,63,
合計,"72,471","75,594","148,065",
,,,,
