年齢別人口　令和３年７月１日現在,,,,
年齢,男,女,合計,
0,387,344,731,
1,461,438,899,
2,469,440,909,
3,542,489,"1,031",
4,557,537,"1,094",
5,523,532,"1,055",
6,582,586,"1,168",
7,592,600,"1,192",
8,612,574,"1,186",
9,611,552,"1,163",
小計,"5,336","5,092","10,428",
10,606,595,"1,201",
11,617,607,"1,224",
12,673,649,"1,322",
13,624,612,"1,236",
14,639,632,"1,271",
15,616,560,"1,176",
16,616,565,"1,181",
17,644,634,"1,278",
18,685,639,"1,324",
19,748,701,"1,449",
小計,"6,468","6,194","12,662",
20,748,745,"1,493",
21,767,759,"1,526",
22,747,778,"1,525",
23,779,746,"1,525",
24,792,756,"1,548",
25,743,737,"1,480",
26,738,709,"1,447",
27,703,664,"1,367",
28,696,666,"1,362",
29,677,644,"1,321",
小計,"7,390","7,204","14,594",
30,679,605,"1,284",
31,689,620,"1,309",
32,697,700,"1,397",
33,746,691,"1,437",
34,860,768,"1,628",
35,810,789,"1,599",
36,911,839,"1,750",
37,916,888,"1,804",
38,936,926,"1,862",
39,925,920,"1,845",
小計,"8,169","7,746","15,915",
40,"1,009",927,"1,936",
41,"1,065",919,"1,984",
42,"1,108",991,"2,099",
43,"1,080","1,082","2,162",
44,"1,174","1,089","2,263",
45,"1,161","1,112","2,273",
46,"1,238","1,217","2,455",
47,"1,273","1,245","2,518",
48,"1,267","1,244","2,511",
49,"1,393","1,275","2,668",
小計,"11,768","11,101","22,869",
50,"1,192","1,179","2,371",
51,"1,204","1,139","2,343",
52,"1,221","1,182","2,403",
53,"1,175","1,090","2,265",
54,"1,099",962,"2,061",
55,957,951,"1,908",
56,"1,031","1,000","2,031",
57,996,919,"1,915",
58,921,888,"1,809",
59,863,852,"1,715",
小計,"10,659","10,162","20,821",
60,820,814,"1,634",
61,782,783,"1,565",
62,780,844,"1,624",
63,741,852,"1,593",
64,731,818,"1,549",
65,756,861,"1,617",
66,748,935,"1,683",
67,790,938,"1,728",
68,852,"1,031","1,883",
69,942,"1,051","1,993",
小計,"7,942","8,927","16,869",
70,975,"1,171","2,146",
71,"1,043","1,298","2,341",
72,"1,220","1,387","2,607",
73,"1,267","1,498","2,765",
74,"1,036","1,216","2,252",
75,642,821,"1,463",
76,806,934,"1,740",
77,904,"1,231","2,135",
78,875,"1,037","1,912",
79,863,"1,003","1,866",
小計,"9,631","11,596","21,227",
80,765,950,"1,715",
81,662,813,"1,475",
82,534,697,"1,231",
83,550,675,"1,225",
84,488,617,"1,105",
85,434,657,"1,091",
86,360,503,863,
87,329,440,769,
88,266,434,700,
89,207,364,571,
小計,"4,595","6,150","10,745",
90,167,320,487,
91,114,242,356,
92,97,212,309,
93,56,199,255,
94,47,138,185,
95,33,117,150,
96,23,91,114,
97,16,58,74,
98,12,47,59,
99,1,29,30,
小計,566,"1,453","2,019",
100以上,7,61,68,
合計,"72,531","75,686","148,217",
