年齢別人口　令和３年１０月１日現在,,,,
年齢,男,女,合計,
0,391,343,734,
1,435,399,834,
2,485,457,942,
3,496,471,967,
4,577,511,"1,088",
5,531,544,"1,075",
6,561,561,"1,122",
7,584,591,"1,175",
8,629,583,"1,212",
9,589,545,"1,134",
小計,"5,278","5,005","10,283",
10,611,571,"1,182",
11,615,620,"1,235",
12,660,632,"1,292",
13,622,631,"1,253",
14,651,614,"1,265",
15,620,595,"1,215",
16,615,570,"1,185",
17,617,602,"1,219",
18,676,650,"1,326",
19,730,661,"1,391",
小計,"6,417","6,146","12,563",
20,764,737,"1,501",
21,759,766,"1,525",
22,751,751,"1,502",
23,782,773,"1,555",
24,769,724,"1,493",
25,761,721,"1,482",
26,735,701,"1,436",
27,687,682,"1,369",
28,691,662,"1,353",
29,667,663,"1,330",
小計,"7,366","7,180","14,546",
30,681,607,"1,288",
31,729,619,"1,348",
32,652,647,"1,299",
33,756,701,"1,457",
34,862,751,"1,613",
35,783,805,"1,588",
36,885,785,"1,670",
37,931,871,"1,802",
38,924,928,"1,852",
39,942,922,"1,864",
小計,"8,145","7,636","15,781",
40,971,919,"1,890",
41,"1,066",934,"2,000",
42,"1,102",971,"2,073",
43,"1,071","1,061","2,132",
44,"1,122","1,110","2,232",
45,"1,208","1,100","2,308",
46,"1,198","1,158","2,356",
47,"1,248","1,232","2,480",
48,"1,293","1,250","2,543",
49,"1,357","1,266","2,623",
小計,"11,636","11,001","22,637",
50,"1,229","1,224","2,453",
51,"1,212","1,166","2,378",
52,"1,201","1,123","2,324",
53,"1,202","1,161","2,363",
54,"1,144","1,018","2,162",
55,939,882,"1,821",
56,"1,041","1,028","2,069",
57,"1,016",937,"1,953",
58,919,899,"1,818",
59,890,845,"1,735",
小計,"10,793","10,283","21,076",
60,815,832,"1,647",
61,801,780,"1,581",
62,763,860,"1,623",
63,772,836,"1,608",
64,719,826,"1,545",
65,744,836,"1,580",
66,773,914,"1,687",
67,738,937,"1,675",
68,844,"1,015","1,859",
69,917,"1,045","1,962",
小計,"7,886","8,881","16,767",
70,940,"1,121","2,061",
71,"1,038","1,277","2,315",
72,"1,187","1,400","2,587",
73,"1,251","1,453","2,704",
74,"1,122","1,301","2,423",
75,674,865,"1,539",
76,792,916,"1,708",
77,880,"1,183","2,063",
78,852,"1,076","1,928",
79,890,"1,011","1,901",
小計,"9,626","11,603","21,229",
80,792,972,"1,764",
81,665,861,"1,526",
82,575,697,"1,272",
83,532,680,"1,212",
84,498,614,"1,112",
85,439,645,"1,084",
86,367,540,907,
87,325,442,767,
88,266,433,699,
89,219,386,605,
小計,"4,678","6,270","10,948",
90,171,284,455,
91,119,262,381,
92,97,210,307,
93,62,195,257,
94,47,159,206,
95,35,106,141,
96,20,96,116,
97,18,61,79,
98,8,49,57,
99,4,28,32,
小計,581,"1,450","2,031",
100以上,5,56,61,
合計,"72,411","75,511","147,922",
,,,,
