年齢別人口　令和３年８月１日現在,,,,
年齢,男,女,合計,
0,388,344,732,
1,457,424,881,
2,480,452,932,
3,536,479,"1,015",
4,564,527,"1,091",
5,525,537,"1,062",
6,574,584,"1,158",
7,589,582,"1,171",
8,601,592,"1,193",
9,618,559,"1,177",
小計,"5,332","5,080","10,412",
10,614,572,"1,186",
11,610,621,"1,231",
12,673,637,"1,310",
13,628,624,"1,252",
14,630,624,"1,254",
15,633,568,"1,201",
16,615,580,"1,195",
17,614,617,"1,231",
18,690,635,"1,325",
19,747,697,"1,444",
小計,"6,454","6,175","12,629",
20,761,750,"1,511",
21,762,756,"1,518",
22,744,760,"1,504",
23,779,765,"1,544",
24,796,746,"1,542",
25,748,709,"1,457",
26,723,724,"1,447",
27,705,669,"1,374",
28,689,660,"1,349",
29,682,656,"1,338",
小計,"7,389","7,195","14,584",
30,690,606,"1,296",
31,706,629,"1,335",
32,661,662,"1,323",
33,747,700,"1,447",
34,875,762,"1,637",
35,804,795,"1,599",
36,893,831,"1,724",
37,931,875,"1,806",
38,912,921,"1,833",
39,942,936,"1,878",
小計,"8,161","7,717","15,878",
40,"1,005",915,"1,920",
41,"1,062",941,"2,003",
42,"1,096",976,"2,072",
43,"1,096","1,076","2,172",
44,"1,121","1,102","2,223",
45,"1,174","1,089","2,263",
46,"1,257","1,210","2,467",
47,"1,252","1,235","2,487",
48,"1,284","1,239","2,523",
49,"1,373","1,292","2,665",
小計,"11,720","11,075","22,795",
50,"1,208","1,180","2,388",
51,"1,200","1,151","2,351",
52,"1,210","1,177","2,387",
53,"1,200","1,119","2,319",
54,"1,108",970,"2,078",
55,967,924,"1,891",
56,"1,019","1,018","2,037",
57,"1,005",922,"1,927",
58,915,874,"1,789",
59,867,855,"1,722",
小計,"10,699","10,190","20,889",
60,829,831,"1,660",
61,777,768,"1,545",
62,776,848,"1,624",
63,760,854,"1,614",
64,729,828,"1,557",
65,754,851,"1,605",
66,755,933,"1,688",
67,762,914,"1,676",
68,851,"1,030","1,881",
69,920,"1,048","1,968",
小計,"7,913","8,905","16,818",
70,979,"1,170","2,149",
71,"1,037","1,290","2,327",
72,"1,213","1,384","2,597",
73,"1,261","1,489","2,750",
74,"1,069","1,245","2,314",
75,642,834,"1,476",
76,810,922,"1,732",
77,888,"1,218","2,106",
78,865,"1,049","1,914",
79,890,"1,009","1,899",
小計,"9,654","11,610","21,264",
80,766,941,"1,707",
81,652,843,"1,495",
82,550,694,"1,244",
83,550,680,"1,230",
84,490,603,"1,093",
85,441,667,"1,108",
86,352,509,861,
87,329,444,773,
88,266,418,684,
89,214,384,598,
小計,"4,610","6,183","10,793",
90,164,302,466,
91,115,253,368,
92,96,215,311,
93,60,197,257,
94,47,146,193,
95,33,112,145,
96,22,89,111,
97,15,61,76,
98,12,50,62,
99,1,28,29,
小計,565,"1,453","2,018",
100以上,6,60,66,
合計,"72,503","75,643","148,146",
,,,,
