"年度[西暦]","防災住民組織（組織数）","地域防災協議会（組織数）"
2013,229,22
2014,228,22
2015,229,22
2016,231,22
2017,232,22

"平成30年度港区行政資料集　防災住民組織・地域防災ネットワーク（防災協議会）","Ver201803",
