"年度","白金の森[人]","港南の郷[人]","サン･サン赤坂[人]","南麻布[人]","台場[人]","北青山[人]","芝[人]","虎ノ門[人]","合計[人]"
"2017","10148","8072","10176","7158","9104","11481","10579","8720","75438"
"2018","9609","8055","9959","7268","9728","11478","9591","8997","74685"
"2019","9112","7626","9835","7162","9501","11312","9333","9212","73093"
"2020","7505","7128","8239","5862","8908","10034","9071","8996","65743"
"2021","7251","6377","8516","6032","8862","8963","8795","9272","64068"

"令和4年度港区行政資料集　通所介護事業（高齢者在宅サービスセンター）延利用者数","Ver202203",,,,,,,,
