令和５年４月７日現在中学校生徒数,,,,,,,
,※上段は生徒数、下段は学級数。,,,,,,
,,,,,,,
,,,,,,,
,,通常の学級,,,,特別支援学級,総計
,,1年,2年,3年,計,固定,
1,高南,57,46,68,171,,171
,,2,2,2,6,,6
2,杉森,89,100,84,273,,273
,,3,3,3,9,,9
3,阿佐ヶ谷,74,76,68,218,12,230
,,3,2,2,7,2,9
4,東田,99,106,132,337,,337
,,3,3,4,10,,10
5,松渓,92,102,129,323,,323
,,3,3,4,10,,10
6,天沼,100,77,104,281,,281
,,3,2,3,8,,8
7,東原,90,88,78,256,,256
,,3,3,2,8,,8
8,中瀬,143,180,161,484,,484
,,4,5,5,14,,14
9,井荻,161,178,132,471,,471
,,5,5,4,14,,14
10,井草,168,140,162,470,19,489
,,5,4,5,14,3,17
11,荻窪,92,75,93,260,,260
,,3,2,3,8,,8
12,神明,76,88,85,249,,249
,,3,3,3,9,,9
13,宮前,99,99,107,305,15,320
,,3,3,3,9,2,11
14,富士見丘,69,88,78,235,,235
,,2,3,2,7,,7
15,高井戸,142,161,143,446,,446
,,5,5,4,14,,14
16,向陽,81,117,96,294,,294
,,3,3,3,9,,9
17,松ノ木,82,84,77,243,,243
,,3,3,2,8,,8
18,大宮,74,59,54,187,15,202
,,3,2,2,7,2,9
19,泉南,74,68,74,216,,216
,,3,2,2,7,,7
20,和田,68,78,78,224,,224
,,2,2,2,6,,6
21,西宮,114,122,112,348,,348
,,4,4,3,11,,11
22,和泉,90,81,87,258,23,281
,,3,3,3,9,3,12
23,高円寺,50,54,57,161,10,171
,,2,2,2,6,2,8
中学校計,,2184,2267,2259,6710,94,6804
,,73,69,68,210,14,224
