年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／就業率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／就業率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成23年平均,2011,,11694,7420,7062,358,4270,63.5,60.4,4.8,5756,4336,4122,214,1418,75.3,71.6,4.9,5938,3084,2940,144,2853,51.9,49.5,4.7
実数／平成24年平均,2012,,11730,7406,7070,336,4321,63.1,60.3,4.5,5768,4328,4130,198,1439,75,71.6,4.6,5962,3078,2940,138,2883,51.6,49.3,4.5
実数／平成25年平均,2013,,11776,7475,7163,312,4294,63.5,60.8,4.2,5787,4315,4130,185,1468,74.6,71.4,4.3,5989,3160,3033,127,2826,52.8,50.6,4
実数／平成26年平均,2014,,11840,7599,7312,287,4236,64.2,61.8,3.8,5815,4353,4183,170,1459,74.9,71.9,3.9,6026,3247,3129,117,2776,53.9,51.9,3.6
実数／平成27年平均,2015,,11925,7675,7400,275,4245,64.4,62.1,3.6,5853,4401,4232,169,1449,75.2,72.3,3.8,6072,3274,3168,106,2796,53.9,52.2,3.2
実数／平成28年平均,2016,,12065,7768,7517,251,4292,64.4,62.3,3.2,5920,4429,4288,142,1489,74.8,72.4,3.2,6144,3338,3229,110,2804,54.3,52.6,3.3
実数／平成29年平均,2017,,12158,7908,7682,226,4244,65,63.2,2.9,5962,4466,4332,134,1494,74.9,72.7,3,6197,3442,3349,92,2750,55.5,54,2.7
実数／平成24年４～６月平均,2012,04～06,11733,7497,7135,362,4232,63.9,60.8,4.8,5770,4434,4233,202,1333,76.8,73.4,4.6,5963,3063,2903,160,2899,51.4,48.7,5.2
実数／平成24年７～９月平均,2012,07～09,11738,7397,7044,353,4340,63,60,4.8,5771,4301,4091,210,1469,74.5,70.9,4.9,5967,3097,2953,143,2870,51.9,49.5,4.6
実数／平成24年10～12月平均,2012,10～12,11744,7334,7029,305,4407,62.4,59.9,4.2,5773,4284,4111,173,1487,74.2,71.2,4,5971,3050,2918,132,2920,51.1,48.9,4.3
実数／平成25年１～３月平均,2013,01～03,11744,7419,7091,328,4316,63.2,60.4,4.4,5772,4316,4105,210,1451,74.8,71.1,4.9,5971,3103,2986,117,2865,52,50,3.8
実数／平成25年４～６月平均,2013,04～06,11780,7568,7252,316,4202,64.2,61.6,4.2,5788,4391,4212,178,1394,75.9,72.8,4.1,5991,3177,3039,138,2808,53,50.7,4.3
実数／平成25年７～９月平均,2013,07～09,11788,7418,7102,316,4364,62.9,60.2,4.3,5793,4281,4091,190,1510,73.9,70.6,4.4,5995,3137,3011,126,2854,52.3,50.2,4
実数／平成25年10～12月平均,2013,10～12,11794,7496,7208,288,4293,63.6,61.1,3.8,5794,4274,4112,162,1517,73.8,71,3.8,5999,3222,3096,126,2777,53.7,51.6,3.9
