国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成30年中の増減
総数,0,13000,総数,2723,-673,4967,14831,2228,1626,3789,-3893,4345,8263,1215,-2659,36762
総数,1,13100,区部,2550,-425,4049,13000,1812,1245,3807,-3000,3273,7421,1192,-2381,32543
総数,1,13200,市部,179,-256,913,1819,403,376,-24,-878,1074,840,18,-284,4180
総数,2,13300,郡部,-3,6,4,10,9,3,5,-17,-4,0,-3,7,17
総数,2,13350,島部,-3,2,1,2,4,2,1,2,2,2,8,-1,22
総数,1,13100,区部,2550,-425,4049,13000,1812,1245,3807,-3000,3273,7421,1192,-2381,32543
総数,4,13101,千代田区,42,32,32,81,6,35,27,-5,70,58,18,-61,335
総数,4,13102,中央区,94,65,71,124,94,79,54,-51,33,142,43,-61,687
総数,4,13103,港区,429,120,194,237,191,43,-97,22,180,206,110,-298,1337
総数,4,13104,新宿区,308,-305,663,2493,53,146,876,-651,472,1128,99,-192,5090
総数,4,13105,文京区,35,-9,114,306,6,31,-57,-145,186,297,35,-141,658
総数,4,13106,台東区,77,57,57,698,29,29,216,-70,62,430,84,-30,1639
総数,4,13107,墨田区,37,20,55,283,41,25,119,-18,45,134,43,6,790
総数,4,13108,江東区,132,-78,128,382,63,-7,55,-76,13,341,154,-60,1047
総数,4,13109,品川区,114,52,209,135,117,-3,82,-34,62,98,27,-98,761
総数,4,13110,目黒区,36,-35,55,298,1,8,-8,-155,258,82,47,-143,444
総数,4,13111,大田区,5,-25,57,409,102,129,16,-168,78,203,53,-140,719
総数,4,13112,世田谷区,190,-12,411,724,145,83,132,-204,190,226,6,-161,1730
総数,4,13113,渋谷区,138,7,39,136,28,-51,-40,-6,63,64,7,-180,205
総数,4,13114,中野区,63,-52,208,615,61,153,216,-234,224,386,-33,-105,1502
総数,4,13115,杉並区,32,-62,332,518,54,101,117,-339,169,269,25,-73,1143
総数,4,13116,豊島区,108,-143,252,1570,94,-32,443,-285,260,550,-22,-138,2657
総数,4,13117,北区,97,-34,132,826,12,27,355,-115,99,435,32,-2,1864
総数,4,13118,荒川区,9,-50,46,643,-5,28,192,-107,9,381,30,-55,1121
総数,4,13119,板橋区,119,-18,142,748,43,33,414,-117,136,473,121,-36,2058
総数,4,13120,練馬区,39,-57,179,581,63,63,136,-152,164,194,-30,-132,1048
総数,4,13121,足立区,118,24,-95,269,374,86,79,53,109,328,112,-18,1439
総数,4,13122,葛飾区,68,-31,155,565,19,64,120,-118,136,383,63,-149,1275
総数,4,13123,江戸川区,260,109,613,359,221,175,360,-25,255,613,168,-114,2994
総数,1,13200,市部,179,-256,913,1819,403,376,-24,-878,1074,840,18,-284,4180
総数,4,13201,八王子市,17,-76,25,313,32,41,-57,-174,176,88,32,-3,414
総数,4,13202,立川市,26,10,28,65,33,66,49,8,72,74,47,5,483
総数,4,13203,武蔵野市,37,-18,93,53,16,31,-17,-40,18,61,-16,-29,189
総数,4,13204,三鷹市,-14,-2,88,120,13,-13,12,30,163,47,-24,-34,386
総数,4,13205,青梅市,12,10,15,19,16,35,-22,-11,11,13,2,4,104
総数,4,13206,府中市,-15,-9,88,220,39,15,-45,-25,164,64,9,5,510
総数,4,13207,昭島市,9,-28,-5,-87,62,-24,-22,-33,-27,-7,-38,-46,-246
総数,4,13208,調布市,31,-20,55,141,30,36,20,-54,73,76,8,17,413
総数,4,13209,町田市,40,-5,100,46,20,45,33,-43,51,-1,-12,-35,239
総数,4,13210,小金井市,19,-9,79,67,11,58,-23,-19,37,60,-7,3,276
総数,4,13211,小平市,-47,-69,66,119,5,12,-44,-195,168,105,15,-36,99
総数,4,13212,日野市,-7,-27,-24,51,-11,-1,-7,-42,36,36,13,-15,2
総数,4,13213,東村山市,-7,-3,18,32,20,-9,-21,-24,17,1,-7,-19,-2
総数,4,13214,国分寺市,12,-5,29,90,-1,-14,22,-17,38,13,13,-15,165
総数,4,13215,国立市,-5,8,3,39,21,19,20,8,6,4,-2,-8,113
総数,4,13218,福生市,71,-1,108,170,-4,-19,18,-17,-27,58,-20,-4,333
総数,4,13219,狛江市,-2,-14,9,25,14,32,34,-40,-2,14,-10,-15,45
総数,4,13220,東大和市,2,7,12,10,2,13,1,-9,-4,-4,-7,5,28
総数,4,13221,清瀬市,1,1,-1,27,8,-15,15,-22,6,6,4,-16,14
総数,4,13222,東久留米市,-17,-1,10,6,7,18,-7,-42,-4,14,19,18,21
総数,4,13223,武蔵村山市,7,-6,4,11,17,23,-21,-25,-22,-28,-10,-10,-60
総数,4,13224,多摩市,1,-10,5,111,19,-8,-21,-53,58,12,-1,-17,96
総数,4,13225,稲城市,-7,-1,11,7,7,1,-4,13,15,3,2,-28,19
総数,4,13227,羽村市,25,2,6,-7,8,5,1,-2,-7,13,6,-14,36
総数,4,13228,あきる野市,-18,10,6,21,4,12,18,-28,-11,9,6,10,39
総数,4,13229,西東京市,8,0,85,150,15,17,44,-22,69,109,-4,-7,464
総数,1,13550,町村部,-6,8,5,12,13,5,6,-15,-2,2,5,6,39
総数,2,13300,郡部,-3,6,4,10,9,3,5,-17,-4,0,-3,7,17
総数,4,13303,瑞穂町,0,6,-2,0,4,0,4,-17,-2,-5,-4,-2,-18
総数,4,13305,日の出町,-2,0,6,0,5,4,0,1,0,0,1,8,23
総数,4,13307,檜原村,0,0,0,0,0,0,2,-2,0,0,0,0,0
総数,4,13308,奥多摩町,-1,0,0,10,0,-1,-1,1,-2,5,0,1,12
総数,2,13350,島部,-3,2,1,2,4,2,1,2,2,2,8,-1,22
総数,3,13360,大島支庁,-3,3,0,1,3,2,1,-2,1,2,6,-1,13
総数,4,13361,大島町,-4,3,0,-2,1,-1,1,1,1,0,6,-1,5
総数,4,13362,利島村,0,0,0,1,0,0,0,0,0,1,0,0,2
総数,4,13363,新島村,1,0,0,2,0,3,0,-3,0,1,0,0,4
総数,4,13364,神津島村,0,0,0,0,2,0,0,0,0,0,0,0,2
総数,3,13380,三宅支庁,0,0,0,0,-1,-1,0,0,1,-1,0,0,-2
総数,4,13381,三宅村,0,0,0,0,-1,-1,0,0,1,-1,0,0,-2
総数,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
総数,3,13400,八丈支庁,0,-1,1,1,2,1,0,4,0,1,1,0,10
総数,4,13401,八丈町,0,-1,1,1,2,1,0,4,0,1,1,0,10
総数,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
総数,3,13420,小笠原支庁,0,0,0,0,0,0,0,0,0,0,1,0,1
総数,4,13421,小笠原村,0,0,0,0,0,0,0,0,0,0,1,0,1
日本人,0,13000,総数,1078,683,2300,510,1379,1588,454,-1450,-376,522,-51,-1509,5128
日本人,1,13100,区部,942,572,1719,337,1131,1150,216,-986,-370,463,-39,-1378,3757
日本人,1,13200,市部,139,110,569,173,236,429,231,-458,-3,58,-12,-138,1334
日本人,2,13300,郡部,-2,1,12,1,9,5,6,-3,-2,-2,-1,8,32
日本人,2,13350,島部,-1,0,0,-1,3,4,1,-3,-1,3,1,-1,5
日本人,1,13100,区部,942,572,1719,337,1131,1150,216,-986,-370,463,-39,-1378,3757
日本人,4,13101,千代田区,20,13,4,19,-1,12,-16,-14,14,6,3,-24,36
日本人,4,13102,中央区,46,53,24,-2,47,57,-13,-64,-10,49,-29,-35,123
日本人,4,13103,港区,90,61,59,37,70,81,-27,-61,-29,-1,-17,-136,127
日本人,4,13104,新宿区,44,15,112,40,73,105,31,-41,-183,14,19,-35,194
日本人,4,13105,文京区,21,26,44,31,-1,31,-84,-54,-30,38,8,-86,-56
日本人,4,13106,台東区,21,19,11,7,20,8,-9,-13,21,23,31,-18,121
日本人,4,13107,墨田区,17,1,-2,11,6,17,26,-37,-16,4,-4,-47,-24
日本人,4,13108,江東区,66,-51,71,41,34,-1,-2,-101,-19,15,-8,-78,-33
日本人,4,13109,品川区,64,36,115,29,66,23,22,-42,-7,13,-1,-78,240
日本人,4,13110,目黒区,21,2,49,71,1,17,62,-79,6,23,-4,-100,69
日本人,4,13111,大田区,1,-14,-28,107,48,108,-45,-134,-47,34,-13,-82,-65
日本人,4,13112,世田谷区,179,101,322,240,92,120,122,-102,-2,11,-48,-94,941
日本人,4,13113,渋谷区,50,3,-10,-1,3,16,10,6,-39,-25,-31,-61,-79
