国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成30年中の死亡数
総数,0,13000,総数,12696,10960,10535,8891,10130,8688,9455,10072,8550,10519,10107,9854,120457
総数,1,13100,区部,8487,7431,7041,6027,6811,5882,6371,6911,5662,7120,6680,6624,81047
総数,1,13200,市部,4065,3405,3373,2767,3202,2715,2998,3058,2794,3280,3309,3121,38087
総数,2,13300,郡部,94,87,85,70,86,62,62,79,66,88,87,70,936
総数,2,13350,島部,50,37,36,27,31,29,24,24,28,31,31,39,387
総数,1,13100,区部,8487,7431,7041,6027,6811,5882,6371,6911,5662,7120,6680,6624,81047
総数,4,13101,千代田区,35,35,44,27,40,34,33,46,27,28,31,25,405
総数,4,13102,中央区,101,79,77,69,84,60,87,70,68,103,59,72,929
総数,4,13103,港区,155,154,135,131,131,108,115,133,128,162,147,133,1632
総数,4,13104,新宿区,287,240,236,196,244,185,212,225,176,248,217,218,2684
総数,4,13105,文京区,164,155,139,118,138,122,137,157,81,175,138,126,1650
総数,4,13106,台東区,205,184,160,137,186,165,137,168,144,163,167,154,1970
総数,4,13107,墨田区,275,219,214,199,206,179,186,206,172,237,203,198,2494
総数,4,13108,江東区,442,383,352,291,356,301,343,336,288,375,331,339,4137
総数,4,13109,品川区,332,275,253,241,277,215,274,301,236,298,266,252,3220
総数,4,13110,目黒区,220,180,170,136,155,162,186,174,136,200,158,178,2055
総数,4,13111,大田区,668,590,568,474,552,484,515,586,470,509,543,560,6519
総数,4,13112,世田谷区,691,626,641,570,593,528,530,556,476,589,561,523,6884
総数,4,13113,渋谷区,170,146,136,115,129,119,121,152,123,142,137,129,1619
総数,4,13114,中野区,268,275,228,206,235,190,244,243,195,227,214,231,2756
総数,4,13115,杉並区,493,450,382,319,396,304,311,396,329,398,386,394,4558
総数,4,13116,豊島区,282,209,220,187,182,168,212,206,177,224,215,197,2479
総数,4,13117,北区,401,378,324,293,309,253,333,334,241,328,331,321,3846
総数,4,13118,荒川区,238,193,172,153,171,144,167,181,179,189,189,170,2146
総数,4,13119,板橋区,533,445,477,373,396,366,382,464,321,454,404,430,5045
総数,4,13120,練馬区,603,583,542,489,559,463,474,496,438,539,512,488,6186
総数,4,13121,足立区,832,653,627,518,605,521,566,607,484,646,565,604,7228
総数,4,13122,葛飾区,461,420,432,337,370,331,355,399,340,393,386,373,4597
総数,4,13123,江戸川区,631,559,512,448,497,480,451,475,433,493,520,509,6008
