地域階層,地域コード,地域,平成17年／総数,平成17年／男,平成17年／女,平成18年／総数,平成18年／男,平成18年／女,平成19年／総数,平成19年／男,平成19年／女,平成20年／総数,平成20年／男,平成20年／女,平成21年／総数,平成21年／男,平成21年／女,平成22年／総数,平成22年／男,平成22年／女,平成23年／総数,平成23年／男,平成23年／女,平成24年／総数,平成24年／男,平成24年／女,平成25年／総数,平成25年／男,平成25年／女,平成26年／総数,平成26年／男,平成26年／女,平成27年／総数,平成27年／男,平成27年／女,平成28年／総数,平成28年／男,平成28年／女,平成29年／総数,平成29年／男,平成29年／女,平成30年／総数,平成30年／男,平成30年／女,平成31年／総数,平成31年／男,平成31年／女
4,13202,立川市,171792,85539,86253,172753,86012,86741,174639,86973,87666,176293,87804,88489,177881,88652,89229,179036,89325,89711,179459,89308,90151,178697,88772,89925,177561,88020,89541,176527,87360,89167,176580,87115,89465,176528,87118,89410,178286,87973,90313,179390,88435,90955,180554,88949,91605
4,13203,武蔵野市,136374,66034,70340,137900,66808,71092,137948,66599,71349,137863,66417,71446,137739,66276,71463,137911,66210,71701,138413,66209,72204,138811,66383,72428,139778,66871,72907,141633,67899,73734,143440,68812,74628,144741,69438,75303,145443,69725,75718,146381,70172,76209,147878,70798,77080
4,13204,三鷹市,176057,88220,87837,177223,88659,88564,178719,89064,89655,182410,90711,91699,184006,91311,92695,185851,92123,93728,185752,91758,93994,185467,91192,94275,185425,90885,94540,185072,90386,94686,186532,90854,95678,186954,90658,96296,189158,91753,97405,190432,92407,98025,191256,92674,98582
4,13205,青梅市,142346,71840,70506,142221,71636,70585,141340,71125,70215,140731,70772,69959,139938,70201,69737,139431,69907,69524,139494,69789,69705,139445,69711,69734,138665,69277,69388,137967,68853,69114,137396,68539,68857,137291,68654,68637,136527,68295,68232,135789,67991,67798,134627,67430,67197
4,13206,府中市,241331,125184,116147,245384,126969,118415,246717,127515,119202,248426,128101,120325,250451,128789,121662,253492,130509,122983,255211,131196,124015,255586,130816,124770,255519,130247,125272,256786,130628,126158,257879,130797,127082,259923,131758,128165,261175,132237,128938,261829,132280,129549,263186,132659,130527
4,13207,昭島市,109669,55278,54391,110744,55734,55010,111297,55966,55331,111680,56151,55529,111433,56003,55430,111887,56210,55677,112249,56290,55959,112293,56131,56162,111793,55781,56012,111543,55529,56014,111376,55412,55964,111555,55430,56125,111447,55289,56158,111902,55491,56411,111873,55451,56422
4,13208,調布市,214987,108807,106180,216252,109105,107147,216797,108943,107854,218515,109427,109088,221344,110428,110916,223072,110971,112101,223623,110825,112798,224436,110885,113551,225591,111125,114466,226240,111004,115236,226856,111105,115751,229183,111946,117237,232656,113645,119011,235243,114684,120559,237939,115793,122146
4,13209,町田市,403475,199386,204089,406354,200647,205707,411653,203112,208541,416284,205036,211248,420290,206894,213396,424230,208576,215654,427287,209738,217549,428494,210283,218211,429472,210883,218589,430502,211373,219129,431489,211875,219614,432286,212233,220053,433921,212845,221076,434091,212704,221387,434034,212407,221627
4,13210,小金井市,114014,57700,56314,114080,57711,56369,114563,57879,56684,115712,58323,57389,116307,58526,57781,117174,58791,58383,119091,59719,59372,119642,59933,59709,119563,59702,59861,120529,59939,60590,120965,60071,60894,121523,60224,61299,122904,60858,62046,123813,61205,62608,124988,61740,63248
4,13211,小平市,183421,91683,91738,183944,91895,92049,184569,92105,92464,185707,92662,93045,186318,92890,93428,186846,92832,94014,186768,92735,94033,186821,92644,94177,187926,93100,94826,188358,93053,95305,188743,93121,95622,190175,93879,96296,191451,94429,97022,192874,95169,97705,195162,96084,99078
4,13212,日野市,175746,90346,85400,177028,90861,86167,177923,91068,86855,178497,91240,87257,178885,91132,87753,179313,91077,88236,180179,91286,88893,181063,91513,89550,181654,91537,90117,182745,91932,90813,184404,92562,91842,186425,93465,92960,187249,93750,93499,188327,94240,94087,189053,94460,94593
4,13213,東村山市,144391,71340,73051,145118,71716,73402,146163,72140,74023,147506,72761,74745,149780,73780,76000,152296,74916,77380,153369,75350,78019,153319,75253,78066,152636,74801,77835,151648,74223,77425,150764,73748,77016,150020,73317,76703,149901,73176,76725,150180,73185,76995,149951,72983,76968
4,13214,国分寺市,116064,58168,57896,117737,58946,58791,118313,59133,59180,119113,59457,59656,120244,59998,60246,120803,60223,60580,120328,59745,60583,119880,59359,60521,120885,59722,61163,121542,59923,61619,122219,60176,62043,122768,60268,62500,123484,60575,62909,124501,60938,63563,126517,61836,64681
4,13215,国立市,72677,36487,36190,72889,36498,36391,73367,36608,36759,74149,37083,37066,74567,37129,37438,75039,37291,37748,75255,37351,37904,74894,37195,37699,74546,36876,37670,73991,36506,37485,73797,36290,37507,73858,36122,37736,74339,36295,38044,74610,36392,38218,74925,36518,38407
4,13218,福生市,61271,30989,30282,61042,30872,30170,60727,30670,30057,60501,30565,29936,60440,30436,30004,60168,30218,29950,59625,29878,29747,59141,29648,29493,58849,29541,29308,58583,29363,29220,58349,29209,29140,58439,29280,29159,58380,29171,29209,58210,28999,29211,58069,28967,29102
4,13219,狛江市,77674,38970,38704,78342,39141,39201,78213,38986,39227,78418,38956,39462,78395,38795,39600,78777,38894,39883,78613,38737,39876,78265,38502,39763,78261,38456,39805,78872,38673,40199,79838,39049,40789,80577,39332,41245,81376,39650,41726,82357,40073,42284,83050,40356,42694
4,13220,東大和市,79322,39578,39744,79339,39531,39808,80272,39965,40307,81844,40673,41171,82071,40673,41398,82690,40948,41742,83456,41250,42206,83606,41226,42380,83891,41327,42564,84311,41491,42820,85139,41842,43297,85047,41751,43296,84891,41611,43280,84664,41465,43199,84511,41420,43091
4,13221,清瀬市,73091,35745,37346,73586,35936,37650,73641,35827,37814,73474,35561,37913,73476,35441,38035,73836,35569,38267,74094,35583,38511,74335,35650,38685,74330,35644,38686,74576,35799,38777,74822,35981,38841,74935,36021,38914,75042,36004,39038,75377,36186,39191,75269,36115,39154
4,13222,東久留米市,115281,57048,58233,115437,57181,58256,115408,57171,58237,115625,57249,58376,116077,57469,58608,116271,57479,58792,116297,57432,58865,115757,56945,58812,115488,56733,58755,116029,56710,59319,116065,56641,59424,116658,56704,59954,116397,56504,59893,116360,56435,59925,116426,56408,60018
4,13223,武蔵村山市,65853,33120,32733,66957,33670,33287,67419,33833,33586,68236,34187,34049,69196,34592,34604,69775,34819,34956,70165,35011,35154,70577,35218,35359,70871,35382,35489,71073,35500,35573,71133,35525,35608,71405,35647,35758,71400,35607,35793,71651,35658,35993,71708,35745,35963
4,13224,多摩市,146263,73397,72866,145724,73040,72684,146070,73137,72933,148304,74172,74132,148398,73955,74443,148390,73657,74733,147388,72901,74487,146293,72145,74148,145284,71453,73831,147021,72219,74802,146633,71834,74799,146816,71785,75031,147260,71931,75329,147691,72077,75614,147712,72204,75508
4,13225,稲城市,75771,38622,37149,76762,39129,37633,79612,40537,39075,80935,41230,39705,82459,42073,40386,83461,42637,40824,85070,43390,41680,85725,43603,42122,86227,43711,42516,86511,43785,42726,86924,43830,43094,87771,44080,43691,89399,44888,44511,90225,45293,44932,90895,45556,45339
4,13227,羽村市,56465,29055,27410,56344,29001,27343,56853,29254,27599,56896,29204,27692,56959,29241,27718,56895,29117,27778,56912,29068,27844,56721,28989,27732,56553,28848,27705,56167,28567,27600,55947,28459,27488,55710,28325,27385,55599,28298,27301,55225,28077,27148,54962,27965,26997
4,13228,あきる野市,79442,39867,39575,79682,39924,39758,79706,39910,39796,80340,40166,40174,80485,40215,40270,80789,40390,40399,80949,40431,40518,81169,40516,40653,81140,40464,40676,81170,40419,40751,81024,40271,40753,80871,40184,40687,80791,40145,40646,80373,39911,40462,80239,39806,40433
4,13229,西東京市,188224,93427,94797,190381,94352,96029,192689,95346,97343,193708,95671,98037,194489,95860,98629,195817,96316,99501,198699,97473,101226,199022,97527,101495,198982,97593,101389,198710,97457,101253,199420,97637,101783,200117,97902,102215,200933,98211,102722,202201,98842,103359,203960,99503,104457
1,13550,町村部,86256,43365,42891,88068,44418,43650,87861,44324,43537,87161,43979,43182,86860,43815,43045,86744,43776,42968,86534,43728,42806,86351,43581,42770,85908,43372,42536,85353,43166,42187,85011,42996,42015,84742,42920,41822,83930,42623,41307,83355,42356,40999,82386,41889,40497
2,13300,郡部,59701,29828,29873,59330,29682,29648,59245,29590,29655,58811,29362,29449,58697,29292,29405,58784,29320,29464,58748,29310,29438,58668,29215,29453,58527,29161,29366,58414,29131,29283,58349,29065,29284,58338,29104,29234,57976,29007,28969,57660,28863,28797,57033,28529,28504
4,13303,瑞穂町,33726,17030,16696,33767,17074,16693,33750,17046,16704,33653,17035,16618,33568,16966,16602,33576,16959,16617,33487,16937,16550,33392,16819,16573,33263,16766,16497,33349,16838,16511,33321,16821,16500,33475,16982,16493,33286,16909,16377,33102,16842,16260,32783,16653,16130
4,13305,日の出町,16095,7947,8148,15937,7872,8065,16033,7912,8121,15976,7864,8112,16157,7971,8186,16440,8099,8341,16694,8218,8476,16953,8338,8615,17246,8465,8781,17275,8460,8815,17464,8513,8951,17465,8486,8979,17460,8520,8940,17404,8472,8932,17177,8366,8811
4,13307,檜原村,2998,1483,1515,2921,1445,1476,2861,1414,1447,2756,1360,1396,2700,1322,1378,2639,1290,1349,2547,1237,1310,2463,1199,1264,2379,1168,1211,2314,1137,1177,2232,1101,1131,2195,1074,1121,2135,1056,1079,2096,1026,1070,2069,1008,1061
4,13308,奥多摩町,6882,3368,3514,6705,3291,3414,6601,3218,3383,6426,3103,3323,6272,3033,3239,6129,2972,3157,6020,2918,3102,5860,2859,3001,5639,2762,2877,5476,2696,2780,5332,2630,2702,5203,2562,2641,5095,2522,2573,5058,2523,2535,5004,2502,2502
2,13350,島部,26555,13537,13018,28738,14736,14002,28616,14734,13882,28350,14617,13733,28163,14523,13640,27960,14456,13504,27786,14418,13368,27683,14366,13317,27381,14211,13170,26939,14035,12904,26662,13931,12731,26404,13816,12588,25954,13616,12338,25695,13493,12202,25353,13360,11993
3,13360,大島支庁,14349,7085,7264,14251,7031,7220,14121,6984,7137,13890,6880,7010,13812,6838,6974,13659,6776,6883,13549,6768,6781,13433,6720,6713,13223,6613,6610,13052,6575,6477,12941,6556,6385,12816,6519,6297,12540,6385,6155,12398,6325,6073,12238,6267,5971
4,13361,大島町,8827,4331,4496,8702,4266,4436,8690,4268,4422,8610,4259,4351,8599,4254,4345,8536,4231,4305,8444,4228,4216,8369,4199,4170,8159,4092,4067,8023,4054,3969,7961,4056,3905,7878,4030,3848,7715,3959,3756,7580,3880,3700,7416,3815,3601
4,13362,利島村,315,175,140,312,171,141,307,174,133,310,174,136,317,186,131,321,191,130,346,206,140,344,203,141,341,195,146,329,191,138,329,188,141,336,191,145,337,189,148,343,196,147,345,196,149
4,13363,新島村,3132,1525,1607,3167,1542,1625,3102,1521,1581,3023,1466,1557,2951,1417,1534,2907,1404,1503,2873,1388,1485,2838,1372,1466,2826,1373,1453,2802,1364,1438,2773,1348,1425,2724,1335,1389,2659,1306,1353,2630,1306,1324,2628,1305,1323
4,13364,神津島村,2075,1054,1021,2070,1052,1018,2022,1021,1001,1947,981,966,1945,981,964,1895,950,945,1886,946,940,1882,946,936,1897,953,944,1898,966,932,1878,964,914,1878,963,915,1829,931,898,1845,943,902,1849,951,898
3,13380,三宅支庁,289,158,131,2716,1488,1228,2805,1557,1248,2905,1619,1286,2945,1645,1300,2981,1660,1321,3033,1687,1346,3004,1671,1333,2970,1642,1328,2923,1614,1309,2880,1585,1295,2797,1533,1264,2750,1519,1231,2726,1491,1235,2662,1472,1190
4,13381,三宅村,0,0,0,2427,1328,1099,2524,1399,1125,2606,1450,1156,2621,1461,1160,2645,1471,1174,2686,1499,1187,2659,1480,1179,2627,1452,1175,2584,1427,1157,2560,1406,1154,2464,1346,1118,2428,1341,1087,2383,1304,1079,2326,1293,1033
4,13382,御蔵島村,289,158,131,289,160,129,281,158,123,299,169,130,324,184,140,336,189,147,347,188,159,345,191,154,343,190,153,339,187,152,320,179,141,333,187,146,322,178,144,343,187,156,336,179,157
3,13400,八丈支庁,9208,4619,4589,9054,4528,4526,8951,4482,4469,8804,4410,4394,8647,4332,4315,8519,4270,4249,8406,4200,4206,8363,4155,4208,8247,4113,4134,8006,3984,4022,7885,3936,3949,7778,3877,3901,7644,3816,3828,7504,3759,3745,7402,3721,3681
4,13401,八丈町,8999,4486,4513,8839,4391,4448,8740,4347,4393,8592,4273,4319,8445,4202,4243,8322,4141,4181,8204,4070,4134,8164,4032,4132,8055,3995,4060,7822,3870,3952,7708,3831,3877,7604,3771,3833,7476,3715,3761,7330,3662,3668,7235,3619,3616
4,13402,青ヶ島村,209,133,76,215,137,78,211,135,76,212,137,75,202,130,72,197,129,68,202,130,72,199,123,76,192,118,74,184,114,70,177,105,72,174,106,68,168,101,67,174,97,77,167,102,65
3,13420,小笠原支庁,2709,1675,1034,2717,1689,1028,2739,1711,1028,2751,1708,1043,2759,1708,1051,2801,1750,1051,2798,1763,1035,2883,1820,1063,2941,1843,1098,2958,1862,1096,2956,1854,1102,3013,1887,1126,3020,1896,1124,3067,1918,1149,3051,1900,1151
4,13421,小笠原村,2709,1675,1034,2717,1689,1028,2739,1711,1028,2751,1708,1043,2759,1708,1051,2801,1750,1051,2798,1763,1035,2883,1820,1063,2941,1843,1098,2958,1862,1096,2956,1854,1102,3013,1887,1126,3020,1896,1124,3067,1918,1149,3051,1900,1151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口の動き（平成30年中）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表２　区市町村、男女別人口（平成17年～31年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１） 各年1月1日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２） 平成12年国勢調査において、三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため平成13年から17年までにおいて、総数と各地域の合計は一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
