国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成30年中の増減
総数,0,13000,総数,3454,2246,29710,20755,6662,515,2179,3897,998,4734,1842,916,77908
総数,1,13100,区部,2997,2021,24325,13967,5491,605,1488,3127,894,3588,1469,511,60483
総数,1,13200,市部,495,231,5554,6664,1172,-63,673,796,103,1153,382,425,17585
総数,2,13300,郡部,-47,2,10,10,0,-16,-9,-26,1,-6,-11,-8,-100
総数,2,13350,島部,9,-8,-179,114,-1,-11,27,0,0,-1,2,-12,-60
総数,1,13100,区部,2997,2021,24325,13967,5491,605,1488,3127,894,3588,1469,511,60483
総数,4,13101,千代田区,72,30,252,274,62,5,78,81,64,82,46,116,1162
総数,4,13102,中央区,247,238,613,518,168,107,112,167,140,154,106,83,2653
総数,4,13103,港区,251,192,617,345,189,71,-120,154,75,277,82,88,2221
総数,4,13104,新宿区,162,72,728,432,199,-19,35,189,179,294,43,-41,2273
総数,4,13105,文京区,157,57,723,583,251,94,110,212,118,213,152,74,2744
総数,4,13106,台東区,129,94,562,308,188,43,152,201,52,96,27,-1,1851
総数,4,13107,墨田区,189,114,793,393,300,80,185,-12,-65,159,30,105,2271
総数,4,13108,江東区,151,24,1014,903,419,158,135,154,-28,241,2,-49,3124
総数,4,13109,品川区,226,326,1275,658,391,197,276,261,228,293,330,144,4605
総数,4,13110,目黒区,107,135,756,346,211,24,78,115,-89,189,29,144,2045
総数,4,13111,大田区,170,290,2751,1116,546,-12,111,204,143,202,231,-110,5642
総数,4,13112,世田谷区,205,204,2828,1441,456,163,137,318,121,227,40,189,6329
総数,4,13113,渋谷区,141,84,709,339,152,68,99,167,475,68,92,-23,2371
総数,4,13114,中野区,86,301,1012,497,247,20,-12,131,-36,139,89,98,2572
総数,4,13115,杉並区,230,159,2058,1170,316,75,159,268,36,345,129,-9,4936
総数,4,13116,豊島区,155,75,668,412,60,88,-84,108,5,97,13,0,1597
総数,4,13117,北区,57,-106,850,319,35,-54,74,-4,157,43,46,2,1419
総数,4,13118,荒川区,60,-16,250,161,105,-33,27,86,36,36,64,71,847
総数,4,13119,板橋区,37,35,1663,523,390,-4,-48,21,-115,146,-39,-15,2594
総数,4,13120,練馬区,125,-24,1677,1010,209,-72,-45,56,-4,168,-26,21,3095
総数,4,13121,足立区,140,18,1280,555,199,-60,88,125,-294,138,90,-188,2091
総数,4,13122,葛飾区,-11,58,679,323,216,-80,-4,191,-46,35,14,0,1375
総数,4,13123,江戸川区,-89,-339,567,1341,182,-254,-55,-66,-258,-54,-121,-188,666
総数,1,13200,市部,495,231,5554,6664,1172,-63,673,796,103,1153,382,425,17585
総数,4,13201,八王子市,-18,-69,461,1253,39,-34,34,70,-61,256,109,-66,1974
総数,4,13202,立川市,18,-12,254,258,28,-30,109,9,-22,38,-8,13,655
総数,4,13203,武蔵野市,59,-8,468,351,96,3,75,90,-36,41,42,5,1186
総数,4,13204,三鷹市,69,25,440,408,98,-22,2,12,-46,19,5,8,1018
総数,4,13205,青梅市,-1,-7,-89,80,-34,-27,20,-3,5,-6,-13,-19,-94
総数,4,13206,府中市,-2,73,654,802,335,-53,15,64,276,79,82,34,2359
総数,4,13207,昭島市,25,36,77,198,-37,5,-56,-38,-7,39,-3,3,242
総数,4,13208,調布市,87,93,701,414,175,25,33,70,16,17,-1,38,1668
総数,4,13209,町田市,47,15,266,224,35,-2,191,147,6,177,83,186,1375
総数,4,13210,小金井市,31,43,206,251,80,-14,7,19,-2,86,4,11,722
総数,4,13211,小平市,58,13,105,542,58,41,73,72,-16,40,-5,10,991
総数,4,13212,日野市,-22,-3,222,293,59,72,13,9,-9,73,27,-47,687
総数,4,13213,東村山市,-9,-28,-54,212,12,-40,-36,1,-5,-27,-43,-12,-29
総数,4,13214,国分寺市,69,69,374,283,98,28,109,55,32,86,8,34,1245
総数,4,13215,国立市,46,10,150,230,29,-5,-5,21,3,33,-21,12,503
総数,4,13218,福生市,-15,-18,122,5,-13,17,29,11,-19,7,-20,-3,103
