地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成30年の増減
0,13000,総数,1399,-859,18556,18624,6193,1337,3445,312,2576,7248,1377,-500,59708
1,13100,区部,1958,-62,15903,13618,5236,1167,3160,472,2134,6357,1406,-540,50809
1,13200,市部,-478,-741,2925,4854,983,191,307,-125,460,948,-9,86,9401
2,13300,郡部,-60,-19,-13,-28,-21,-12,-23,-32,-8,-41,-22,-14,-293
2,13350,島部,-21,-37,-259,180,-5,-9,1,-3,-10,-16,2,-32,-209
1,13100,区部,1958,-62,15903,13618,5236,1167,3160,472,2134,6357,1406,-540,50809
4,13101,千代田区,72,22,226,125,49,49,116,99,119,106,39,106,1128
4,13102,中央区,302,347,589,351,200,199,206,163,135,295,213,74,3074
4,13103,港区,362,80,338,281,236,63,-48,125,149,197,40,-89,1734
4,13104,新宿区,152,-232,473,1193,58,-15,328,-321,241,589,-50,-394,2022
4,13105,文京区,38,0,411,562,225,58,54,53,181,357,160,-58,2041
4,13106,台東区,94,63,402,456,112,20,119,87,39,216,29,-22,1615
4,13107,墨田区,99,100,405,287,254,105,131,-38,-7,218,66,118,1738
4,13108,江東区,167,34,655,744,413,74,194,212,16,431,175,-110,3005
4,13109,品川区,240,273,932,403,324,145,161,164,159,350,268,137,3556
4,13110,目黒区,-8,38,558,227,206,8,67,-46,31,128,37,33,1279
4,13111,大田区,45,40,1768,891,581,117,113,81,235,199,28,-58,4040
4,13112,世田谷区,81,-71,2055,1084,386,212,245,178,222,359,4,203,4958
4,13113,渋谷区,111,17,389,329,114,-64,-39,44,153,22,-23,-15,1038
4,13114,中野区,-2,2,450,560,146,27,82,-74,57,244,48,-5,1535
4,13115,杉並区,59,-150,1250,732,201,140,68,-152,53,322,52,-127,2448
4,13116,豊島区,54,-49,413,1040,66,-7,111,-119,15,319,-14,-53,1776
4,13117,北区,65,-86,753,497,86,47,238,-141,327,283,93,-9,2153
4,13118,荒川区,35,-83,138,449,81,-33,144,-16,-23,239,0,-8,923
4,13119,板橋区,24,43,1041,684,446,-38,410,77,74,406,101,119,3387
4,13120,練馬区,19,-151,1236,954,205,59,55,-54,72,396,30,11,2832
4,13121,足立区,-4,-95,626,457,399,-13,77,111,-124,201,102,-155,1582
4,13122,葛飾区,-37,11,415,365,217,15,133,57,-101,228,41,-55,1289
4,13123,江戸川区,-10,-215,380,947,231,-1,195,-18,111,252,-33,-183,1656
1,13200,市部,-478,-741,2925,4854,983,191,307,-125,460,948,-9,86,9401
4,13201,八王子市,-219,-236,-11,776,-50,-76,-122,-156,12,16,89,-152,-129
4,13202,立川市,-3,-58,180,185,42,-32,98,-8,55,96,72,23,650
4,13203,武蔵野市,16,-5,368,253,57,37,26,-1,-37,55,55,47,871
