国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成30年中の転出者数
総数,0,13000,総数,31174,36277,59686,43740,36731,34445,36255,35057,32920,38133,35912,35883,456213
総数,1,13100,区部,23704,27147,42447,32386,27598,26499,27478,26371,25167,28753,27373,27113,342036
総数,1,13200,市部,7337,9002,16476,11106,8992,7846,8639,8502,7656,9237,8423,8630,111846
総数,2,13300,郡部,99,94,174,140,109,76,102,120,77,114,101,111,1317
総数,2,13350,島部,34,34,589,108,32,24,36,64,20,29,15,29,1014
総数,1,13100,区部,23704,27147,42447,32386,27598,26499,27478,26371,25167,28753,27373,27113,342036
総数,4,13101,千代田区,280,315,483,412,323,294,323,305,319,405,361,351,4171
総数,4,13102,中央区,518,553,908,824,674,616,682,583,689,658,599,670,7974
総数,4,13103,港区,1000,1110,1571,1276,1096,1037,1058,1111,954,1185,1168,1084,13650
総数,4,13104,新宿区,1634,1643,3017,2467,1879,1847,2020,1827,1800,2060,1771,1953,23918
総数,4,13105,文京区,738,891,1554,1017,914,770,784,769,713,836,744,849,10579
総数,4,13106,台東区,745,723,1046,953,796,770,869,725,687,857,845,825,9841
総数,4,13107,墨田区,753,885,1270,962,864,716,897,914,759,843,863,781,10507
総数,4,13108,江東区,1059,1226,2009,1400,1218,1184,1279,1253,1194,1314,1289,1313,15738
総数,4,13109,品川区,959,1117,1570,1358,1109,1147,1277,1107,1043,1235,1181,1226,14329
総数,4,13110,目黒区,978,1106,1551,1266,1140,1043,1080,1115,948,1125,1094,1098,13544
総数,4,13111,大田区,1162,1300,1975,1349,1281,1261,1227,1203,1149,1339,1416,1120,15782
総数,4,13112,世田谷区,2119,2395,3658,2665,2346,2189,2265,2168,2025,2236,2225,2306,28597
総数,4,13113,渋谷区,945,1066,1459,1213,1124,1123,1105,1036,909,1219,1185,1085,13469
総数,4,13114,中野区,1319,1428,2265,1779,1588,1460,1461,1463,1428,1621,1464,1422,18698
総数,4,13115,杉並区,1659,2042,3066,2352,1851,1813,2025,1823,1714,1970,1888,1950,24153
総数,4,13116,豊島区,1225,1331,2159,1746,1509,1421,1481,1358,1476,1525,1397,1338,17966
総数,4,13117,北区,804,1006,1525,1187,1053,952,925,979,918,1085,1008,1010,12452
総数,4,13118,荒川区,594,657,1037,792,709,666,685,684,643,741,717,709,8634
総数,4,13119,板橋区,1159,1344,2257,1615,1330,1373,1243,1283,1279,1390,1334,1164,16771
総数,4,13120,練馬区,1423,1754,2721,2093,1765,1638,1708,1729,1571,1727,1665,1748,21542
総数,4,13121,足立区,880,1115,1706,1186,1039,1092,1030,1000,1051,1159,1020,1045,13323
総数,4,13122,葛飾区,711,870,1463,1091,773,865,785,797,853,947,845,914,10914
総数,4,13123,江戸川区,1040,1270,2177,1383,1217,1222,1269,1139,1045,1276,1294,1152,15484
総数,1,13200,市部,7337,9002,16476,11106,8992,7846,8639,8502,7656,9237,8423,8630,111846
総数,4,13201,八王子市,754,889,1858,1115,812,717,782,763,752,804,736,785,10767
総数,4,13202,立川市,421,495,818,660,522,494,477,497,428,508,434,441,6195
総数,4,13203,武蔵野市,423,504,786,732,555,445,517,469,440,489,476,517,6353
総数,4,13204,三鷹市,440,547,970,741,574,482,562,521,511,532,520,617,7017
総数,4,13205,青梅市,214,226,488,237,231,160,215,226,156,193,216,168,2730
総数,4,13206,府中市,491,772,1303,683,517,451,796,669,472,1129,800,582,8665
総数,4,13207,昭島市,205,245,428,265,265,221,200,200,156,256,203,217,2861
総数,4,13208,調布市,511,631,1026,736,581,576,563,571,575,634,623,598,7625
総数,4,13209,町田市,297,357,773,495,371,370,341,390,361,380,315,368,4818
総数,4,13210,小金井市,255,383,624,578,387,326,358,400,306,395,361,371,4744
総数,4,13211,小平市,378,492,1063,621,419,408,451,438,376,416,404,445,5911
総数,4,13212,日野市,334,372,697,466,412,367,331,371,335,362,381,407,4835
総数,4,13213,東村山市,265,265,526,292,289,262,238,272,276,272,228,266,3451
総数,4,13214,国分寺市,377,409,707,414,454,348,375,316,306,356,385,394,4841
総数,4,13215,国立市,163,227,405,340,236,190,223,216,213,220,248,219,2900
総数,4,13218,福生市,157,163,298,214,204,133,183,185,158,182,187,164,2228
総数,4,13219,狛江市,166,182,311,195,209,189,181,162,172,183,178,175,2303
総数,4,13220,東大和市,128,159,341,207,206,161,161,184,155,168,190,161,2221
総数,4,13221,清瀬市,92,108,200,165,129,98,125,119,112,117,130,148,1543
総数,4,13222,東久留米市,164,228,389,262,233,193,206,196,189,215,163,247,2685
総数,4,13223,武蔵村山市,101,121,241,158,153,131,128,138,130,120,119,159,1699
総数,4,13224,多摩市,222,309,549,376,300,283,274,314,257,269,277,290,3720
総数,4,13225,稲城市,131,150,297,207,168,143,139,127,137,230,177,169,2075
総数,4,13227,羽村市,123,181,281,146,143,122,166,145,108,163,136,138,1852
総数,4,13228,あきる野市,108,119,233,158,138,140,132,130,110,167,135,147,1717
総数,4,13229,西東京市,417,468,864,643,484,436,515,483,465,477,401,437,6090
総数,1,13550,町村部,133,128,763,248,141,100,138,184,97,143,116,140,2331
総数,2,13300,郡部,99,94,174,140,109,76,102,120,77,114,101,111,1317
総数,4,13303,瑞穂町,55,47,110,90,64,48,65,74,57,76,57,84,827
総数,4,13305,日の出町,31,37,46,29,39,23,20,40,15,30,37,18,365
総数,4,13307,檜原村,6,3,5,11,2,2,2,2,2,4,3,3,45
総数,4,13308,奥多摩町,7,7,13,10,4,3,15,4,3,4,4,6,80
総数,2,13350,島部,34,34,589,108,32,24,36,64,20,29,15,29,1014
総数,3,13360,大島支庁,18,15,296,48,10,7,11,23,10,10,2,15,465
総数,4,13361,大島町,8,5,196,39,6,5,7,17,5,6,2,12,308
総数,4,13362,利島村,1,0,24,0,0,0,0,0,0,0,0,0,25
総数,4,13363,新島村,5,5,33,9,3,1,3,1,1,3,0,3,67
総数,4,13364,神津島村,4,5,43,0,1,1,1,5,4,1,0,0,65
総数,3,13380,三宅支庁,3,4,84,6,5,3,3,15,2,8,5,2,140
総数,4,13381,三宅村,3,4,72,6,5,3,3,14,1,7,5,2,125
総数,4,13382,御蔵島村,0,0,12,0,0,0,0,1,1,1,0,0,15
総数,3,13400,八丈支庁,11,9,160,9,10,11,8,12,4,8,6,10,258
総数,4,13401,八丈町,11,9,145,8,9,11,8,12,3,8,6,9,239
総数,4,13402,青ヶ島村,0,0,15,1,1,0,0,0,1,0,0,1,19
総数,3,13420,小笠原支庁,2,6,49,45,7,3,14,14,4,3,2,2,151
総数,4,13421,小笠原村,2,6,49,45,7,3,14,14,4,3,2,2,151
日本人,0,13000,総数,26807,31791,50854,36236,31333,29217,30879,30026,27540,31578,31218,31252,388731
日本人,1,13100,区部,19876,23286,34898,25762,22833,21818,22655,21863,20361,22916,23188,23028,282484
日本人,1,13200,市部,6801,8379,15200,10230,8362,7304,8086,7983,7093,8528,7922,8091,103979
日本人,2,13300,郡部,98,92,170,136,106,71,102,117,66,105,93,105,1261
日本人,2,13350,島部,32,34,586,108,32,24,36,63,20,29,15,28,1007
日本人,1,13100,区部,19876,23286,34898,25762,22833,21818,22655,21863,20361,22916,23188,23028,282484
日本人,4,13101,千代田区,247,265,427,377,272,255,264,263,268,338,295,297,3568
日本人,4,13102,中央区,460,498,804,724,596,539,557,498,604,555,526,612,6973
日本人,4,13103,港区,853,951,1359,1068,902,855,873,920,792,971,972,942,11458
日本人,4,13104,新宿区,1125,1206,1881,1490,1231,1171,1330,1196,1045,1215,1255,1329,15474
日本人,4,13105,文京区,616,748,1285,790,753,665,634,630,576,639,633,717,8686
日本人,4,13106,台東区,525,571,747,633,610,581,637,547,510,603,657,623,7244
日本人,4,13107,墨田区,622,773,1073,785,715,575,771,788,644,684,767,703,8900
