国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成30年中の転入者数
総数,0,13000,総数,26892,29371,97609,67007,35380,27326,31056,30920,27057,32604,26014,26644,457880
総数,1,13100,区部,21157,22961,74014,49299,27556,21435,24113,23954,21071,25401,20392,20684,352037
総数,1,13200,市部,5656,6322,23371,17439,7731,5828,6841,6861,5908,7110,5568,5882,104517
総数,2,13300,郡部,37,52,111,75,49,30,41,45,49,54,29,46,618
総数,2,13350,島部,42,36,113,194,44,33,61,60,29,39,25,32,708
総数,1,13100,区部,21157,22961,74014,49299,27556,21435,24113,23954,21071,25401,20392,20684,352037
総数,4,13101,千代田区,207,165,677,566,202,146,228,230,202,234,162,239,3258
総数,4,13102,中央区,517,564,1433,1132,525,482,510,533,464,517,411,443,7531
総数,4,13103,港区,662,665,1774,1226,739,616,642,732,621,753,565,654,9649
総数,4,13104,新宿区,983,1033,3268,2320,1243,977,1085,1170,1005,1210,918,940,16152
総数,4,13105,文京区,540,513,2221,1519,717,524,579,648,538,688,518,525,9530
総数,4,13106,台東区,560,591,1578,1106,746,541,679,649,563,646,520,510,8689
総数,4,13107,墨田区,761,692,2058,1375,967,654,775,652,583,824,640,655,10636
総数,4,13108,江東区,980,1032,3443,2569,1463,1097,1184,1160,989,1300,913,946,17076
総数,4,13109,品川区,1033,1159,3235,2181,1285,1101,1234,1071,1059,1205,1127,1016,16706
総数,4,13110,目黒区,676,735,2154,1487,891,637,809,774,550,790,607,732,10842
総数,4,13111,大田区,1722,2073,6734,4044,2567,1895,2127,2028,1828,2101,1741,1736,30596
総数,4,13112,世田谷区,1930,2109,7438,4640,2483,2034,2134,2183,1869,2132,1749,1991,32692
総数,4,13113,渋谷区,560,576,1643,1124,638,552,649,624,909,568,547,477,8867
総数,4,13114,中野区,805,1000,2891,1939,1125,818,877,890,804,980,792,826,13747
総数,4,13115,杉並区,1199,1371,4850,3129,1506,1166,1331,1344,1133,1433,1118,1076,20656
総数,4,13116,豊島区,818,902,2602,1897,1020,860,821,895,779,956,728,768,13046
総数,4,13117,北区,802,860,2977,2135,1067,873,1043,968,1015,1118,897,857,14612
総数,4,13118,荒川区,472,474,1331,922,580,468,511,508,476,533,470,514,7259
総数,4,13119,板橋区,1165,1358,4649,2808,1675,1258,1370,1405,1147,1551,1238,1230,20854
