"年度[西暦]","区民向け住宅[戸]","都営住宅[戸]","都民住宅[戸]","公社住宅[戸]","ＵＲ賃貸住宅[戸]"
2013,787,5007,1075,339,3416
2014,863,4998,1059,339,3288
2015,863,4985,1042,339,3288
2016,913,4830,624,859,3124
2017,893,4825,595,859,2892

"平成30年度港区行政資料集　区民向け住宅等","Ver201803",,,,
