主な出火原因,件数,割合
合計,3972,-
放火（疑いを含む）,705,17.7
たばこ,651,16.4
ガステーブル等,305,7.7
大型ガスコンロ,98,2.5
電気ストーブ,71,1.8
その他,2142,53.9
