多摩地区,26_市町村,26_件数,27_市町村,27_件数,28_市町村,28_件数,29_市町村,29_件数,30_市町村,30_件数
1,八王子市,199,八王子市,185,八王子市,143,八王子市,176,八王子市,148
2,立川市,64,町田市,110,町田市,116,町田市,94,町田市,108
3,武蔵野市,40,府中市,78,府中市,76,立川市,79,立川市,66
4,三鷹市,45,調布市,66,調布市,49,調布市,65,府中市,65
5,青梅市,59,立川市,60,立川市,44,府中市,64,三鷹市,50
