,件数（件）,割合（%）
こんろ,298,20.1
たばこ,276,18.6
放火,116,7.8
ストーブ,97,6.5
ロウソク,34,2.3
コード,26,1.8
火遊び,6,0.4
その他,479,32.3
不明,152,10.2
