時間帯（時台）,出場件数（件）,構成比（％）
0,26217,3.2
1,21586,2.6
2,18596,2.3
3,16926,2.1
4,16402,2
5,18381,2.2
6,22248,2.7
7,28821,3.5
8,38274,4.7
9,44552,5.4
10,46680,5.7
11,44252,5.4
12,43077,5.3
13,43138,5.3
14,41583,5.1
15,41047,5
16,41702,5.1
17,42332,5.2
18,42073,5.1
19,40581,5
20,38608,4.7
21,36540,4.5
22,33670,4.1
23,30776,3.8
合計,818062,100
