夏季順位,年月日,曜日,出場件数（件）,熱中症疑い（人）,最高気温（℃）
1,2018/7/23,月,3382,411,39
2,2018/7/22,日,3124,365,35.6
3,2018/7/21,土,3092,339,34.9
4,2018/8/3,金,3048,248,35.4
5,2018/7/18,水,3036,361,35.3
