年,住宅火災_計（件）,住宅火災_住宅（件）,住宅火災_共同住宅等（件）,飲食店（件）,事務所等（件）,百貨店・物販等（件）,工場・作業場（件）,学校（件）,病院（件）,ホテル・旅館等（件）,駅舎等（件）,建物から出火した火災(合計)（件）
21,2099,776,1323,266,139,113,80,55,22,17,25,3341
22,1869,715,1154,301,128,110,107,37,27,14,29,3093
23,1864,721,1143,288,129,104,107,35,25,16,25,3098
24,1916,724,1192,295,144,116,101,37,19,17,32,3206
25,1777,680,1097,311,130,130,113,38,19,25,32,3127
26,1694,634,1060,296,123,113,84,27,13,33,22,2878
27,1675,615,1060,339,121,87,95,29,20,26,18,2827
28,1497,539,958,345,126,103,89,33,17,37,21,2681
29,1597,579,1018,318,151,110,84,31,24,36,14,2730
30,1484,539,945,330,142,94,90,40,21,19,16,2609
前年比,-113,-40,-73,12,-9,-16,6,9,-3,-17,2,-121
