施設区分,件数（件）,割合（%）
製造所,69,0.6
屋内貯蔵所,1724,13.7
屋外タンク貯蔵所,352,2.8
屋内タンク貯蔵所,1165,9.2
地下タンク貯蔵所,2958,23.5
簡易タンク貯蔵所,7,0.1
移動タンク貯蔵所,1546,12.3
屋外貯蔵所,162,1.3
給油取扱所,1690,13.4
販売取扱所,307,2.4
移送取扱所,12,0.1
一般取扱所,2608,20.7
合計,12600,100
