夏季以外順位,年月日,曜日,出場件数（件）,最低気温（℃）,備考
1,2018/1/24,水,2826,-1.8,積雪9㎝
2,2014/12/30,火,2806,1.8,
3,2016/12/17,土,2800,0,
4,2018/1/9,火,2787,3.3,
5,2018/1/22,月,2754,-0.5,積雪23㎝
