月,出場件数（件）,１日平均（件）
1,78017,2517
2,65263,2331
3,66726,2152
4,62206,2074
5,63332,2043
6,62715,2091
7,79728,2572
8,74246,2395
9,63712,2124
10,65911,2126
11,63635,2121
12,72571,2341
合計,818062,2241
