年齢,0-2,3月5日,6月14日,15-19,20-29,30-39,40-49,50-59,60-64,65-69,70-74,75-
男,13127,6959,10432,7874,30163,26508,34675,40054,19940,28011,31596,119925
女,10370,4664,6320,8000,35692,27686,27212,26641,11797,17703,22985,158094
合計,23497,11623,16752,15874,65855,54194,61887,66695,31737,45714,54581,278019
