年,その他の火災件数（件）,放火の火災件数（件）,放火火災の占める割合（％）,たばこの火災件数（件）,たばこ火災の占める割合（％）
21,1645,996,60.5,246,15
22,1455,818,56.2,269,18.5
23,1681,947,56.3,319,19
24,1437,837,58.2,232,16.1
25,1615,932,57.7,294,18.2
26,1463,808,55.2,275,18.8
27,1204,590,49,279,23.2
28,934,456,48.8,215,23
29,1148,511,44.5,311,27.1
30,1046,412,39.4,272,26
増減,-102,-99,-5.1,-39,-1.1
