建物用途の内訳,棟数,割合（％）
共同住宅等,"167,705 ",40.5
非特定用途複合,"73,358 ",17.7
特定用途複合,"61,723 ",14.9
事務所等,"42,484 ",10.3
その他（工場や学校など単独の用途）,"69,003 ",16.7
合計,"414,273 ",
