区市町村,出場件数（単位：百件）
千代田区,150
中央区,144
港区,243
新宿区,360
文京区,127
台東区,188
墨田区,180
江東区,305
品川区,227
目黒区,142
大田区,421
世田谷区,443
渋谷区,211
中野区,186
杉並区,280
豊島区,221
北区,225
荒川区,136
板橋区,331
練馬区,371
足立区,446
葛飾区,295
江戸川区,383
八王子市,307
立川市,121
武蔵野市,86
三鷹市,90
青梅市,64
府中市,128
昭島市,62
調布市,119
町田市,217
小金井市,55
小平市,97
日野市,86
東村山市,85
国分寺市,57
国立市,40
福生市,33
狛江市,37
東大和市,44
清瀬市,44
東久留米市,64
武蔵村山市,40
多摩市,77
羽村市,27
あきる野市,40
西東京市,104
瑞穂町,17
日の出町,9
檜原村,3
奥多摩町,6
