対象,件数（件）,人員（人）
保育所・幼稚園,3278,239193
小学校,3442,576055
中学校,2468,187672
高等学校,907,192510
大学,408,74773
特別支援学校,184,14571
その他,2033,155714
合計,12720,1440488
