町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,869,669,680,1349
両国二丁目,1233,989,986,1975
両国三丁目,1197,884,949,1833
両国四丁目,1168,923,897,1820
千歳一丁目,962,801,828,1629
千歳二丁目,571,496,468,964
千歳三丁目,1386,1157,1146,2303
緑一丁目,1717,1479,1366,2845
緑二丁目,1713,1582,1671,3253
緑三丁目,1477,1327,1265,2592
緑四丁目,2473,2148,1984,4132
立川一丁目,861,616,677,1293
立川二丁目,846,673,669,1342
立川三丁目,997,809,831,1640
立川四丁目,966,751,728,1479
菊川一丁目,930,790,852,1642
菊川二丁目,1395,1052,1194,2246
菊川三丁目,2126,1801,1899,3700
江東橋一丁目,846,661,604,1265
江東橋二丁目,1254,1060,960,2020
江東橋三丁目,500,370,228,598
江東橋四丁目,1450,1072,966,2038
江東橋五丁目,1630,1477,1463,2940
横網一丁目,129,151,143,294
横網二丁目,662,567,567,1134
亀沢一丁目,1179,1007,1030,2037
亀沢二丁目,974,836,973,1809
亀沢三丁目,997,1045,976,2021
亀沢四丁目,1403,1266,1209,2475
石原一丁目,1480,1184,1212,2396
石原二丁目,1413,1260,1234,2494
石原三丁目,1680,1527,1350,2877
石原四丁目,1415,1302,1243,2545
本所一丁目,1586,1448,1415,2863
本所二丁目,897,778,827,1605
本所三丁目,973,884,866,1750
本所四丁目,1338,1216,1137,2353
東駒形一丁目,770,614,606,1220
東駒形二丁目,816,736,742,1478
東駒形三丁目,888,740,744,1484
東駒形四丁目,1389,1154,1194,2348
吾妻橋一丁目,1277,963,1077,2040
吾妻橋二丁目,898,675,726,1401
吾妻橋三丁目,848,770,824,1594
錦糸一丁目,1276,970,919,1889
錦糸二丁目,372,297,228,525
錦糸三丁目,404,329,266,595
錦糸四丁目,920,818,815,1633
太平一丁目,1702,1621,1598,3219
太平二丁目,849,715,573,1288
太平三丁目,781,625,607,1232
太平四丁目,2511,2242,2277,4519
横川一丁目,770,812,709,1521
横川二丁目,888,761,664,1425
横川三丁目,628,543,518,1061
横川四丁目,691,629,560,1189
横川五丁目,1399,1198,1525,2723
業平一丁目,1499,1402,1546,2948
業平二丁目,776,667,620,1287
業平三丁目,845,664,669,1333
業平四丁目,1135,873,970,1843
業平五丁目,1138,1067,1164,2231
向島一丁目,1292,1046,1071,2117
向島二丁目,1522,1266,1369,2635
向島三丁目,2483,2188,2158,4346
向島四丁目,1300,1237,1290,2527
向島五丁目,2515,2141,2072,4213
東向島一丁目,1623,1497,1427,2924
東向島二丁目,2828,2403,2558,4961
東向島三丁目,1608,1625,1662,3287
東向島四丁目,1899,1683,1740,3423
東向島五丁目,2114,1823,1971,3794
東向島六丁目,2933,2691,2696,5387
堤通一丁目,1150,1153,1112,2265
堤通二丁目,2011,1798,2218,4016
墨田一丁目,1401,1467,1598,3065
墨田二丁目,1971,1901,1922,3823
墨田三丁目,1959,1811,1775,3586
墨田四丁目,2403,2296,2378,4674
墨田五丁目,1533,1399,1379,2778
押上一丁目,1308,1023,1130,2153
押上二丁目,1983,1765,1926,3691
押上三丁目,2235,2129,2069,4198
京島一丁目,3563,3335,3607,6942
京島二丁目,972,926,840,1766
京島三丁目,2287,2131,2001,4132
文花一丁目,2904,2500,2963,5463
文花二丁目,1232,1120,1156,2276
文花三丁目,1187,1353,1309,2662
八広一丁目,1798,1692,1605,3297
八広二丁目,2077,2050,2017,4067
八広三丁目,1818,1801,1668,3469
八広四丁目,2129,2118,2077,4195
八広五丁目,1550,1412,1446,2858
八広六丁目,2060,2024,1922,3946
立花一丁目,3089,2736,2896,5632
立花二丁目,809,727,714,1441
立花三丁目,1526,1404,1414,2818
立花四丁目,1803,1795,1717,3512
立花五丁目,1773,2005,1955,3960
立花六丁目,1111,1074,1178,2252
東墨田一丁目,63,72,57,129
東墨田二丁目,698,662,610,1272
東墨田三丁目,379,411,378,789
