町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,862,666,671,1337
両国二丁目,1220,989,960,1949
両国三丁目,1182,875,934,1809
両国四丁目,1170,923,921,1844
千歳一丁目,945,797,806,1603
千歳二丁目,546,486,441,927
千歳三丁目,1382,1159,1151,2310
緑一丁目,1688,1476,1348,2824
緑二丁目,1644,1543,1636,3179
緑三丁目,1449,1319,1253,2572
緑四丁目,2355,2064,1861,3925
立川一丁目,841,614,659,1273
立川二丁目,837,670,664,1334
立川三丁目,988,809,823,1632
立川四丁目,909,725,687,1412
菊川一丁目,931,783,855,1638
菊川二丁目,1351,1047,1157,2204
菊川三丁目,2102,1787,1877,3664
江東橋一丁目,846,652,619,1271
江東橋二丁目,1246,1061,944,2005
江東橋三丁目,481,354,217,571
江東橋四丁目,1418,1028,987,2015
江東橋五丁目,1615,1461,1466,2927
横網一丁目,127,150,144,294
横網二丁目,674,577,582,1159
亀沢一丁目,1188,1030,1025,2055
亀沢二丁目,935,815,945,1760
亀沢三丁目,955,999,944,1943
亀沢四丁目,1405,1263,1206,2469
石原一丁目,1465,1190,1201,2391
石原二丁目,1365,1232,1214,2446
石原三丁目,1607,1469,1307,2776
石原四丁目,1414,1321,1239,2560
本所一丁目,1575,1466,1420,2886
本所二丁目,905,795,822,1617
本所三丁目,972,884,868,1752
本所四丁目,1298,1194,1097,2291
東駒形一丁目,725,583,581,1164
東駒形二丁目,826,743,758,1501
東駒形三丁目,839,721,719,1440
東駒形四丁目,1403,1182,1204,2386
吾妻橋一丁目,1259,971,1061,2032
吾妻橋二丁目,890,675,725,1400
吾妻橋三丁目,853,782,832,1614
錦糸一丁目,1236,943,889,1832
錦糸二丁目,366,288,236,524
錦糸三丁目,386,318,259,577
錦糸四丁目,898,804,815,1619
太平一丁目,1679,1609,1582,3191
太平二丁目,836,706,576,1282
太平三丁目,750,600,587,1187
太平四丁目,2510,2257,2276,4533
横川一丁目,773,829,711,1540
横川二丁目,853,741,642,1383
横川三丁目,629,552,517,1069
横川四丁目,697,636,557,1193
横川五丁目,1412,1212,1547,2759
業平一丁目,1474,1388,1546,2934
業平二丁目,801,683,629,1312
業平三丁目,846,668,668,1336
業平四丁目,1138,885,977,1862
業平五丁目,1130,1060,1156,2216
向島一丁目,1273,1059,1057,2116
向島二丁目,1468,1252,1328,2580
向島三丁目,2442,2134,2118,4252
向島四丁目,1301,1243,1293,2536
向島五丁目,2494,2129,2065,4194
東向島一丁目,1586,1487,1423,2910
東向島二丁目,2804,2425,2544,4969
東向島三丁目,1575,1604,1645,3249
東向島四丁目,1864,1666,1722,3388
東向島五丁目,2098,1832,1957,3789
東向島六丁目,2878,2649,2678,5327
堤通一丁目,1118,1150,1099,2249
堤通二丁目,2018,1834,2246,4080
墨田一丁目,1404,1472,1601,3073
墨田二丁目,2007,1958,1919,3877
墨田三丁目,1914,1803,1753,3556
墨田四丁目,2404,2300,2392,4692
墨田五丁目,1519,1395,1358,2753
押上一丁目,1299,1027,1122,2149
押上二丁目,1999,1784,1934,3718
押上三丁目,2238,2150,2048,4198
京島一丁目,3547,3319,3584,6903
京島二丁目,984,945,837,1782
京島三丁目,2283,2124,2011,4135
文花一丁目,2867,2495,2966,5461
文花二丁目,1217,1113,1149,2262
文花三丁目,1174,1338,1303,2641
八広一丁目,1817,1713,1597,3310
八広二丁目,2031,2033,2017,4050
八広三丁目,1824,1808,1690,3498
八広四丁目,2098,2103,2043,4146
八広五丁目,1534,1404,1435,2839
八広六丁目,2043,2015,1911,3926
立花一丁目,3110,2754,2907,5661
立花二丁目,821,737,720,1457
立花三丁目,1504,1394,1405,2799
立花四丁目,1808,1796,1743,3539
立花五丁目,1760,1997,1927,3924
立花六丁目,1129,1104,1185,2289
東墨田一丁目,60,70,57,127
東墨田二丁目,704,673,618,1291
東墨田三丁目,383,419,381,800
