町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,791,638,646,1284
両国二丁目,1139,958,906,1864
両国三丁目,1145,842,904,1746
両国四丁目,1101,888,883,1771
千歳一丁目,863,731,741,1472
千歳二丁目,557,497,427,924
千歳三丁目,1199,979,990,1969
緑一丁目,1570,1395,1277,2672
緑二丁目,1638,1564,1645,3209
緑三丁目,1330,1253,1144,2397
緑四丁目,2236,1929,1742,3671
立川一丁目,774,577,593,1170
立川二丁目,811,656,644,1300
立川三丁目,963,803,826,1629
立川四丁目,838,691,603,1294
菊川一丁目,806,729,776,1505
菊川二丁目,1307,1042,1118,2160
菊川三丁目,1992,1712,1828,3540
江東橋一丁目,831,646,609,1255
江東橋二丁目,1204,1021,929,1950
江東橋三丁目,465,337,236,573
江東橋四丁目,1424,1046,1013,2059
江東橋五丁目,1584,1430,1422,2852
横網一丁目,130,152,144,296
横網二丁目,671,570,569,1139
亀沢一丁目,1190,1014,1024,2038
亀沢二丁目,918,803,903,1706
亀沢三丁目,935,961,883,1844
亀沢四丁目,1336,1206,1165,2371
石原一丁目,1421,1167,1209,2376
石原二丁目,1248,1137,1121,2258
石原三丁目,1570,1450,1254,2704
石原四丁目,1374,1296,1210,2506
本所一丁目,1545,1445,1405,2850
本所二丁目,867,785,810,1595
本所三丁目,966,883,880,1763
本所四丁目,1206,1118,1077,2195
東駒形一丁目,714,573,597,1170
東駒形二丁目,807,736,738,1474
東駒形三丁目,808,717,701,1418
東駒形四丁目,1360,1184,1163,2347
吾妻橋一丁目,1228,967,1037,2004
吾妻橋二丁目,843,659,677,1336
吾妻橋三丁目,828,776,813,1589
錦糸一丁目,1181,888,852,1740
錦糸二丁目,376,301,240,541
錦糸三丁目,394,322,273,595
錦糸四丁目,882,790,789,1579
太平一丁目,1664,1609,1573,3182
太平二丁目,860,716,602,1318
太平三丁目,713,583,562,1145
太平四丁目,2436,2196,2292,4488
横川一丁目,718,782,675,1457
横川二丁目,832,726,623,1349
横川三丁目,625,568,510,1078
横川四丁目,682,633,554,1187
横川五丁目,1338,1174,1470,2644
業平一丁目,1471,1381,1531,2912
業平二丁目,788,668,622,1290
業平三丁目,843,655,664,1319
業平四丁目,1096,875,949,1824
業平五丁目,1137,1057,1171,2228
向島一丁目,1229,1054,1031,2085
向島二丁目,1359,1185,1250,2435
向島三丁目,2130,1911,1859,3770
向島四丁目,1280,1256,1297,2553
向島五丁目,2290,2013,1939,3952
東向島一丁目,1613,1494,1463,2957
東向島二丁目,2664,2359,2465,4824
東向島三丁目,1589,1578,1652,3230
東向島四丁目,1848,1669,1682,3351
東向島五丁目,2012,1816,1930,3746
東向島六丁目,2774,2628,2640,5268
堤通一丁目,1093,1192,1117,2309
堤通二丁目,2010,1866,2269,4135
墨田一丁目,1249,1357,1466,2823
墨田二丁目,1979,1973,1885,3858
墨田三丁目,1876,1816,1766,3582
墨田四丁目,2416,2316,2441,4757
墨田五丁目,1497,1421,1357,2778
押上一丁目,1262,1031,1130,2161
押上二丁目,2030,1835,1965,3800
押上三丁目,2197,2146,2011,4157
京島一丁目,3498,3311,3514,6825
京島二丁目,978,941,835,1776
京島三丁目,2335,2165,2068,4233
文花一丁目,2862,2505,3023,5528
文花二丁目,1125,1075,1064,2139
文花三丁目,1162,1331,1314,2645
八広一丁目,1740,1700,1583,3283
八広二丁目,1994,2044,1980,4024
八広三丁目,1734,1706,1632,3338
八広四丁目,2006,2066,1952,4018
八広五丁目,1530,1434,1415,2849
八広六丁目,1984,2001,1886,3887
立花一丁目,3102,2807,2942,5749
立花二丁目,798,728,700,1428
立花三丁目,1359,1287,1312,2599
立花四丁目,1726,1789,1700,3489
立花五丁目,1755,1972,1903,3875
立花六丁目,1117,1103,1184,2287
東墨田一丁目,63,76,60,136
東墨田二丁目,643,625,577,1202
東墨田三丁目,381,404,377,781
