町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,910,712,695,1407
両国二丁目,1213,958,985,1943
両国三丁目,1285,952,982,1934
両国四丁目,1233,1001,972,1973
千歳一丁目,945,781,834,1615
千歳二丁目,598,525,476,1001
千歳三丁目,1458,1222,1174,2396
緑一丁目,1840,1578,1463,3041
緑二丁目,1715,1604,1659,3263
緑三丁目,1609,1393,1384,2777
緑四丁目,2695,2297,2124,4421
立川一丁目,872,634,679,1313
立川二丁目,840,683,669,1352
立川三丁目,1074,854,897,1751
立川四丁目,1002,766,773,1539
菊川一丁目,1022,836,909,1745
菊川二丁目,1452,1068,1222,2290
菊川三丁目,2147,1831,1892,3723
江東橋一丁目,869,671,602,1273
江東橋二丁目,1289,1073,961,2034
江東橋三丁目,495,375,221,596
江東橋四丁目,1448,1069,956,2025
江東橋五丁目,1656,1457,1450,2907
横網一丁目,138,161,144,305
横網二丁目,666,566,575,1141
亀沢一丁目,1201,992,1022,2014
亀沢二丁目,990,859,970,1829
亀沢三丁目,1002,1039,994,2033
亀沢四丁目,1429,1314,1247,2561
石原一丁目,1540,1219,1263,2482
石原二丁目,1415,1234,1248,2482
石原三丁目,1678,1493,1364,2857
石原四丁目,1509,1384,1324,2708
本所一丁目,1605,1427,1428,2855
本所二丁目,930,776,836,1612
本所三丁目,989,858,876,1734
本所四丁目,1424,1250,1194,2444
東駒形一丁目,842,659,670,1329
東駒形二丁目,835,734,762,1496
東駒形三丁目,911,746,744,1490
東駒形四丁目,1434,1163,1227,2390
吾妻橋一丁目,1280,990,1060,2050
吾妻橋二丁目,898,679,725,1404
吾妻橋三丁目,866,791,830,1621
錦糸一丁目,1295,976,922,1898
錦糸二丁目,392,307,237,544
錦糸三丁目,410,342,271,613
錦糸四丁目,918,819,819,1638
太平一丁目,1777,1683,1647,3330
太平二丁目,855,709,573,1282
太平三丁目,819,660,609,1269
太平四丁目,2528,2235,2281,4516
横川一丁目,790,816,730,1546
横川二丁目,943,796,702,1498
横川三丁目,679,582,545,1127
横川四丁目,693,617,551,1168
横川五丁目,1400,1165,1517,2682
業平一丁目,1549,1391,1581,2972
業平二丁目,795,672,603,1275
業平三丁目,865,670,692,1362
業平四丁目,1176,891,975,1866
業平五丁目,1160,1073,1175,2248
向島一丁目,1375,1124,1120,2244
向島二丁目,1535,1256,1382,2638
向島三丁目,2585,2260,2231,4491
向島四丁目,1323,1227,1319,2546
向島五丁目,2546,2115,2106,4221
東向島一丁目,1758,1571,1525,3096
東向島二丁目,2816,2388,2547,4935
東向島三丁目,1695,1655,1713,3368
東向島四丁目,1956,1700,1723,3423
東向島五丁目,2118,1814,1962,3776
東向島六丁目,2953,2717,2739,5456
堤通一丁目,1109,1151,1085,2236
堤通二丁目,2027,1763,2253,4016
墨田一丁目,1385,1439,1571,3010
墨田二丁目,2025,1944,1895,3839
墨田三丁目,1997,1813,1798,3611
墨田四丁目,2431,2307,2392,4699
墨田五丁目,1518,1375,1357,2732
押上一丁目,1300,1010,1104,2114
押上二丁目,1967,1731,1871,3602
押上三丁目,2293,2147,2111,4258
京島一丁目,3568,3350,3600,6950
京島二丁目,968,930,825,1755
京島三丁目,2266,2089,2021,4110
文花一丁目,2928,2482,2930,5412
文花二丁目,1260,1127,1166,2293
文花三丁目,1185,1317,1290,2607
八広一丁目,1817,1715,1598,3313
八広二丁目,2167,2124,2028,4152
八広三丁目,1805,1787,1663,3450
八広四丁目,2264,2202,2144,4346
八広五丁目,1572,1396,1440,2836
八広六丁目,2063,2013,1937,3950
立花一丁目,3068,2655,2846,5501
立花二丁目,839,773,758,1531
立花三丁目,1547,1417,1409,2826
立花四丁目,1820,1795,1708,3503
立花五丁目,1896,2103,2060,4163
立花六丁目,1129,1065,1171,2236
東墨田一丁目,62,67,61,128
東墨田二丁目,725,655,623,1278
東墨田三丁目,377,400,371,771
