町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,842,659,677,1336
両国二丁目,1149,945,922,1867
両国三丁目,1135,831,899,1730
両国四丁目,1136,900,899,1799
千歳一丁目,930,779,793,1572
千歳二丁目,553,498,426,924
千歳三丁目,1206,981,985,1966
緑一丁目,1613,1412,1310,2722
緑二丁目,1639,1569,1610,3179
緑三丁目,1429,1315,1206,2521
緑四丁目,2335,2038,1846,3884
立川一丁目,802,592,617,1209
立川二丁目,813,659,652,1311
立川三丁目,978,813,819,1632
立川四丁目,862,713,647,1360
菊川一丁目,849,759,814,1573
菊川二丁目,1315,1047,1132,2179
菊川三丁目,2077,1756,1883,3639
江東橋一丁目,826,634,621,1255
江東橋二丁目,1213,1042,925,1967
江東橋三丁目,470,345,227,572
江東橋四丁目,1421,1044,996,2040
江東橋五丁目,1602,1446,1437,2883
横網一丁目,129,151,143,294
横網二丁目,684,587,573,1160
亀沢一丁目,1195,1009,1034,2043
亀沢二丁目,938,823,924,1747
亀沢三丁目,935,961,899,1860
亀沢四丁目,1379,1251,1183,2434
石原一丁目,1436,1176,1214,2390
石原二丁目,1298,1167,1154,2321
石原三丁目,1539,1418,1266,2684
石原四丁目,1392,1308,1222,2530
本所一丁目,1576,1457,1433,2890
本所二丁目,882,781,820,1601
本所三丁目,986,891,892,1783
本所四丁目,1235,1127,1076,2203
東駒形一丁目,712,581,587,1168
東駒形二丁目,821,743,747,1490
東駒形三丁目,821,718,711,1429
東駒形四丁目,1357,1178,1155,2333
吾妻橋一丁目,1250,974,1047,2021
吾妻橋二丁目,852,670,687,1357
吾妻橋三丁目,828,780,815,1595
錦糸一丁目,1198,906,859,1765
錦糸二丁目,371,292,241,533
錦糸三丁目,399,336,265,601
錦糸四丁目,884,785,796,1581
太平一丁目,1684,1621,1590,3211
太平二丁目,847,710,589,1299
太平三丁目,718,587,572,1159
太平四丁目,2454,2210,2282,4492
横川一丁目,725,781,686,1467
横川二丁目,830,730,623,1353
横川三丁目,614,553,504,1057
横川四丁目,682,633,546,1179
横川五丁目,1328,1152,1453,2605
業平一丁目,1455,1383,1521,2904
業平二丁目,805,675,646,1321
業平三丁目,850,652,661,1313
業平四丁目,1127,892,971,1863
業平五丁目,1138,1063,1154,2217
向島一丁目,1259,1072,1052,2124
向島二丁目,1387,1198,1268,2466
向島三丁目,2208,1953,1923,3876
向島四丁目,1270,1240,1282,2522
向島五丁目,2370,2049,1976,4025
東向島一丁目,1612,1489,1453,2942
東向島二丁目,2678,2367,2459,4826
東向島三丁目,1592,1589,1660,3249
東向島四丁目,1875,1678,1724,3402
東向島五丁目,2040,1820,1936,3756
東向島六丁目,2808,2649,2664,5313
堤通一丁目,1120,1185,1124,2309
堤通二丁目,2005,1840,2244,4084
墨田一丁目,1257,1369,1458,2827
墨田二丁目,1991,1969,1900,3869
墨田三丁目,1902,1819,1769,3588
墨田四丁目,2424,2313,2440,4753
墨田五丁目,1497,1404,1347,2751
押上一丁目,1280,1033,1126,2159
押上二丁目,2014,1817,1954,3771
押上三丁目,2225,2166,2015,4181
京島一丁目,3530,3319,3539,6858
京島二丁目,971,936,829,1765
京島三丁目,2319,2153,2060,4213
文花一丁目,2888,2529,3025,5554
文花二丁目,1145,1077,1097,2174
文花三丁目,1163,1335,1303,2638
八広一丁目,1746,1687,1581,3268
八広二丁目,2005,2046,1991,4037
八広三丁目,1777,1749,1653,3402
八広四丁目,2067,2101,2003,4104
八広五丁目,1537,1431,1420,2851
八広六丁目,2003,2001,1878,3879
立花一丁目,3063,2763,2911,5674
立花二丁目,821,732,714,1446
立花三丁目,1397,1316,1328,2644
立花四丁目,1764,1793,1718,3511
立花五丁目,1770,2001,1922,3923
立花六丁目,1134,1109,1184,2293
東墨田一丁目,65,78,60,138
東墨田二丁目,687,660,606,1266
東墨田三丁目,372,402,371,773
