町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,798,643,658,1301
両国二丁目,1143,961,896,1857
両国三丁目,1093,805,861,1666
両国四丁目,1100,893,884,1777
千歳一丁目,860,725,743,1468
千歳二丁目,562,495,417,912
千歳三丁目,1182,964,960,1924
緑一丁目,1552,1388,1271,2659
緑二丁目,1631,1564,1617,3181
緑三丁目,1300,1222,1126,2348
緑四丁目,2210,1909,1733,3642
立川一丁目,744,579,573,1152
立川二丁目,799,649,638,1287
立川三丁目,951,789,813,1602
立川四丁目,819,677,584,1261
菊川一丁目,796,726,753,1479
菊川二丁目,1277,1021,1110,2131
菊川三丁目,1991,1711,1819,3530
江東橋一丁目,823,633,610,1243
江東橋二丁目,1231,1055,921,1976
江東橋三丁目,455,317,238,555
江東橋四丁目,1434,1043,1019,2062
江東橋五丁目,1551,1412,1415,2827
横網一丁目,126,147,136,283
横網二丁目,654,556,542,1098
亀沢一丁目,1147,995,987,1982
亀沢二丁目,896,787,883,1670
亀沢三丁目,932,953,882,1835
亀沢四丁目,1342,1210,1153,2363
石原一丁目,1422,1185,1192,2377
石原二丁目,1252,1151,1126,2277
石原三丁目,1572,1445,1241,2686
石原四丁目,1375,1329,1199,2528
本所一丁目,1455,1394,1339,2733
本所二丁目,856,785,812,1597
本所三丁目,949,878,876,1754
本所四丁目,1198,1117,1072,2189
東駒形一丁目,719,576,604,1180
東駒形二丁目,812,740,745,1485
東駒形三丁目,814,723,708,1431
東駒形四丁目,1372,1199,1159,2358
吾妻橋一丁目,1209,947,1036,1983
吾妻橋二丁目,840,668,669,1337
吾妻橋三丁目,822,766,810,1576
錦糸一丁目,1185,909,835,1744
錦糸二丁目,374,294,249,543
錦糸三丁目,402,321,283,604
錦糸四丁目,870,776,767,1543
太平一丁目,1655,1606,1558,3164
太平二丁目,869,726,605,1331
太平三丁目,696,564,543,1107
太平四丁目,2388,2178,2258,4436
横川一丁目,727,789,680,1469
横川二丁目,828,715,618,1333
横川三丁目,623,568,508,1076
横川四丁目,694,651,565,1216
横川五丁目,1339,1179,1458,2637
業平一丁目,1476,1388,1541,2929
業平二丁目,806,680,622,1302
業平三丁目,835,657,660,1317
業平四丁目,1092,894,947,1841
業平五丁目,1149,1066,1171,2237
向島一丁目,1211,1053,1006,2059
向島二丁目,1353,1184,1237,2421
向島三丁目,2096,1853,1802,3655
向島四丁目,1275,1261,1284,2545
向島五丁目,2298,2024,1950,3974
東向島一丁目,1622,1490,1467,2957
東向島二丁目,2656,2360,2439,4799
東向島三丁目,1580,1574,1661,3235
東向島四丁目,1831,1663,1692,3355
東向島五丁目,1996,1818,1913,3731
東向島六丁目,2717,2590,2595,5185
堤通一丁目,1100,1212,1118,2330
堤通二丁目,2038,1892,2303,4195
墨田一丁目,1233,1355,1465,2820
墨田二丁目,1975,1992,1890,3882
墨田三丁目,1845,1813,1750,3563
墨田四丁目,2418,2313,2461,4774
墨田五丁目,1490,1425,1353,2778
押上一丁目,1264,1047,1133,2180
押上二丁目,2002,1822,1935,3757
押上三丁目,2182,2114,1980,4094
京島一丁目,3355,3206,3379,6585
京島二丁目,982,947,846,1793
京島三丁目,2353,2187,2113,4300
文花一丁目,2878,2534,3042,5576
文花二丁目,1134,1096,1071,2167
文花三丁目,1158,1326,1312,2638
八広一丁目,1720,1689,1565,3254
八広二丁目,1995,2052,1990,4042
八広三丁目,1742,1709,1636,3345
八広四丁目,1947,2023,1875,3898
八広五丁目,1493,1423,1406,2829
八広六丁目,1969,2001,1895,3896
立花一丁目,3117,2843,2930,5773
立花二丁目,815,754,709,1463
立花三丁目,1374,1291,1310,2601
立花四丁目,1749,1818,1721,3539
立花五丁目,1743,1957,1907,3864
立花六丁目,1122,1116,1183,2299
東墨田一丁目,66,77,62,139
東墨田二丁目,632,617,563,1180
東墨田三丁目,385,414,368,782
