町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,893,694,694,1388
両国二丁目,1235,982,995,1977
両国三丁目,1265,944,973,1917
両国四丁目,1217,997,961,1958
千歳一丁目,943,783,831,1614
千歳二丁目,609,540,480,1020
千歳三丁目,1464,1224,1176,2400
緑一丁目,1817,1552,1442,2994
緑二丁目,1716,1600,1662,3262
緑三丁目,1615,1401,1373,2774
緑四丁目,2670,2283,2108,4391
立川一丁目,851,623,670,1293
立川二丁目,857,697,671,1368
立川三丁目,1074,857,905,1762
立川四丁目,1004,760,779,1539
菊川一丁目,1020,840,900,1740
菊川二丁目,1456,1069,1227,2296
菊川三丁目,2162,1830,1894,3724
江東橋一丁目,850,656,595,1251
江東橋二丁目,1291,1084,964,2048
江東橋三丁目,502,377,228,605
江東橋四丁目,1470,1087,972,2059
江東橋五丁目,1618,1436,1427,2863
横網一丁目,137,156,143,299
横網二丁目,667,568,579,1147
亀沢一丁目,1190,990,1016,2006
亀沢二丁目,989,848,974,1822
亀沢三丁目,1017,1043,1005,2048
亀沢四丁目,1428,1312,1236,2548
石原一丁目,1534,1212,1262,2474
石原二丁目,1422,1246,1248,2494
石原三丁目,1682,1500,1374,2874
石原四丁目,1501,1373,1320,2693
本所一丁目,1588,1430,1418,2848
本所二丁目,916,773,824,1597
本所三丁目,969,857,852,1709
本所四丁目,1402,1235,1179,2414
東駒形一丁目,833,648,671,1319
東駒形二丁目,838,738,759,1497
東駒形三丁目,903,748,737,1485
東駒形四丁目,1435,1166,1233,2399
吾妻橋一丁目,1283,986,1070,2056
吾妻橋二丁目,900,672,726,1398
吾妻橋三丁目,874,798,828,1626
錦糸一丁目,1306,1005,921,1926
錦糸二丁目,392,310,240,550
錦糸三丁目,412,345,276,621
錦糸四丁目,914,812,819,1631
太平一丁目,1771,1680,1639,3319
太平二丁目,860,719,566,1285
太平三丁目,782,636,588,1224
太平四丁目,2542,2238,2303,4541
横川一丁目,798,826,725,1551
横川二丁目,938,788,707,1495
横川三丁目,675,580,546,1126
横川四丁目,700,627,556,1183
横川五丁目,1395,1154,1506,2660
業平一丁目,1539,1395,1565,2960
業平二丁目,796,679,607,1286
業平三丁目,867,676,690,1366
業平四丁目,1163,884,975,1859
業平五丁目,1171,1072,1196,2268
向島一丁目,1343,1104,1092,2196
向島二丁目,1533,1262,1383,2645
向島三丁目,2583,2247,2230,4477
向島四丁目,1336,1239,1326,2565
向島五丁目,2497,2110,2067,4177
東向島一丁目,1756,1570,1517,3087
東向島二丁目,2837,2409,2570,4979
東向島三丁目,1679,1661,1712,3373
東向島四丁目,1964,1709,1738,3447
東向島五丁目,2118,1821,1954,3775
東向島六丁目,2968,2731,2731,5462
堤通一丁目,1110,1157,1076,2233
堤通二丁目,2030,1778,2253,4031
墨田一丁目,1397,1449,1587,3036
墨田二丁目,2019,1942,1896,3838
墨田三丁目,2004,1822,1811,3633
墨田四丁目,2429,2312,2391,4703
墨田五丁目,1529,1381,1365,2746
押上一丁目,1311,1022,1126,2148
押上二丁目,1974,1748,1881,3629
押上三丁目,2259,2130,2091,4221
京島一丁目,3568,3351,3610,6961
京島二丁目,972,931,839,1770
京島三丁目,2275,2093,2023,4116
文花一丁目,2932,2485,2938,5423
文花二丁目,1253,1124,1165,2289
文花三丁目,1190,1330,1300,2630
八広一丁目,1805,1701,1603,3304
八広二丁目,2135,2103,2021,4124
八広三丁目,1808,1797,1664,3461
八広四丁目,2239,2181,2129,4310
八広五丁目,1585,1413,1454,2867
八広六丁目,2071,2026,1929,3955
立花一丁目,3076,2672,2863,5535
立花二丁目,849,784,766,1550
立花三丁目,1546,1402,1426,2828
立花四丁目,1819,1795,1712,3507
立花五丁目,1875,2078,2043,4121
立花六丁目,1128,1070,1165,2235
東墨田一丁目,62,67,61,128
東墨田二丁目,707,653,611,1264
東墨田三丁目,377,402,372,774
