町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,860,669,682,1351
両国二丁目,1186,970,936,1906
両国三丁目,1146,849,909,1758
両国四丁目,1136,903,906,1809
千歳一丁目,932,784,793,1577
千歳二丁目,542,487,433,920
千歳三丁目,1212,995,997,1992
緑一丁目,1656,1449,1344,2793
緑二丁目,1628,1564,1599,3163
緑三丁目,1437,1318,1225,2543
緑四丁目,2340,2052,1855,3907
立川一丁目,836,611,649,1260
立川二丁目,823,657,671,1328
立川三丁目,967,808,809,1617
立川四丁目,867,709,649,1358
菊川一丁目,861,765,817,1582
菊川二丁目,1316,1048,1123,2171
菊川三丁目,2093,1777,1890,3667
江東橋一丁目,818,627,611,1238
江東橋二丁目,1207,1037,925,1962
江東橋三丁目,465,342,226,568
江東橋四丁目,1415,1040,1001,2041
江東橋五丁目,1605,1450,1443,2893
横網一丁目,130,149,147,296
横網二丁目,680,585,580,1165
亀沢一丁目,1193,1026,1032,2058
亀沢二丁目,940,815,936,1751
亀沢三丁目,955,992,941,1933
亀沢四丁目,1401,1268,1201,2469
石原一丁目,1443,1183,1209,2392
石原二丁目,1338,1201,1179,2380
石原三丁目,1580,1457,1285,2742
石原四丁目,1378,1294,1216,2510
本所一丁目,1584,1458,1427,2885
本所二丁目,887,783,822,1605
本所三丁目,978,886,881,1767
本所四丁目,1258,1147,1084,2231
東駒形一丁目,715,580,587,1167
東駒形二丁目,807,734,754,1488
東駒形三丁目,817,716,711,1427
東駒形四丁目,1360,1180,1152,2332
吾妻橋一丁目,1253,975,1057,2032
吾妻橋二丁目,849,670,681,1351
吾妻橋三丁目,843,790,818,1608
錦糸一丁目,1181,904,857,1761
錦糸二丁目,380,303,239,542
錦糸三丁目,397,330,265,595
錦糸四丁目,886,789,801,1590
太平一丁目,1676,1616,1587,3203
太平二丁目,837,695,582,1277
太平三丁目,712,588,561,1149
太平四丁目,2475,2227,2290,4517
横川一丁目,715,773,684,1457
横川二丁目,831,730,630,1360
横川三丁目,612,550,506,1056
横川四丁目,682,645,542,1187
横川五丁目,1347,1151,1475,2626
業平一丁目,1457,1381,1526,2907
業平二丁目,794,664,645,1309
業平三丁目,848,650,666,1316
業平四丁目,1118,876,968,1844
業平五丁目,1146,1069,1156,2225
向島一丁目,1250,1052,1050,2102
向島二丁目,1408,1209,1273,2482
向島三丁目,2305,2025,2004,4029
向島四丁目,1272,1237,1278,2515
向島五丁目,2386,2052,1992,4044
東向島一丁目,1614,1496,1449,2945
東向島二丁目,2717,2388,2498,4886
東向島三丁目,1597,1599,1663,3262
東向島四丁目,1866,1667,1713,3380
東向島五丁目,2047,1812,1931,3743
東向島六丁目,2796,2623,2659,5282
堤通一丁目,1117,1161,1104,2265
堤通二丁目,2010,1850,2248,4098
墨田一丁目,1267,1374,1473,2847
墨田二丁目,1986,1956,1901,3857
墨田三丁目,1894,1805,1749,3554
墨田四丁目,2426,2312,2441,4753
墨田五丁目,1508,1402,1357,2759
押上一丁目,1270,1023,1109,2132
押上二丁目,2023,1823,1957,3780
押上三丁目,2231,2152,2030,4182
京島一丁目,3532,3330,3563,6893
京島二丁目,989,948,834,1782
京島三丁目,2323,2166,2051,4217
文花一丁目,2900,2526,3029,5555
文花二丁目,1152,1083,1108,2191
文花三丁目,1168,1339,1303,2642
八広一丁目,1742,1687,1580,3267
八広二丁目,2032,2056,2012,4068
八広三丁目,1806,1800,1671,3471
八広四丁目,2072,2089,2014,4103
八広五丁目,1531,1429,1428,2857
八広六丁目,2025,2020,1892,3912
立花一丁目,3063,2756,2900,5656
立花二丁目,815,732,711,1443
立花三丁目,1405,1321,1327,2648
立花四丁目,1779,1805,1730,3535
立花五丁目,1760,1998,1919,3917
立花六丁目,1126,1093,1166,2259
東墨田一丁目,63,75,60,135
東墨田二丁目,693,661,615,1276
東墨田三丁目,375,407,376,783
