町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,990,758,754,1512
両国二丁目,1222,956,963,1919
両国三丁目,1292,947,946,1893
両国四丁目,1301,1030,1034,2064
千歳一丁目,996,804,836,1640
千歳二丁目,641,530,500,1030
千歳三丁目,1473,1213,1176,2389
緑一丁目,1939,1600,1545,3145
緑二丁目,1746,1612,1682,3294
緑三丁目,1657,1443,1420,2863
緑四丁目,2733,2315,2116,4431
立川一丁目,904,626,695,1321
立川二丁目,881,683,706,1389
立川三丁目,1099,851,911,1762
立川四丁目,1026,771,774,1545
菊川一丁目,1099,855,955,1810
菊川二丁目,1464,1089,1225,2314
菊川三丁目,2139,1799,1882,3681
江東橋一丁目,889,685,609,1294
江東橋二丁目,1314,1087,989,2076
江東橋三丁目,492,381,216,597
江東橋四丁目,1451,1052,975,2027
江東橋五丁目,1654,1421,1471,2892
横網一丁目,129,149,145,294
横網二丁目,668,557,563,1120
亀沢一丁目,1201,980,1020,2000
亀沢二丁目,999,854,985,1839
亀沢三丁目,1107,1081,1033,2114
亀沢四丁目,1520,1351,1299,2650
石原一丁目,1577,1242,1292,2534
石原二丁目,1420,1218,1249,2467
石原三丁目,1674,1488,1336,2824
石原四丁目,1574,1437,1404,2841
本所一丁目,1679,1452,1507,2959
本所二丁目,919,756,820,1576
本所三丁目,1040,870,913,1783
本所四丁目,1505,1266,1245,2511
東駒形一丁目,871,658,684,1342
東駒形二丁目,814,738,739,1477
東駒形三丁目,951,761,761,1522
東駒形四丁目,1482,1181,1246,2427
吾妻橋一丁目,1303,988,1075,2063
吾妻橋二丁目,937,686,736,1422
吾妻橋三丁目,855,760,819,1579
錦糸一丁目,1299,978,884,1862
錦糸二丁目,391,301,243,544
錦糸三丁目,418,341,266,607
錦糸四丁目,915,809,807,1616
太平一丁目,1850,1745,1661,3406
太平二丁目,866,705,581,1286
太平三丁目,839,666,627,1293
太平四丁目,2559,2236,2239,4475
横川一丁目,808,820,728,1548
横川二丁目,933,784,684,1468
横川三丁目,686,587,536,1123
横川四丁目,691,600,552,1152
横川五丁目,1406,1161,1494,2655
業平一丁目,1547,1365,1547,2912
業平二丁目,806,669,592,1261
業平三丁目,845,663,674,1337
業平四丁目,1218,918,951,1869
業平五丁目,1206,1069,1214,2283
向島一丁目,1401,1131,1147,2278
向島二丁目,1524,1234,1371,2605
向島三丁目,2653,2258,2256,4514
向島四丁目,1307,1218,1293,2511
向島五丁目,2552,2112,2088,4200
東向島一丁目,1746,1556,1503,3059
東向島二丁目,2815,2350,2552,4902
東向島三丁目,1707,1627,1726,3353
東向島四丁目,2005,1710,1749,3459
東向島五丁目,2173,1828,1978,3806
東向島六丁目,2970,2699,2704,5403
堤通一丁目,1069,1126,1092,2218
堤通二丁目,1985,1692,2178,3870
墨田一丁目,1373,1450,1576,3026
墨田二丁目,2010,1900,1894,3794
墨田三丁目,1975,1791,1759,3550
墨田四丁目,2409,2290,2356,4646
墨田五丁目,1527,1368,1361,2729
押上一丁目,1346,1055,1140,2195
押上二丁目,1960,1718,1843,3561
押上三丁目,2279,2126,2114,4240
京島一丁目,3559,3337,3646,6983
京島二丁目,967,928,813,1741
京島三丁目,2275,2117,2003,4120
文花一丁目,2889,2420,2861,5281
文花二丁目,1252,1105,1164,2269
文花三丁目,1199,1314,1309,2623
八広一丁目,1890,1748,1633,3381
八広二丁目,2257,2167,2059,4226
八広三丁目,1869,1790,1702,3492
八広四丁目,2397,2279,2175,4454
八広五丁目,1574,1406,1436,2842
八広六丁目,2087,2039,1941,3980
立花一丁目,3023,2602,2774,5376
立花二丁目,829,758,759,1517
立花三丁目,1583,1417,1414,2831
立花四丁目,1829,1773,1701,3474
立花五丁目,1927,2111,2084,4195
立花六丁目,1135,1049,1174,2223
東墨田一丁目,63,67,61,128
東墨田二丁目,764,686,653,1339
東墨田三丁目,375,390,382,772
