町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,865,665,675,1340
両国二丁目,1214,989,963,1952
両国三丁目,1164,856,919,1775
両国四丁目,1153,907,910,1817
千歳一丁目,930,788,787,1575
千歳二丁目,548,484,440,924
千歳三丁目,1368,1145,1146,2291
緑一丁目,1662,1459,1338,2797
緑二丁目,1637,1535,1630,3165
緑三丁目,1440,1297,1237,2534
緑四丁目,2369,2065,1867,3932
立川一丁目,842,608,662,1270
立川二丁目,831,670,659,1329
立川三丁目,989,806,825,1631
立川四丁目,887,718,674,1392
菊川一丁目,902,768,843,1611
菊川二丁目,1334,1045,1146,2191
菊川三丁目,2116,1804,1891,3695
江東橋一丁目,853,660,624,1284
江東橋二丁目,1232,1037,936,1973
江東橋三丁目,476,353,217,570
江東橋四丁目,1438,1039,1009,2048
江東橋五丁目,1616,1463,1445,2908
横網一丁目,127,150,140,290
横網二丁目,667,570,573,1143
亀沢一丁目,1195,1032,1031,2063
亀沢二丁目,931,809,930,1739
亀沢三丁目,955,997,941,1938
亀沢四丁目,1404,1265,1198,2463
石原一丁目,1458,1182,1200,2382
石原二丁目,1346,1225,1195,2420
石原三丁目,1593,1464,1299,2763
石原四丁目,1416,1314,1231,2545
本所一丁目,1580,1460,1422,2882
本所二丁目,903,786,828,1614
本所三丁目,976,894,870,1764
本所四丁目,1288,1176,1092,2268
東駒形一丁目,734,595,590,1185
東駒形二丁目,825,739,760,1499
東駒形三丁目,836,719,719,1438
東駒形四丁目,1375,1170,1175,2345
吾妻橋一丁目,1267,980,1065,2045
吾妻橋二丁目,875,670,709,1379
吾妻橋三丁目,856,794,834,1628
錦糸一丁目,1226,939,895,1834
錦糸二丁目,368,288,234,522
錦糸三丁目,385,322,257,579
錦糸四丁目,898,804,810,1614
太平一丁目,1676,1607,1574,3181
太平二丁目,835,704,574,1278
太平三丁目,736,593,584,1177
太平四丁目,2509,2251,2305,4556
横川一丁目,761,811,702,1513
横川二丁目,846,748,631,1379
横川三丁目,625,556,505,1061
横川四丁目,689,631,555,1186
横川五丁目,1420,1226,1551,2777
業平一丁目,1472,1389,1541,2930
業平二丁目,791,668,623,1291
業平三丁目,841,648,669,1317
業平四丁目,1136,880,980,1860
業平五丁目,1128,1067,1148,2215
向島一丁目,1262,1057,1035,2092
向島二丁目,1432,1224,1302,2526
向島三丁目,2385,2080,2073,4153
向島四丁目,1295,1239,1295,2534
向島五丁目,2441,2073,2043,4116
東向島一丁目,1614,1497,1441,2938
東向島二丁目,2794,2415,2539,4954
東向島三丁目,1578,1595,1656,3251
東向島四丁目,1864,1660,1717,3377
東向島五丁目,2084,1820,1958,3778
東向島六丁目,2848,2640,2670,5310
堤通一丁目,1120,1161,1103,2264
堤通二丁目,2005,1825,2238,4063
墨田一丁目,1384,1451,1585,3036
墨田二丁目,2000,1971,1906,3877
墨田三丁目,1898,1795,1742,3537
墨田四丁目,2398,2308,2390,4698
墨田五丁目,1516,1400,1348,2748
押上一丁目,1277,1029,1106,2135
押上二丁目,2009,1794,1939,3733
押上三丁目,2236,2155,2037,4192
京島一丁目,3555,3330,3594,6924
京島二丁目,975,934,834,1768
京島三丁目,2290,2135,2018,4153
文花一丁目,2885,2508,2985,5493
文花二丁目,1197,1099,1135,2234
文花三丁目,1177,1346,1302,2648
八広一丁目,1797,1706,1597,3303
八広二丁目,2031,2037,2014,4051
八広三丁目,1835,1804,1700,3504
八広四丁目,2093,2102,2043,4145
八広五丁目,1531,1414,1439,2853
八広六丁目,2052,2032,1922,3954
立花一丁目,3141,2790,2935,5725
立花二丁目,816,723,720,1443
立花三丁目,1426,1328,1339,2667
立花四丁目,1799,1795,1743,3538
立花五丁目,1759,1981,1911,3892
立花六丁目,1133,1106,1189,2295
東墨田一丁目,61,71,58,129
東墨田二丁目,697,665,612,1277
東墨田三丁目,383,415,382,797
