町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,861,670,674,1344
両国二丁目,1233,993,990,1983
両国三丁目,1218,888,967,1855
両国四丁目,1169,927,905,1832
千歳一丁目,965,807,834,1641
千歳二丁目,581,506,469,975
千歳三丁目,1390,1163,1161,2324
緑一丁目,1731,1488,1377,2865
緑二丁目,1716,1585,1669,3254
緑三丁目,1490,1334,1277,2611
緑四丁目,2541,2204,2021,4225
立川一丁目,859,615,679,1294
立川二丁目,849,681,672,1353
立川三丁目,1002,814,831,1645
立川四丁目,991,764,756,1520
菊川一丁目,945,797,862,1659
菊川二丁目,1403,1052,1200,2252
菊川三丁目,2144,1811,1905,3716
江東橋一丁目,852,668,605,1273
江東橋二丁目,1262,1060,973,2033
江東橋三丁目,511,376,230,606
江東橋四丁目,1459,1090,958,2048
江東橋五丁目,1623,1473,1457,2930
横網一丁目,133,151,140,291
横網二丁目,663,571,569,1140
亀沢一丁目,1179,1002,1034,2036
亀沢二丁目,983,842,980,1822
亀沢三丁目,995,1039,970,2009
亀沢四丁目,1409,1275,1221,2496
石原一丁目,1483,1184,1226,2410
石原二丁目,1405,1247,1232,2479
石原三丁目,1676,1524,1351,2875
石原四丁目,1428,1311,1252,2563
本所一丁目,1568,1435,1406,2841
本所二丁目,892,772,825,1597
本所三丁目,978,888,860,1748
本所四丁目,1354,1231,1144,2375
東駒形一丁目,779,616,621,1237
東駒形二丁目,821,735,744,1479
東駒形三丁目,895,743,738,1481
東駒形四丁目,1410,1162,1213,2375
吾妻橋一丁目,1282,965,1085,2050
吾妻橋二丁目,903,674,725,1399
吾妻橋三丁目,852,779,831,1610
錦糸一丁目,1275,971,916,1887
錦糸二丁目,379,301,230,531
錦糸三丁目,417,339,271,610
錦糸四丁目,914,821,815,1636
太平一丁目,1738,1640,1614,3254
太平二丁目,854,727,570,1297
太平三丁目,786,633,604,1237
太平四丁目,2520,2233,2288,4521
横川一丁目,786,829,723,1552
横川二丁目,896,765,674,1439
横川三丁目,631,546,514,1060
横川四丁目,690,626,558,1184
横川五丁目,1402,1195,1522,2717
業平一丁目,1504,1398,1552,2950
業平二丁目,785,673,619,1292
業平三丁目,837,666,665,1331
業平四丁目,1155,887,974,1861
業平五丁目,1137,1062,1168,2230
向島一丁目,1290,1052,1061,2113
向島二丁目,1535,1276,1385,2661
向島三丁目,2488,2182,2167,4349
向島四丁目,1318,1248,1306,2554
向島五丁目,2523,2145,2082,4227
東向島一丁目,1655,1526,1458,2984
東向島二丁目,2828,2408,2549,4957
東向島三丁目,1599,1622,1649,3271
東向島四丁目,1920,1697,1757,3454
東向島五丁目,2097,1815,1962,3777
東向島六丁目,2919,2675,2694,5369
堤通一丁目,1155,1164,1115,2279
堤通二丁目,2014,1795,2224,4019
墨田一丁目,1404,1472,1598,3070
墨田二丁目,1969,1892,1923,3815
墨田三丁目,1979,1815,1778,3593
墨田四丁目,2403,2305,2382,4687
墨田五丁目,1545,1410,1392,2802
押上一丁目,1318,1027,1138,2165
押上二丁目,1968,1759,1910,3669
押上三丁目,2253,2135,2086,4221
京島一丁目,3564,3346,3595,6941
京島二丁目,972,929,836,1765
京島三丁目,2304,2137,2015,4152
文花一丁目,2913,2487,2965,5452
文花二丁目,1248,1125,1169,2294
文花三丁目,1190,1352,1310,2662
八広一丁目,1805,1692,1619,3311
八広二丁目,2072,2043,2015,4058
八広三丁目,1827,1812,1667,3479
八広四丁目,2124,2120,2064,4184
八広五丁目,1554,1421,1438,2859
八広六丁目,2059,2028,1918,3946
立花一丁目,3098,2736,2907,5643
立花二丁目,817,736,722,1458
立花三丁目,1527,1418,1410,2828
立花四丁目,1807,1800,1707,3507
立花五丁目,1778,2007,1965,3972
立花六丁目,1119,1075,1178,2253
東墨田一丁目,63,71,57,128
東墨田二丁目,706,664,616,1280
東墨田三丁目,377,410,377,787
