町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,993,757,756,1513
両国二丁目,1216,949,960,1909
両国三丁目,1294,942,951,1893
両国四丁目,1297,1026,1032,2058
千歳一丁目,989,794,833,1627
千歳二丁目,638,528,504,1032
千歳三丁目,1472,1205,1180,2385
緑一丁目,1926,1603,1534,3137
緑二丁目,1746,1605,1679,3284
緑三丁目,1658,1439,1418,2857
緑四丁目,2722,2312,2103,4415
立川一丁目,910,631,700,1331
立川二丁目,887,683,714,1397
立川三丁目,1101,853,915,1768
立川四丁目,1018,764,771,1535
菊川一丁目,1086,846,951,1797
菊川二丁目,1457,1085,1217,2302
菊川三丁目,2144,1804,1889,3693
江東橋一丁目,872,677,599,1276
江東橋二丁目,1311,1090,982,2072
江東橋三丁目,490,381,214,595
江東橋四丁目,1447,1055,978,2033
江東橋五丁目,1653,1419,1458,2877
横網一丁目,130,150,146,296
横網二丁目,671,558,566,1124
亀沢一丁目,1206,982,1024,2006
亀沢二丁目,993,847,977,1824
亀沢三丁目,1109,1083,1035,2118
亀沢四丁目,1528,1354,1304,2658
石原一丁目,1567,1234,1283,2517
石原二丁目,1424,1222,1264,2486
石原三丁目,1677,1486,1345,2831
石原四丁目,1567,1429,1386,2815
本所一丁目,1681,1451,1514,2965
本所二丁目,920,754,818,1572
本所三丁目,1042,873,916,1789
本所四丁目,1507,1271,1248,2519
東駒形一丁目,865,651,671,1322
東駒形二丁目,810,734,732,1466
東駒形三丁目,953,765,757,1522
東駒形四丁目,1482,1180,1243,2423
吾妻橋一丁目,1303,989,1074,2063
吾妻橋二丁目,938,683,739,1422
吾妻橋三丁目,862,765,819,1584
錦糸一丁目,1292,981,882,1863
錦糸二丁目,392,300,246,546
錦糸三丁目,420,341,267,608
錦糸四丁目,917,808,807,1615
太平一丁目,1852,1736,1655,3391
太平二丁目,866,706,578,1284
太平三丁目,837,663,626,1289
太平四丁目,2541,2223,2217,4440
横川一丁目,806,821,724,1545
横川二丁目,933,782,683,1465
横川三丁目,681,585,531,1116
横川四丁目,686,597,550,1147
横川五丁目,1405,1162,1484,2646
業平一丁目,1547,1370,1544,2914
業平二丁目,813,675,600,1275
業平三丁目,844,660,673,1333
業平四丁目,1223,921,950,1871
業平五丁目,1200,1059,1205,2264
向島一丁目,1403,1126,1152,2278
向島二丁目,1533,1239,1372,2611
向島三丁目,2655,2248,2264,4512
向島四丁目,1311,1222,1294,2516
向島五丁目,2551,2110,2098,4208
東向島一丁目,1745,1557,1501,3058
東向島二丁目,2810,2344,2548,4892
東向島三丁目,1709,1618,1733,3351
東向島四丁目,2008,1709,1752,3461
東向島五丁目,2178,1834,1971,3805
東向島六丁目,2981,2708,2709,5417
堤通一丁目,1076,1132,1096,2228
堤通二丁目,1988,1693,2176,3869
墨田一丁目,1377,1451,1578,3029
墨田二丁目,2015,1902,1901,3803
墨田三丁目,1973,1782,1759,3541
墨田四丁目,2409,2285,2351,4636
墨田五丁目,1527,1369,1360,2729
押上一丁目,1348,1055,1141,2196
押上二丁目,1952,1705,1840,3545
押上三丁目,2276,2125,2108,4233
京島一丁目,3553,3329,3633,6962
京島二丁目,960,918,805,1723
京島三丁目,2265,2116,1995,4111
文花一丁目,2892,2423,2850,5273
文花二丁目,1253,1101,1171,2272
文花三丁目,1204,1318,1315,2633
八広一丁目,1887,1745,1632,3377
八広二丁目,2275,2182,2075,4257
八広三丁目,1871,1790,1706,3496
八広四丁目,2385,2265,2174,4439
八広五丁目,1580,1408,1439,2847
八広六丁目,2080,2034,1935,3969
立花一丁目,3018,2596,2772,5368
立花二丁目,826,759,755,1514
立花三丁目,1579,1410,1409,2819
立花四丁目,1831,1772,1709,3481
立花五丁目,1926,2116,2089,4205
立花六丁目,1132,1046,1171,2217
東墨田一丁目,61,65,61,126
東墨田二丁目,767,685,654,1339
東墨田三丁目,371,385,381,766
