町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,798,660,660,1320
両国二丁目,1145,950,897,1847
両国三丁目,1056,780,855,1635
両国四丁目,1097,878,856,1734
千歳一丁目,827,701,727,1428
千歳二丁目,541,489,408,897
千歳三丁目,1163,944,957,1901
緑一丁目,1553,1395,1283,2678
緑二丁目,1594,1529,1581,3110
緑三丁目,1230,1145,1068,2213
緑四丁目,2147,1884,1671,3555
立川一丁目,707,556,554,1110
立川二丁目,805,659,630,1289
立川三丁目,889,753,766,1519
立川四丁目,793,658,597,1255
菊川一丁目,800,729,769,1498
菊川二丁目,1195,995,1056,2051
菊川三丁目,1966,1698,1788,3486
江東橋一丁目,814,637,595,1232
江東橋二丁目,1216,1062,899,1961
江東橋三丁目,449,306,238,544
江東橋四丁目,1409,1030,1017,2047
江東橋五丁目,1570,1400,1446,2846
横網一丁目,126,143,138,281
横網二丁目,662,554,555,1109
亀沢一丁目,1109,981,955,1936
亀沢二丁目,850,764,848,1612
亀沢三丁目,914,949,879,1828
亀沢四丁目,1332,1210,1145,2355
石原一丁目,1412,1186,1192,2378
石原二丁目,1238,1132,1122,2254
石原三丁目,1552,1451,1221,2672
石原四丁目,1364,1329,1192,2521
本所一丁目,1448,1383,1342,2725
本所二丁目,833,775,802,1577
本所三丁目,924,865,859,1724
本所四丁目,1185,1126,1067,2193
東駒形一丁目,726,587,601,1188
東駒形二丁目,808,747,751,1498
東駒形三丁目,796,707,698,1405
東駒形四丁目,1349,1187,1143,2330
吾妻橋一丁目,1189,945,1022,1967
吾妻橋二丁目,814,659,649,1308
吾妻橋三丁目,820,752,814,1566
錦糸一丁目,1177,909,839,1748
錦糸二丁目,371,292,253,545
錦糸三丁目,394,323,278,601
錦糸四丁目,884,785,768,1553
太平一丁目,1678,1626,1545,3171
太平二丁目,885,745,618,1363
太平三丁目,636,521,500,1021
太平四丁目,2372,2184,2258,4442
横川一丁目,695,753,657,1410
横川二丁目,832,715,618,1333
横川三丁目,629,569,509,1078
横川四丁目,697,649,569,1218
横川五丁目,1345,1206,1475,2681
業平一丁目,1443,1369,1497,2866
業平二丁目,792,681,614,1295
業平三丁目,813,652,650,1302
業平四丁目,1083,900,933,1833
業平五丁目,1090,1018,1116,2134
向島一丁目,1189,1035,1002,2037
向島二丁目,1350,1191,1238,2429
向島三丁目,2076,1861,1790,3651
向島四丁目,1278,1263,1284,2547
向島五丁目,2286,2037,1945,3982
東向島一丁目,1635,1506,1460,2966
東向島二丁目,2621,2344,2423,4767
東向島三丁目,1570,1586,1673,3259
東向島四丁目,1815,1650,1709,3359
東向島五丁目,1947,1807,1891,3698
東向島六丁目,2650,2557,2573,5130
堤通一丁目,1065,1190,1101,2291
堤通二丁目,2037,1898,2311,4209
墨田一丁目,1207,1351,1455,2806
墨田二丁目,1904,1932,1844,3776
墨田三丁目,1828,1797,1718,3515
墨田四丁目,2392,2307,2455,4762
墨田五丁目,1496,1437,1363,2800
押上一丁目,1234,1036,1104,2140
押上二丁目,1972,1803,1926,3729
押上三丁目,2121,2056,1924,3980
京島一丁目,3153,3015,3181,6196
京島二丁目,968,934,854,1788
京島三丁目,2352,2200,2120,4320
文花一丁目,2844,2537,3010,5547
文花二丁目,1103,1085,1066,2151
文花三丁目,1149,1309,1308,2617
八広一丁目,1722,1703,1584,3287
八広二丁目,1954,2029,1958,3987
八広三丁目,1752,1717,1647,3364
八広四丁目,1926,2008,1888,3896
八広五丁目,1489,1444,1407,2851
八広六丁目,1949,1984,1890,3874
立花一丁目,3139,2865,2973,5838
立花二丁目,804,752,706,1458
立花三丁目,1372,1299,1315,2614
立花四丁目,1739,1827,1710,3537
立花五丁目,1733,1948,1873,3821
立花六丁目,1119,1129,1192,2321
東墨田一丁目,68,79,64,143
東墨田二丁目,638,618,558,1176
東墨田三丁目,378,406,359,765
