町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,857,661,675,1336
両国二丁目,1212,986,962,1948
両国三丁目,1138,840,911,1751
両国四丁目,1127,903,891,1794
千歳一丁目,924,783,781,1564
千歳二丁目,541,482,436,918
千歳三丁目,1330,1125,1132,2257
緑一丁目,1649,1445,1338,2783
緑二丁目,1620,1545,1610,3155
緑三丁目,1443,1317,1224,2541
緑四丁目,2338,2040,1868,3908
立川一丁目,836,607,658,1265
立川二丁目,824,658,659,1317
立川三丁目,986,819,825,1644
立川四丁目,869,706,651,1357
菊川一丁目,857,762,811,1573
菊川二丁目,1292,1030,1109,2139
菊川三丁目,2097,1780,1893,3673
江東橋一丁目,835,645,617,1262
江東橋二丁目,1213,1036,928,1964
江東橋三丁目,458,338,219,557
江東橋四丁目,1412,1032,1008,2040
江東橋五丁目,1593,1457,1425,2882
横網一丁目,126,148,137,285
横網二丁目,666,573,577,1150
亀沢一丁目,1191,1029,1035,2064
亀沢二丁目,939,815,929,1744
亀沢三丁目,956,987,932,1919
亀沢四丁目,1398,1270,1198,2468
石原一丁目,1435,1173,1194,2367
石原二丁目,1335,1201,1184,2385
石原三丁目,1587,1469,1293,2762
石原四丁目,1387,1304,1219,2523
本所一丁目,1576,1457,1427,2884
本所二丁目,886,780,820,1600
本所三丁目,985,893,881,1774
本所四丁目,1273,1160,1093,2253
東駒形一丁目,705,572,581,1153
東駒形二丁目,812,739,752,1491
東駒形三丁目,821,713,718,1431
東駒形四丁目,1358,1177,1147,2324
吾妻橋一丁目,1258,972,1067,2039
吾妻橋二丁目,849,663,683,1346
吾妻橋三丁目,848,787,823,1610
錦糸一丁目,1183,907,860,1767
錦糸二丁目,375,297,243,540
錦糸三丁目,392,329,259,588
錦糸四丁目,892,793,803,1596
太平一丁目,1669,1615,1581,3196
太平二丁目,837,699,581,1280
太平三丁目,710,587,561,1148
太平四丁目,2459,2222,2286,4508
横川一丁目,727,786,692,1478
横川二丁目,834,736,623,1359
横川三丁目,614,550,504,1054
横川四丁目,679,635,543,1178
横川五丁目,1365,1171,1485,2656
業平一丁目,1455,1379,1527,2906
業平二丁目,803,678,646,1324
業平三丁目,841,647,660,1307
業平四丁目,1120,875,973,1848
業平五丁目,1150,1072,1156,2228
向島一丁目,1239,1044,1040,2084
向島二丁目,1420,1211,1291,2502
向島三丁目,2334,2040,2046,4086
向島四丁目,1276,1235,1282,2517
向島五丁目,2396,2056,2008,4064
東向島一丁目,1611,1494,1450,2944
東向島二丁目,2721,2400,2488,4888
東向島三丁目,1575,1587,1652,3239
東向島四丁目,1857,1658,1709,3367
東向島五丁目,2054,1828,1924,3752
東向島六丁目,2808,2642,2658,5300
堤通一丁目,1122,1165,1102,2267
堤通二丁目,2010,1854,2254,4108
墨田一丁目,1338,1437,1546,2983
墨田二丁目,1993,1967,1904,3871
墨田三丁目,1871,1782,1726,3508
墨田四丁目,2416,2305,2426,4731
墨田五丁目,1509,1398,1356,2754
押上一丁目,1273,1020,1112,2132
押上二丁目,2013,1816,1945,3761
押上三丁目,2228,2145,2035,4180
京島一丁目,3528,3314,3567,6881
京島二丁目,990,944,840,1784
京島三丁目,2307,2156,2034,4190
文花一丁目,2902,2521,3020,5541
文花二丁目,1150,1080,1108,2188
文花三丁目,1174,1343,1308,2651
八広一丁目,1739,1677,1573,3250
八広二丁目,2047,2068,2013,4081
八広三丁目,1816,1802,1682,3484
八広四丁目,2073,2090,2021,4111
八広五丁目,1527,1425,1429,2854
八広六丁目,2013,2022,1889,3911
立花一丁目,3062,2755,2900,5655
立花二丁目,817,732,712,1444
立花三丁目,1411,1323,1326,2649
立花四丁目,1789,1810,1738,3548
立花五丁目,1758,1994,1919,3913
立花六丁目,1136,1112,1184,2296
東墨田一丁目,63,74,59,133
東墨田二丁目,696,665,617,1282
東墨田三丁目,380,413,377,790
