町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,808,645,657,1302
両国二丁目,1129,942,902,1844
両国三丁目,1147,835,910,1745
両国四丁目,1097,892,880,1772
千歳一丁目,857,730,741,1471
千歳二丁目,571,508,434,942
千歳三丁目,1200,974,992,1966
緑一丁目,1568,1393,1283,2676
緑二丁目,1635,1564,1641,3205
緑三丁目,1319,1249,1129,2378
緑四丁目,2237,1935,1735,3670
立川一丁目,765,573,591,1164
立川二丁目,807,653,645,1298
立川三丁目,967,807,826,1633
立川四丁目,844,687,602,1289
菊川一丁目,802,728,774,1502
菊川二丁目,1312,1038,1120,2158
菊川三丁目,2014,1729,1847,3576
江東橋一丁目,833,649,607,1256
江東橋二丁目,1222,1031,936,1967
江東橋三丁目,470,335,240,575
江東橋四丁目,1429,1038,1005,2043
江東橋五丁目,1580,1433,1429,2862
横網一丁目,127,149,143,292
横網二丁目,674,567,564,1131
亀沢一丁目,1172,1007,1010,2017
亀沢二丁目,903,788,895,1683
亀沢三丁目,934,961,876,1837
亀沢四丁目,1339,1211,1159,2370
石原一丁目,1420,1169,1206,2375
石原二丁目,1249,1141,1124,2265
石原三丁目,1567,1454,1252,2706
石原四丁目,1379,1309,1213,2522
本所一丁目,1530,1431,1394,2825
本所二丁目,873,792,813,1605
本所三丁目,966,881,882,1763
本所四丁目,1194,1117,1061,2178
東駒形一丁目,728,582,604,1186
東駒形二丁目,817,746,745,1491
東駒形三丁目,820,722,712,1434
東駒形四丁目,1365,1191,1160,2351
吾妻橋一丁目,1233,966,1037,2003
吾妻橋二丁目,841,659,673,1332
吾妻橋三丁目,827,779,812,1591
錦糸一丁目,1186,894,854,1748
錦糸二丁目,375,299,238,537
錦糸三丁目,395,320,272,592
錦糸四丁目,875,787,783,1570
太平一丁目,1664,1605,1574,3179
太平二丁目,870,729,599,1328
太平三丁目,713,585,557,1142
太平四丁目,2424,2183,2289,4472
横川一丁目,725,787,679,1466
横川二丁目,838,726,619,1345
横川三丁目,622,568,508,1076
横川四丁目,682,631,556,1187
横川五丁目,1334,1174,1465,2639
業平一丁目,1468,1377,1523,2900
業平二丁目,799,670,624,1294
業平三丁目,837,647,668,1315
業平四丁目,1089,874,944,1818
業平五丁目,1143,1065,1179,2244
向島一丁目,1224,1060,1017,2077
向島二丁目,1355,1184,1242,2426
向島三丁目,2123,1903,1853,3756
向島四丁目,1281,1256,1293,2549
向島五丁目,2295,2024,1942,3966
東向島一丁目,1607,1483,1464,2947
東向島二丁目,2676,2374,2467,4841
東向島三丁目,1582,1566,1647,3213
東向島四丁目,1847,1668,1691,3359
東向島五丁目,2007,1808,1934,3742
東向島六丁目,2763,2626,2632,5258
堤通一丁目,1101,1208,1117,2325
堤通二丁目,2014,1866,2275,4141
墨田一丁目,1242,1357,1467,2824
墨田二丁目,1976,1971,1882,3853
墨田三丁目,1874,1816,1775,3591
墨田四丁目,2424,2310,2445,4755
墨田五丁目,1488,1418,1353,2771
押上一丁目,1259,1030,1121,2151
押上二丁目,2026,1843,1958,3801
押上三丁目,2192,2131,2002,4133
京島一丁目,3483,3300,3489,6789
京島二丁目,983,943,838,1781
京島三丁目,2333,2171,2080,4251
文花一丁目,2871,2514,3031,5545
文花二丁目,1118,1072,1062,2134
文花三丁目,1167,1340,1326,2666
八広一丁目,1737,1695,1577,3272
八広二丁目,1992,2042,1979,4021
八広三丁目,1740,1707,1645,3352
八広四丁目,1973,2054,1917,3971
八広五丁目,1519,1428,1413,2841
八広六丁目,1969,1985,1877,3862
立花一丁目,3096,2806,2933,5739
立花二丁目,799,732,697,1429
立花三丁目,1356,1280,1305,2585
立花四丁目,1734,1804,1711,3515
立花五丁目,1749,1970,1902,3872
立花六丁目,1115,1102,1175,2277
東墨田一丁目,66,78,62,140
東墨田二丁目,644,625,574,1199
東墨田三丁目,383,407,374,781
