町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,840,655,679,1334
両国二丁目,1162,953,928,1881
両国三丁目,1139,830,905,1735
両国四丁目,1139,906,901,1807
千歳一丁目,903,757,760,1517
千歳二丁目,556,495,430,925
千歳三丁目,1203,981,978,1959
緑一丁目,1608,1410,1303,2713
緑二丁目,1641,1568,1614,3182
緑三丁目,1433,1312,1213,2525
緑四丁目,2341,2049,1841,3890
立川一丁目,776,579,597,1176
立川二丁目,815,662,648,1310
立川三丁目,985,819,821,1640
立川四丁目,861,711,644,1355
菊川一丁目,843,757,812,1569
菊川二丁目,1313,1048,1126,2174
菊川三丁目,2078,1754,1885,3639
江東橋一丁目,830,635,624,1259
江東橋二丁目,1214,1038,924,1962
江東橋三丁目,473,346,228,574
江東橋四丁目,1436,1051,1006,2057
江東橋五丁目,1603,1442,1434,2876
横網一丁目,129,151,143,294
横網二丁目,684,588,571,1159
亀沢一丁目,1188,1002,1024,2026
亀沢二丁目,941,823,928,1751
亀沢三丁目,930,956,895,1851
亀沢四丁目,1380,1250,1191,2441
石原一丁目,1436,1174,1212,2386
石原二丁目,1291,1156,1142,2298
石原三丁目,1547,1423,1273,2696
石原四丁目,1390,1303,1222,2525
本所一丁目,1566,1448,1429,2877
本所二丁目,875,783,816,1599
本所三丁目,985,890,886,1776
本所四丁目,1241,1132,1079,2211
東駒形一丁目,707,576,586,1162
東駒形二丁目,828,748,751,1499
東駒形三丁目,825,718,713,1431
東駒形四丁目,1360,1182,1163,2345
吾妻橋一丁目,1250,979,1047,2026
吾妻橋二丁目,852,673,689,1362
吾妻橋三丁目,824,777,811,1588
錦糸一丁目,1200,907,866,1773
錦糸二丁目,374,296,241,537
錦糸三丁目,396,332,265,597
錦糸四丁目,883,787,793,1580
太平一丁目,1678,1621,1577,3198
太平二丁目,849,714,591,1305
太平三丁目,711,584,564,1148
太平四丁目,2454,2208,2297,4505
横川一丁目,725,778,681,1459
横川二丁目,838,733,628,1361
横川三丁目,617,555,502,1057
横川四丁目,679,632,545,1177
横川五丁目,1323,1151,1451,2602
業平一丁目,1465,1387,1526,2913
業平二丁目,803,672,644,1316
業平三丁目,846,647,660,1307
業平四丁目,1127,890,965,1855
業平五丁目,1132,1056,1146,2202
向島一丁目,1261,1075,1049,2124
向島二丁目,1381,1191,1265,2456
向島三丁目,2222,1963,1930,3893
向島四丁目,1280,1247,1288,2535
向島五丁目,2363,2046,1975,4021
東向島一丁目,1612,1494,1452,2946
東向島二丁目,2679,2373,2454,4827
東向島三丁目,1586,1586,1652,3238
東向島四丁目,1868,1682,1719,3401
東向島五丁目,2035,1815,1930,3745
東向島六丁目,2794,2637,2653,5290
堤通一丁目,1127,1191,1126,2317
堤通二丁目,2009,1843,2252,4095
墨田一丁目,1254,1364,1457,2821
墨田二丁目,1996,1974,1900,3874
墨田三丁目,1902,1816,1777,3593
墨田四丁目,2421,2311,2441,4752
墨田五丁目,1494,1401,1348,2749
押上一丁目,1284,1037,1130,2167
押上二丁目,2011,1819,1958,3777
押上三丁目,2219,2164,2013,4177
京島一丁目,3520,3320,3532,6852
京島二丁目,969,939,830,1769
京島三丁目,2322,2152,2059,4211
文花一丁目,2884,2527,3021,5548
文花二丁目,1151,1080,1101,2181
文花三丁目,1159,1329,1304,2633
八広一丁目,1757,1694,1583,3277
八広二丁目,2000,2041,1986,4027
八広三丁目,1775,1746,1651,3397
八広四丁目,2058,2096,1997,4093
八広五丁目,1530,1434,1410,2844
八広六丁目,2013,2009,1887,3896
立花一丁目,3068,2764,2913,5677
立花二丁目,817,729,711,1440
立花三丁目,1389,1308,1326,2634
立花四丁目,1755,1790,1719,3509
立花五丁目,1761,1996,1915,3911
立花六丁目,1139,1112,1189,2301
東墨田一丁目,65,78,60,138
東墨田二丁目,681,660,603,1263
東墨田三丁目,374,404,373,777
