町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,811,648,657,1305
両国二丁目,1126,949,892,1841
両国三丁目,1141,831,900,1731
両国四丁目,1106,899,892,1791
千歳一丁目,859,727,742,1469
千歳二丁目,571,506,433,939
千歳三丁目,1182,957,971,1928
緑一丁目,1572,1405,1284,2689
緑二丁目,1637,1568,1630,3198
緑三丁目,1314,1239,1129,2368
緑四丁目,2236,1935,1738,3673
立川一丁目,765,577,593,1170
立川二丁目,802,656,643,1299
立川三丁目,963,801,822,1623
立川四丁目,842,681,602,1283
菊川一丁目,817,740,782,1522
菊川二丁目,1307,1041,1126,2167
菊川三丁目,2015,1729,1844,3573
江東橋一丁目,829,641,608,1249
江東橋二丁目,1224,1040,932,1972
江東橋三丁目,470,331,242,573
江東橋四丁目,1427,1037,1010,2047
江東橋五丁目,1562,1415,1427,2842
横網一丁目,128,149,141,290
横網二丁目,663,563,556,1119
亀沢一丁目,1149,997,988,1985
亀沢二丁目,902,790,889,1679
亀沢三丁目,935,956,881,1837
亀沢四丁目,1346,1219,1165,2384
石原一丁目,1420,1173,1201,2374
石原二丁目,1251,1145,1133,2278
石原三丁目,1575,1463,1253,2716
石原四丁目,1373,1302,1210,2512
本所一丁目,1498,1419,1374,2793
本所二丁目,866,793,807,1600
本所三丁目,961,884,880,1764
本所四丁目,1202,1119,1079,2198
東駒形一丁目,724,579,606,1185
東駒形二丁目,818,748,747,1495
東駒形三丁目,826,728,711,1439
東駒形四丁目,1374,1200,1165,2365
吾妻橋一丁目,1229,959,1037,1996
吾妻橋二丁目,847,673,675,1348
吾妻橋三丁目,828,780,821,1601
錦糸一丁目,1179,897,841,1738
錦糸二丁目,371,296,246,542
錦糸三丁目,401,323,276,599
錦糸四丁目,867,781,773,1554
太平一丁目,1666,1620,1564,3184
太平二丁目,870,721,606,1327
太平三丁目,715,584,557,1141
太平四丁目,2398,2184,2280,4464
横川一丁目,727,791,680,1471
横川二丁目,841,722,620,1342
横川三丁目,626,570,514,1084
横川四丁目,687,640,563,1203
横川五丁目,1327,1169,1459,2628
業平一丁目,1471,1384,1532,2916
業平二丁目,794,674,614,1288
業平三丁目,837,645,666,1311
業平四丁目,1083,882,946,1828
業平五丁目,1143,1065,1171,2236
向島一丁目,1234,1071,1023,2094
向島二丁目,1357,1190,1235,2425
向島三丁目,2083,1840,1793,3633
向島四丁目,1292,1268,1299,2567
向島五丁目,2299,2021,1948,3969
東向島一丁目,1607,1479,1462,2941
東向島二丁目,2674,2372,2462,4834
東向島三丁目,1584,1571,1651,3222
東向島四丁目,1846,1668,1688,3356
東向島五丁目,2009,1818,1939,3757
東向島六丁目,2748,2620,2611,5231
堤通一丁目,1104,1214,1127,2341
堤通二丁目,2017,1869,2279,4148
墨田一丁目,1235,1354,1465,2819
墨田二丁目,1970,1974,1880,3854
墨田三丁目,1857,1806,1767,3573
墨田四丁目,2426,2313,2457,4770
墨田五丁目,1489,1418,1355,2773
押上一丁目,1253,1026,1124,2150
押上二丁目,2012,1837,1956,3793
押上三丁目,2187,2127,1994,4121
京島一丁目,3462,3285,3472,6757
京島二丁目,982,943,841,1784
京島三丁目,2333,2172,2088,4260
文花一丁目,2866,2506,3024,5530
文花二丁目,1115,1077,1058,2135
文花三丁目,1165,1337,1330,2667
八広一丁目,1733,1694,1570,3264
八広二丁目,1998,2047,1991,4038
八広三丁目,1738,1708,1646,3354
八広四丁目,1975,2045,1902,3947
八広五丁目,1511,1431,1404,2835
八広六丁目,1960,1969,1879,3848
立花一丁目,3114,2831,2945,5776
立花二丁目,800,738,697,1435
立花三丁目,1364,1287,1312,2599
立花四丁目,1750,1815,1720,3535
立花五丁目,1742,1967,1910,3877
立花六丁目,1118,1108,1177,2285
東墨田一丁目,66,76,63,139
東墨田二丁目,632,618,567,1185
東墨田三丁目,390,414,373,787
