町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,905,706,701,1407
両国二丁目,1217,966,994,1960
両国三丁目,1277,948,970,1918
両国四丁目,1226,998,965,1963
千歳一丁目,946,782,834,1616
千歳二丁目,602,530,475,1005
千歳三丁目,1468,1228,1175,2403
緑一丁目,1815,1563,1448,3011
緑二丁目,1716,1604,1668,3272
緑三丁目,1606,1397,1376,2773
緑四丁目,2695,2290,2122,4412
立川一丁目,866,627,678,1305
立川二丁目,843,685,669,1354
立川三丁目,1070,853,896,1749
立川四丁目,1000,765,775,1540
菊川一丁目,1016,830,902,1732
菊川二丁目,1454,1068,1226,2294
菊川三丁目,2153,1836,1894,3730
江東橋一丁目,865,668,599,1267
江東橋二丁目,1287,1076,960,2036
江東橋三丁目,502,378,224,602
江東橋四丁目,1454,1073,961,2034
江東橋五丁目,1651,1466,1447,2913
横網一丁目,138,160,144,304
横網二丁目,667,568,576,1144
亀沢一丁目,1205,994,1023,2017
亀沢二丁目,991,855,973,1828
亀沢三丁目,1004,1041,996,2037
亀沢四丁目,1428,1315,1242,2557
石原一丁目,1538,1214,1265,2479
石原二丁目,1419,1239,1245,2484
石原三丁目,1678,1491,1365,2856
石原四丁目,1507,1380,1325,2705
本所一丁目,1602,1430,1421,2851
本所二丁目,928,776,834,1610
本所三丁目,982,855,869,1724
本所四丁目,1415,1243,1186,2429
東駒形一丁目,837,655,672,1327
東駒形二丁目,836,734,759,1493
東駒形三丁目,915,749,746,1495
東駒形四丁目,1433,1163,1230,2393
吾妻橋一丁目,1283,986,1070,2056
吾妻橋二丁目,902,676,729,1405
吾妻橋三丁目,868,794,834,1628
錦糸一丁目,1296,985,920,1905
錦糸二丁目,390,305,239,544
錦糸三丁目,413,345,272,617
錦糸四丁目,922,823,821,1644
太平一丁目,1785,1686,1653,3339
太平二丁目,858,716,568,1284
太平三丁目,805,653,606,1259
太平四丁目,2534,2240,2289,4529
横川一丁目,791,818,728,1546
横川二丁目,940,792,707,1499
横川三丁目,679,580,548,1128
横川四丁目,698,623,551,1174
横川五丁目,1398,1159,1509,2668
業平一丁目,1540,1390,1574,2964
業平二丁目,800,676,605,1281
業平三丁目,860,665,689,1354
業平四丁目,1171,893,973,1866
業平五丁目,1168,1075,1184,2259
向島一丁目,1371,1121,1115,2236
向島二丁目,1527,1250,1375,2625
向島三丁目,2597,2263,2235,4498
向島四丁目,1328,1232,1320,2552
向島五丁目,2544,2113,2103,4216
東向島一丁目,1762,1578,1523,3101
東向島二丁目,2827,2400,2560,4960
東向島三丁目,1689,1659,1710,3369
東向島四丁目,1965,1709,1726,3435
東向島五丁目,2110,1806,1955,3761
東向島六丁目,2963,2720,2736,5456
堤通一丁目,1110,1149,1084,2233
堤通二丁目,2027,1770,2252,4022
墨田一丁目,1393,1438,1575,3013
墨田二丁目,2023,1940,1892,3832
墨田三丁目,1991,1808,1798,3606
墨田四丁目,2438,2324,2400,4724
墨田五丁目,1527,1379,1365,2744
押上一丁目,1299,1008,1111,2119
押上二丁目,1968,1732,1874,3606
押上三丁目,2285,2141,2109,4250
京島一丁目,3566,3345,3603,6948
京島二丁目,965,923,829,1752
京島三丁目,2269,2092,2023,4115
文花一丁目,2934,2485,2930,5415
文花二丁目,1262,1129,1167,2296
文花三丁目,1187,1319,1293,2612
八広一丁目,1821,1718,1607,3325
八広二丁目,2149,2111,2021,4132
八広三丁目,1803,1789,1658,3447
八広四丁目,2242,2187,2129,4316
八広五丁目,1580,1401,1452,2853
八広六丁目,2072,2024,1937,3961
立花一丁目,3082,2663,2859,5522
立花二丁目,840,775,761,1536
立花三丁目,1546,1409,1418,2827
立花四丁目,1808,1791,1703,3494
立花五丁目,1883,2088,2049,4137
立花六丁目,1129,1067,1170,2237
東墨田一丁目,62,67,61,128
東墨田二丁目,721,657,618,1275
東墨田三丁目,377,402,369,771
