"年度","利用者数[人]"
"2013","38073"
"2014","34537"
"2015","38555"
"2016","49706"
"2017","43140"

"平成30年度港区行政資料集　施設利用状況一覧 ふれあいの湯（区立公衆浴場）","Ver201803"
