"年度","利用者数[人]"
"2016","49706"
"2017","43140"
"2018","46625"
"2019","45440"
"2020","33857"

"令和3年度港区行政資料集　施設利用状況一覧 ふれあいの湯（区立公衆浴場）","Ver202103"
