"年度","コミュニティ振興 事業数[件]","コミュニティ振興 延参加者数[人]","区民まつり 延参加者数[人]","区民まつり (内スポーツまつり延参加者数[人])","東京湾大華火祭 延参加者数[人]","スポーツ振興 事業数[件]","スポーツ振興 延参加者数[人]","文化振興・生涯学習支援 事業数[件]","文化振興・生涯学習支援 延参加者数[人]","健康増進 事業数[件]","健康増進 延参加者数[人]","合計 事業数[件]","合計 延参加者数[人]"
"2014","12","7043","240789","6139",,"29","12027","82","44739","2","237","126","304835"
"2015","11","6404","244318","8123","9000","27","10553","80","31617","2","253","122","302145"
"2016","10","7732","183750","9650",,"33","11195","92","36765","2","589","138","240031"
"2017","9","9168","261490","11920",,"40","9363","107","41759","2","665","159","322445"
"2018","10","12858","122570","13420",,"40","10095","105","45234","2","531","158","191288"

"令和元年度港区行政資料集　公益財団法人港区スポーツふれあい文化健康財団 事業実施状況","Ver201903",,,,,,,,,,,,
