子局番号,設置場所,所在地
1,つばき公園,墨田区墨田5-33-9
2,墨田五丁目溝渠,墨田区墨田5-20
3,桜堤中学校,墨田区堤通2-19-1
4,隅田小学校,墨田区墨田4-6-5
5,都営墨田1丁目アパート5号棟,墨田区墨田1-4
6,墨田児童会館,墨田区墨田2-30-15
7,第二寺島小学校,墨田区東向島4-30-2
8,こでまり児童遊園,墨田区東向島5-24-1
9,なつめ公園,墨田区東向島6-40-2
10,八広小学校,墨田区八広5-12-15
11,第三寺島小学校,墨田区東向島6-8-1
12,寺島中学校,墨田区八広1-17-15
13,吾嬬第二中学校,墨田区八広4-4-4
14,吾嬬西公園,墨田区八広6-53-16
15,第三吾嬬小学校,墨田区八広2-36-3
16,東墨田二丁目公園,墨田区東墨田2-12-10
17,あじさい児童遊園,墨田区東墨田3-12-10
18,社会福祉会館,墨田区東墨田2-7-1
19,中川小学校,墨田区立花5-49-4
20,福寿公園,墨田区立花3-24-3
21,旧中川水辺公園,墨田区立花6-8
22,堤通1丁目,墨田区堤通1-11
23,第一寺島小学校,墨田区東向島1-16-2
24,言問小学校,墨田区向島5-40-14
25,曳舟小学校,墨田区京島1-28-2
26,ふじのき公園,墨田区東向島2-7-5
27,墨田中学校,墨田区向島4-25-22
28,第四吾嬬小学校,墨田区京島3-64-9
29,小梅小学校,墨田区向島2-4-10
30,押上保育園,墨田区押上2-10-17
31,すみだ福祉保健センター,墨田区向島3-36-7
32,押上小学校,墨田区押上3-46-17
33,押上公園,墨田区押上1-47-5
34,文花公園,墨田区文花1-27
35,東あずま公園,墨田区立花2-32-12
36,立花幼稚園,墨田区立花1-25-9
37,本所保健センター,墨田区東駒形1-6-4
38,本所中学校,墨田区東駒形3-1-10
39,外手小学校,墨田区本所2-1-16
40,横川小学校,墨田区東駒形4-18-4
41,業平小学校,墨田区業平2-4-8
42,柳島小学校,墨田区横川5-2-30
43,すみだ清掃事務所分室,墨田区亀沢1-8-3
44,二葉小学校,墨田区石原2-1-5
45,錦糸小学校,墨田区錦糸1-9-12
46,錦糸中学校,墨田区石原4-33-14
47,竪川中学校,墨田区亀沢4-11-15
48,横川橋保育園,墨田区太平1-27-13
49,錦糸公園,墨田区錦糸4-15-1
50,両国小学校,墨田区両国4-26-6
51,東京消防庁両国寮(ソーラー),墨田区両国1-12
52,一之橋,墨田区千歳1-9
53,千歳公園,墨田区千歳2-2-1
54,どんぐり児童遊園,墨田区緑3-12-9
55,緑2丁目防災広場,墨田区緑2-7-7
56,中和小学校,墨田区菊川1-18-10
57,錦糸堀公園,墨田区江東橋4-17-1
58,江東橋公園,墨田区江東橋2-4-1
59,菊川小学校,墨田区立川4-12-15
60,両国駅西口,墨田区横網1-3-20
61,菊川橋児童遊園,墨田区菊川3-13-2
62,立花公園,墨田区立花1-27-5
63,八広あずま公園,墨田区八広4-19-14
64,隅田東児童遊園,墨田区墨田4-52-12
65,墨田二丁目児童遊園,墨田区墨田2-42-4
66,墨田区役所,墨田区吾妻橋1-23-20
67,隅田川緑道,墨田区横網2-12
68,東墨田東公園,墨田区東墨田3-19-2
69,文花一丁目区道,墨田区文花1-32
70,おしなり公園西,墨田区押上一丁目地先
71,おしなり公園東,墨田区押上一丁目地先
72,都営横川五丁目第2アパート,墨田区横川5-9-4
73,錦糸町駅北口,墨田区錦糸3-2
74,錦糸町駅南口,墨田区江東橋3-14
