年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円,,,
令和５年６月,2023,6,535,135,98,265,524,124,156,723,359,226,462,336,183,...,353,201,857,226,796,345,174,710,2196,651,407,1244,186,438,1048,274,2326,852,1433,1755,2401,773,521,671,683,934,1923,594,770,590,788,...,646,...,...,2339,...,...,...,493,799,...,3152,313,1090,917,214,252,383,,,
令和５年７月,2023,7,530,155,116,264,509,135,155,721,366,243,464,328,199,...,335,211,1077,226,830,334,176,612,2041,609,421,1359,199,453,954,285,1996,841,1405,1674,2338,654,603,697,705,1059,1858,590,710,591,883,...,645,...,...,1921,3158,...,1356,485,814,...,3065,316,1121,928,214,253,371,,,
令和５年８月,2023,8,534,134,110,268,523,127,191,719,363,260,463,347,192,...,341,176,1318,246,823,365,172,671,1906,635,436,1111,207,485,1020,311,1117,886,1443,1410,2576,610,584,604,725,998,1855,564,698,591,920,...,626,...,917,1548,2234,...,1295,509,815,...,...,315,1051,961,217,264,364,,,
令和５年９月,2023,9,522,127,117,259,526,130,214,710,355,245,475,353,203,...,361,169,1637,259,993,523,174,953,2229,654,396,861,271,615,1004,276,998,890,1411,1593,3284,578,668,686,965,1172,1900,581,736,598,722,755,623,...,789,1596,2023,...,1411,...,...,...,...,333,1113,903,221,280,380,,,
令和５年10月,2023,10,513,133,108,262,516,139,231,707,359,250,479,339,201,492,358,210,1347,267,1178,503,174,945,2110,647,377,832,269,599,960,276,963,954,1451,...,3308,557,746,688,1280,1212,1850,575,751,597,760,679,606,...,902,...,2607,683,...,...,...,...,...,327,1106,1055,223,295,391,,,
令和５年11月,2023,11,508,130,125,...,513,139,239,695,363,254,472,346,182,479,357,221,815,198,941,432,173,602,2364,633,371,769,175,519,918,350,985,974,1424,...,2279,635,613,691,1077,1042,1749,622,814,592,765,728,652,...,...,...,...,685,...,...,...,...,...,324,1142,978,219,268,395,,,
令和５年12月,2023,12,505,127,122,...,510,140,195,703,369,241,471,359,188,467,348,198,802,144,893,568,173,571,2383,641,379,787,151,433,939,400,964,961,1488,...,2328,674,695,741,829,888,1781,661,830,592,706,726,672,...,...,...,...,748,...,...,...,2892,...,318,1197,918,223,292,416,,,
令和６年１月,2024,1,525,146,113,...,534,149,180,696,375,257,479,348,183,452,362,182,929,147,839,601,173,562,2921,623,376,811,163,411,984,416,1018,923,1504,...,2627,680,841,791,715,1079,2009,706,809,592,717,815,674,...,...,...,...,...,...,...,...,2368,...,339,1302,1020,223,284,406,,,
令和６年２月,2024,2,525,126,102,...,519,142,178,703,388,243,480,350,175,456,359,179,819,145,735,494,173,557,2332,571,382,909,180,398,950,425,973,896,1490,...,2598,669,821,840,701,1257,1781,615,765,592,721,908,717,1033,...,...,...,...,...,...,...,2218,...,330,1334,1058,219,284,412,,,
令和６年３月,2024,3,527,122,96,262,534,148,176,699,368,231,484,346,164,452,353,199,881,244,692,496,174,593,2095,592,370,960,187,471,992,410,1007,886,1508,...,2577,633,843,826,766,1296,1772,591,753,602,742,1046,711,1034,...,...,...,...,...,...,...,2258,...,341,1333,1077,242,283,445,,,
