地域階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
0,,従業地・通学地／全国総数,…,5371596,3630228,21680,61424,81140,123262,86375,73299,109041,213272,168821,107898,314277,317371,82241,127811,226143,111157,133666,86203,221887,259394,247421,177748,278697,1705636,229807,69538,60354,87469,54981,115371,48736,98612,164691,51261,76631,75927,61669,50633,30262,23026,33263,34220,28343,47559,27360,58179,37804,24754,31550,83636,23542,14252,6515,852,1923,12190,3319,180,1204,860,1197,180,3226,124,1900,…,…,…,…,…,…,…,…,…
3,13000,従業地・通学地／東京都総数,6898650,4319605,2872794,16127,48656,57717,89727,70216,54586,89571,176001,137000,84083,250609,250494,64310,104979,189143,86018,102027,68466,178952,205472,185985,140401,222254,1414082,196032,60819,52843,64586,48218,100700,43772,85831,101995,44939,66588,66862,50478,43227,25856,20628,27092,30058,21299,39443,23238,48726,28847,22333,28057,71615,20643,11850,6114,821,1858,12086,3312,180,1183,838,1186,179,3190,121,1897,2579045,2511371,56247,13229,9679,835237,654538,942441,67674
4,13100,従業地・通学地／区部,5662534,3292018,2799244,15814,48176,56929,87048,69041,54013,88715,174126,135221,82575,247680,237822,62438,100122,174388,84086,100414,67738,175835,193290,184480,139176,220117,491526,37763,14143,31209,34202,4577,33153,7941,45613,38743,22450,25380,16984,19013,17969,8521,2681,18095,6907,10100,18382,2665,16971,12007,2286,2548,41223,1207,719,423,18,47,41,17,-,5,-,2,1,11,-,5,2370516,2312997,54796,12657,8883,762383,643834,830444,57519
5,13101,従業地・通学地／千代田区,748327,388133,315388,7940,7955,8202,12394,14030,6684,9570,21822,12176,9667,16859,28373,7736,11847,22858,10130,11754,7538,17492,19273,16113,13300,21675,72575,5563,2077,5962,5506,601,4438,1227,6574,5411,4202,3811,2603,2431,3162,1471,325,2159,845,1333,2530,301,2455,1595,328,358,5307,166,93,60,2,11,4,-,-,1,-,-,-,2,-,1,360194,350937,10481,2041,1539,106833,113618,116425,9257
5,13102,従業地・通学地／中央区,519836,259432,221481,1353,19247,5120,5956,5583,5609,9431,23520,8954,5726,13419,15350,4103,6432,11697,5197,5911,5193,9273,10288,12730,10986,20403,37880,2703,1096,2882,2912,338,2442,594,3404,3094,2016,1936,1260,1273,1649,860,197,1201,488,639,1219,180,1266,851,172,158,3050,70,42,25,1,2,1,-,-,-,-,-,-,1,-,-,260404,253093,6121,1305,894,72304,94082,78387,7311
5,13103,従業地・通学地／港区,734011,378878,319308,1757,7125,26496,8984,7556,5510,8781,18266,24440,14176,33519,32279,9712,9937,18912,8100,9257,5917,13587,16056,12364,10854,15723,59427,4715,1593,4074,4288,519,4375,834,5568,5921,2815,2880,2083,1777,2249,1076,284,2354,730,907,1764,244,2133,1603,261,263,4117,133,77,51,2,3,10,7,-,1,-,-,1,1,-,-,355133,344838,7046,1777,1279,84255,87322,163159,10295
5,13104,従業地・通学地／新宿区,479508,286742,206589,1025,1923,2512,33865,4957,2229,3501,7885,5295,4443,7353,17343,6655,16658,21213,8303,6410,3085,11679,19559,6382,4977,9337,79940,7224,2482,4252,4563,834,5895,1404,7705,5328,3532,4800,2989,3813,2908,1266,499,2238,1364,1176,2436,541,3007,1925,412,486,6861,211,124,74,3,10,2,1,-,1,-,-,-,-,-,-,192766,188516,3955,955,683,76039,40928,65956,4250
5,13105,従業地・通学地／文京区,159337,93875,80955,618,868,889,2805,18404,2168,1696,3253,1573,1080,2176,3546,1031,2026,3349,4606,4587,2628,7370,5463,4308,2936,3575,12883,943,383,904,908,108,763,191,1076,822,605,707,482,527,531,240,68,280,163,414,656,75,392,266,72,58,1249,36,21,13,2,-,1,-,-,-,-,-,-,1,-,-,65462,64210,2230,395,242,27764,18931,14648,1252
5,13106,従業地・通学地／台東区,162177,84126,76507,310,742,571,1064,2126,18323,5039,3525,1382,712,2296,2153,639,1169,1902,1619,2849,5406,2635,2285,8726,6076,4958,7604,604,289,478,496,85,531,141,591,544,373,443,271,345,293,126,45,196,106,179,320,40,221,138,43,42,664,15,10,4,1,-,-,-,-,-,-,-,-,-,-,-,78051,76546,3894,738,484,32356,27176,11898,1505
5,13107,従業地・通学地／墨田区,120197,73374,69371,182,665,348,616,710,1641,27656,7506,750,395,1201,1250,348,655,1182,577,915,1368,1118,1112,4522,6415,8239,3989,328,121,289,318,33,246,68,333,303,217,209,128,156,181,78,27,111,52,80,133,19,149,80,18,19,293,13,9,3,-,1,1,-,-,-,-,-,-,-,-,1,46823,45924,1389,487,242,13887,23265,6654,899
