地域階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
0,,従業地・通学地／全国総数,…,6793199,4522247,27334,72091,101212,148528,111048,87997,131234,262271,201729,133209,383599,411018,98663,153392,278912,134562,162947,106271,277201,339122,315083,224120,360704,2226190,307990,87799,76615,110866,70892,147612,61827,127139,221746,66784,102496,99737,80108,65903,39983,28103,41930,44552,37612,61724,36558,75399,50231,31773,41674,109137,30111,18332,8458,1011,2310,14651,4191,205,1442,1066,1339,199,3909,138,2162,…,…,…,…,…,…,…,…,…
3,13000,従業地・通学地／東京都総数,8330304,5424248,3527220,19785,56234,68747,108013,89336,64465,106045,212852,162798,102212,305380,316680,76427,125375,231852,103077,123396,83352,221269,262150,230571,173425,283779,1856140,263808,76905,66865,83319,61044,129116,55213,111248,150593,58643,88480,87299,65918,56072,33803,25205,34211,38721,28659,51224,30244,62393,39417,28320,36194,93226,26389,15243,7941,973,2232,14499,4180,205,1414,1038,1324,198,3849,135,2156,2906056,2819683,67282,17301,13614,936100,716881,1068505,86373
4,13100,従業地・通学地／区部,6604458,3979519,3423629,19310,55515,67432,104363,87508,63621,104819,210054,160299,99889,301022,298685,73685,118861,211941,100423,121168,82290,216991,245600,228257,171562,280334,554327,42812,15804,35108,38800,5492,37101,8909,51013,43900,25000,28813,18861,21357,20014,9698,3066,20470,7712,11450,20734,3079,18593,13544,2681,3094,47222,1514,917,501,27,69,49,19,-,6,1,5,1,12,-,5,2624939,2555727,64312,15951,11853,844151,699698,919762,69212
5,13101,従業地・通学地／千代田区,816036,423270,344160,10244,8380,8739,13591,15349,7236,10417,23749,12939,10342,18252,31245,8295,12734,24712,10956,12533,8150,19071,20968,17447,14487,24324,78907,6168,2283,6478,5940,710,4869,1329,7127,5913,4506,4137,2813,2601,3404,1650,366,2333,920,1427,2698,330,2627,1729,366,440,5743,199,115,68,3,13,4,-,-,1,-,-,-,2,-,1,392766,382193,11999,2514,1903,116199,123496,126082,10573
5,13102,従業地・通学地／中央区,527537,265825,227671,1373,23671,5149,5996,5619,5666,9526,23887,9023,5747,13546,15414,4121,6451,11757,5226,5951,5229,9311,10337,12851,11106,20714,38082,2723,1105,2899,2922,344,2455,599,3418,3118,2029,1942,1268,1278,1657,862,197,1205,491,640,1223,180,1273,853,174,159,3068,71,43,25,1,2,1,-,-,-,-,-,-,1,-,-,261712,254335,6175,1323,907,72641,94566,78723,7377
5,13103,従業地・通学地／港区,771702,402738,341210,1911,7471,32955,9422,8188,5743,9078,19212,25716,15265,35838,34225,10320,10279,19724,8421,9582,6121,14200,16758,12911,11359,16511,61379,4899,1634,4245,4426,538,4500,866,5724,6168,2909,2958,2141,1827,2331,1132,294,2416,744,934,1810,249,2195,1656,265,272,4246,139,83,51,2,3,10,7,-,1,-,-,1,1,-,-,368964,358254,7257,1860,1378,86878,90254,170627,10710
5,13104,従業地・通学地／新宿区,556557,332992,242015,1223,2214,2978,44766,6135,2553,3938,9032,6006,5165,8568,19861,7279,19126,23524,9517,7229,3514,12996,22380,7286,5747,10978,90709,8112,2835,4911,5110,992,6472,1576,8494,6014,4013,5660,3297,4301,3320,1455,565,2463,1511,1336,2763,613,3251,2136,482,588,8439,266,153,95,4,14,2,1,-,1,-,-,-,-,-,-,223565,217829,5009,1326,1072,86735,47578,76109,5736
5,13105,従業地・通学地／文京区,222432,132982,116008,848,1207,1332,3662,30063,2815,2252,4468,2115,1717,3083,5075,1467,2579,4407,6288,6031,3475,10353,7456,5914,4077,5324,16915,1323,501,1155,1197,189,952,255,1377,1120,798,912,622,678,674,328,102,379,222,513,848,98,504,338,108,87,1635,58,38,17,3,-,1,-,-,-,-,-,-,1,-,-,89450,87048,3516,692,532,37221,25220,19867,2402
5,13106,従業地・通学地／台東区,175372,94787,86884,341,817,610,1124,2306,24023,5456,3826,1471,738,2441,2230,665,1206,1962,1709,3029,5992,2787,2386,9615,6597,5553,7885,632,299,494,512,86,541,145,611,574,385,466,277,358,300,129,47,199,110,185,330,42,235,140,44,43,701,16,11,4,1,-,2,-,-,-,-,1,-,1,-,-,80585,78934,4045,788,513,33228,28048,12312,1651
5,13107,従業地・通学地／墨田区,136933,88416,84317,198,761,377,657,760,1861,38012,8342,804,407,1301,1282,363,687,1216,603,972,1541,1174,1155,5120,7245,9479,4085,337,123,299,323,34,250,69,338,313,219,214,135,161,183,78,28,112,53,83,135,20,150,82,19,19,308,13,9,3,-,1,1,-,-,-,-,-,-,-,-,1,48517,47560,1447,504,247,14260,24289,6813,957
5,13108,従業地・通学地／江東区,339062,202963,186308,469,3362,1473,2353,1935,2137,8175,84460,4406,1642,5902,4815,1413,2675,4237,2439,2745,2322,4549,4892,6747,6793,26367,16604,1277,518,1105,1265,185,1180,290,1446,1237,793,900,587,628,637,284,94,432,232,325,596,87,583,438,85,88,1312,48,25,21,-,2,3,-,-,1,-,-,-,-,-,2,136099,132976,3035,661,521,31734,65267,31758,3123
5,13109,従業地・通学地／品川区,335541,181990,161219,339,1306,3109,2026,1486,1424,2253,5048,61800,6130,29806,9692,1886,2684,5063,2322,2655,1792,3975,4439,3556,3336,5092,20714,1763,605,1180,1411,204,1370,374,1721,2332,868,1021,788,745,719,388,126,638,303,350,577,113,765,651,91,112,1499,55,30,23,-,2,2,-,-,1,-,1,-,-,-,-,153551,148393,2499,757,574,29994,29865,84704,5158
5,13110,従業地・通学地／目黒区,127834,82675,72401,138,379,960,991,802,419,535,1448,4754,28841,7079,11429,1609,1192,2988,908,879,516,1531,1961,1052,798,1192,10257,730,260,583,1027,90,763,156,1024,1324,347,453,312,278,288,174,30,504,110,137,248,45,349,342,50,45,588,17,12,4,-,1,-,-,-,-,-,-,-,-,-,-,45159,44006,582,149,123,8465,5436,29251,1153
