産業分類階層,大分類,中分類,分類名,事業所／総数（事業所）,事業所／他からの出向・派遣従業者が有り（事業所）,事業所／他からの出向・派遣従業者が無し（事業所）,事業所／総数（事業所）,事業所／他への出向・派遣従業者が有り（事業所）,事業所／他への出向・派遣従業者が無し（事業所）,従業者／総数／総数（人）,従業者／総数／男（人）,従業者／総数／女（人）,従業者／個人業主／総数（人）,従業者／個人業主／男（人）,従業者／個人業主／女（人）,従業者／無給の家族従業／総数（人）,従業者／無給の家族従業／男（人）,従業者／無給の家族従業／女（人）,従業者／有給役員／総数（人）,従業者／有給役員／男（人）,従業者／有給役員／女（人）,従業者／雇用者／常用雇用者／総数／総数（人）,従業者／雇用者／常用雇用者／総数／男（人）,従業者／雇用者／常用雇用者／総数／女（人）,従業者／雇用者／常用雇用者／正社員・正職員／総数（人）,従業者／雇用者／常用雇用者／正社員・正職員／男（人）,従業者／雇用者／常用雇用者／正社員・正職員／女（人）,従業者／雇用者／常用雇用者／正社員・正職員以外／総数（人）,従業者／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者／雇用者／臨時雇用者／総数（人）,従業者／雇用者／臨時雇用者／男（人）,従業者／雇用者／臨時雇用者／女（人）,（再掲）従業者／雇用者／臨時雇用者／総数（人）,（再掲）従業者／雇用者／うち他への出向・派遣従業者／男（人）,（再掲）従業者／雇用者／うち他への出向・派遣従業者／女（人）,従業者／他からの出向・派遣従業者／総数（人）,従業者／他からの出向・派遣従業者／男（人）,従業者／他からの出向・派遣従業者／女（人）
0,A～R,00,全産業（Ｓ公務を除く）,621671,37108,584563,621671,11660,610011,9005511,5277921,3669914,170894,125873,44352,38945,7792,31153,499965,374768,125067,8028649,4638339,3333882,5347290,3593448,1708923,2681359,1044891,1624959,267058,131149,135460,358296,210435,144342,457588,261137,196047
1,A,00,農業，林業,455,27,428,455,9,446,3573,2661,891,-,-,-,-,-,-,664,499,165,2754,2047,686,1802,1440,348,952,607,338,155,115,40,17,15,2,137,98,39
2,A,01,農業,423,23,400,423,6,417,3323,2461,841,-,-,-,-,-,-,628,471,157,2553,1887,645,1642,1308,320,911,579,325,142,103,39,12,12,-,114,79,35
2,A,02,林業,32,4,28,32,3,29,250,200,50,-,-,-,-,-,-,36,28,8,201,160,41,160,132,28,41,28,13,13,12,1,5,3,2,23,19,4
1,B,00,漁業,10,1,9,10,-,10,80,66,14,-,-,-,-,-,-,10,6,4,70,60,10,58,53,5,12,7,5,-,-,-,-,-,-,3,2,1
2,B,03,漁業（水産養殖業を除く）,6,-,6,6,-,6,59,50,9,-,-,-,-,-,-,5,4,1,54,46,8,51,46,5,3,-,3,-,-,-,-,-,-,-,-,-
2,B,04,水産養殖業,4,1,3,4,-,4,21,16,5,-,-,-,-,-,-,5,2,3,16,14,2,7,7,-,9,7,2,-,-,-,-,-,-,3,2,1
1,C,00,鉱業，採石業，砂利採取業,78,25,53,78,5,73,1846,1466,378,-,-,-,-,-,-,159,153,6,1682,1310,370,1541,1211,328,141,99,42,5,3,2,30,29,1,332,293,39
2,C,05,鉱業，採石業，砂利採取業,78,25,53,78,5,73,1846,1466,378,-,-,-,-,-,-,159,153,6,1682,1310,370,1541,1211,328,141,99,42,5,3,2,30,29,1,332,293,39
1,D,00,建設業,40014,1801,38213,40014,771,39243,456848,377770,77255,5855,5758,82,1415,289,1126,54463,42474,11988,381115,316558,62750,334498,284518,48443,46617,32040,14307,14000,12691,1309,7772,7079,693,26053,19378,6675
