地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,従業者規模／１～４人／事業所数（事業所）,従業者規模／５～９人／事業所数（事業所）,従業者規模／10～19人／事業所数（事業所）,従業者規模／20～29人／事業所数（事業所）,従業者規模／30～49人／事業所数（事業所）,従業者規模／50～99人／事業所数（事業所）,従業者規模／100～199人／事業所数（事業所）,従業者規模／200～299人／事業所数（事業所）,従業者規模／300～499人／事業所数（事業所）,従業者規模／500人以上／事業所数（事業所）,従業者規模／出向・派遣従業者のみ／事業所数（事業所）
0,1300000000,東京都,,,東京都,621671,331204,128829,80094,30184,22347,14177,6636,1952,1494,1554,3200
1,1310000000,区部,,,区部,494337,261570,102677,64022,23853,17779,11772,5619,1680,1317,1398,2650
2,1310100000,千代田区,,,千代田区,31065,12280,6909,4960,2102,1753,1341,677,265,222,229,327
3,1310100100,千代田区,丸の内,,丸の内,2559,656,482,524,255,205,160,91,36,39,50,61
4,1310100101,千代田区,丸の内,丸の内１丁目,丸の内１丁目,1285,258,238,301,142,118,85,48,24,24,24,23
4,1310100102,千代田区,丸の内,丸の内２丁目,丸の内２丁目,873,278,173,145,88,62,45,25,9,11,20,17
4,1310100103,千代田区,丸の内,丸の内３丁目,丸の内３丁目,401,120,71,78,25,25,30,18,3,4,6,21
3,1310100200,千代田区,大手町,,大手町,876,181,156,165,88,95,70,40,17,19,30,15
4,1310100201,千代田区,大手町,大手町１丁目,大手町１丁目,626,123,120,113,64,67,49,26,14,10,29,11
4,1310100202,千代田区,大手町,大手町２丁目,大手町２丁目,250,58,36,52,24,28,21,14,3,9,1,4
3,1310100300,千代田区,内幸町,,内幸町,737,227,183,123,59,53,39,21,11,2,11,8
4,1310100301,千代田区,内幸町,内幸町１丁目,内幸町１丁目,456,143,112,69,42,31,28,12,8,1,4,6
4,1310100302,千代田区,内幸町,内幸町２丁目,内幸町２丁目,281,84,71,54,17,22,11,9,3,1,7,2
3,1310100400,千代田区,有楽町,,有楽町,1213,399,303,220,88,85,53,23,8,7,5,22
4,1310100401,千代田区,有楽町,有楽町１丁目,有楽町１丁目,761,259,166,139,56,57,41,18,4,6,5,10
4,1310100402,千代田区,有楽町,有楽町２丁目,有楽町２丁目,452,140,137,81,32,28,12,5,4,1,-,12
3,1310100500,千代田区,霞が関,,霞が関,574,169,103,99,59,32,33,20,11,20,18,10
4,1310100501,千代田区,霞が関,霞が関１丁目,霞が関１丁目,158,47,39,27,14,6,11,3,1,1,5,4
