産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,従業者規模別／１～４人／事業所数（事業所）,従業者規模別／１～４人／従業者数／総数（人）,従業者規模別／１～４人／従業者数／男（人）,従業者規模別／１～４人／従業者数／女（人）,従業者規模別／５～９人／事業所数（事業所）,従業者規模別／５～９人／従業者数／総数（人）,従業者規模別／５～９人／従業者数／男（人）,従業者規模別／５～９人／従業者数／女（人）,従業者規模別／10～19人／事業所数（事業所）,従業者規模別／10～19人／従業者数／総数（人）,従業者規模別／10～19人／従業者数／男（人）,従業者規模別／10～19人／従業者数／女（人）,従業者規模別／20～29人／事業所数（事業所）,従業者規模別／20～29人／従業者数／総数（人）,従業者規模別／20～29人／従業者数／男（人）,従業者規模別／20～29人／従業者数／女（人）,従業者規模別／30～49人／事業所数（事業所）,従業者規模別／30～49人／従業者数／総数（人）,従業者規模別／30～49人／従業者数／男（人）,従業者規模別／30～49人／従業者数／女（人）,従業者規模別／50～99人／事業所数（事業所）,従業者規模別／50～99人／従業者数／総数（人）,従業者規模別／50～99人／従業者数／男（人）,従業者規模別／50～99人／従業者数／女（人）,従業者規模別／100～199人／事業所数（事業所）,従業者規模別／100～199人／従業者数／総数（人）,従業者規模別／100～199人／従業者数／男（人）,従業者規模別／100～199人／従業者数／女（人）,従業者規模別／200～299人／事業所数（事業所）,従業者規模別／200～299人／従業者数／総数（人）,従業者規模別／200～299人／従業者数／男（人）,従業者規模別／200～299人／従業者数／女（人）,従業者規模別／300～499人／事業所数（事業所）,従業者規模別／300～499人／従業者数／総数（人）,従業者規模別／300～499人／従業者数／男（人）,従業者規模別／300～499人／従業者数／女（人）,従業者規模別／500人以上／事業所数（事業所）,従業者規模別／500人以上／従業者数／総数（人）,従業者規模別／500人以上／従業者数／男（人）,従業者規模別／500人以上／従業者数／女（人）,従業者規模別／出向・派遣従業者のみの事業所数（事業所）
0,A～R,00,000,全産業（Ｓ公務を除く）,621671,9005511,5277921,3669914,331204,732333,399042,326968,128829,844970,443959,392181,80094,1083005,601077,472837,30184,718436,402244,311280,22347,840599,472845,363295,14177,972996,584349,384039,6636,910077,567479,337101,1952,471939,302093,167877,1494,569206,357323,209581,1554,1861950,1147510,704755,3200
1,A,00,000,農業，林業,455,3573,2661,891,208,547,388,148,137,890,693,187,76,961,739,222,14,333,262,71,8,320,253,67,8,522,326,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
2,A,01,000,農業,423,3323,2461,841,196,517,365,141,126,815,637,168,68,856,652,204,14,333,262,71,7,280,219,61,8,522,326,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
3,A,01,010,管理，補助的経済活動を行う事業所,10,76,52,24,6,11,6,5,2,14,12,2,-,-,-,-,-,-,-,-,-,-,-,-,1,51,34,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
3,A,01,011,耕種農業,56,476,294,173,27,61,36,21,15,93,59,29,9,109,66,43,1,26,13,13,1,44,25,19,2,143,95,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
3,A,01,012,畜産農業,19,191,101,90,11,24,11,13,2,14,6,8,1,12,6,6,1,28,23,5,1,48,34,14,1,65,21,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,A,01,013,農業サービス業（園芸サービス業を除く）,17,171,124,47,6,16,11,5,6,38,26,12,2,32,21,11,2,44,33,11,1,41,33,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,321,2409,1890,507,146,405,301,97,101,656,534,117,56,703,559,144,10,235,193,42,4,147,127,20,4,263,176,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,A,02,000,林業,32,250,200,50,12,30,23,7,11,75,56,19,8,105,87,18,-,-,-,-,1,40,34,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,020,管理，補助的経済活動を行う事業所,1,3,2,1,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,021,育林業,10,59,46,13,5,9,6,3,3,21,18,3,2,29,22,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,022,素材生産業,2,12,10,2,-,-,-,-,2,12,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,024,林業サービス業,18,174,140,34,5,16,13,3,6,42,28,14,6,76,65,11,-,-,-,-,1,40,34,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,029,その他の林業,1,2,2,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,B,00,000,漁業,10,80,66,14,4,15,11,4,4,32,23,9,1,12,12,-,1,21,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,03,000,漁業（水産養殖業を除く）,6,59,50,9,1,3,2,1,3,23,16,7,1,12,12,-,1,21,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,030,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,031,海面漁業,6,59,50,9,1,3,2,1,3,23,16,7,1,12,12,-,1,21,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,03,032,内水面漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,04,000,水産養殖業,4,21,16,5,3,12,9,3,1,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,040,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,041,海面養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,042,内水面養殖業,4,21,16,5,3,12,9,3,1,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,C,00,000,鉱業，採石業，砂利採取業,78,1846,1466,378,46,72,53,17,6,36,31,5,4,52,39,13,5,119,105,14,2,73,59,14,2,115,104,11,2,266,198,68,1,281,249,32,-,-,-,-,1,832,628,204,9
2,C,05,000,鉱業，採石業，砂利採取業,78,1846,1466,378,46,72,53,17,6,36,31,5,4,52,39,13,5,119,105,14,2,73,59,14,2,115,104,11,2,266,198,68,1,281,249,32,-,-,-,-,1,832,628,204,9
3,C,05,050,管理，補助的経済活動を行う事業所,61,1596,1250,346,39,54,45,9,2,10,10,-,4,52,39,13,1,28,22,6,2,73,59,14,-,-,-,-,2,266,198,68,1,281,249,32,-,-,-,-,1,832,628,204,9
3,C,05,051,金属鉱業,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,053,原油・天然ガス鉱業,3,82,74,8,1,1,-,1,-,-,-,-,-,-,-,-,1,21,18,3,-,-,-,-,1,60,56,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,054,採石業，砂・砂利・玉石採取業,9,121,104,17,4,12,8,4,2,13,11,2,-,-,-,-,2,41,37,4,-,-,-,-,1,55,48,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,3,38,33,5,1,3,-,3,1,6,5,1,-,-,-,-,1,29,28,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,059,その他の鉱業,1,7,5,2,-,-,-,-,1,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,D,00,000,建設業,40014,456848,377770,77255,21399,50235,36952,13001,9652,63255,49014,13778,5001,66177,54435,11376,1566,37353,31735,5459,1150,43555,37456,5972,681,46551,39980,6360,324,44147,38255,5892,70,17060,14383,2462,57,21453,18723,2730,59,67062,56837,10225,55
2,D,06,000,総合工事業,14256,190490,156039,33989,7435,17378,12665,4627,3480,22820,17255,5406,1790,23749,19279,4376,622,14811,12466,2302,422,16001,13443,2478,265,17981,15211,2770,125,17364,14659,2705,37,9028,7821,1207,27,10395,8856,1539,34,40963,34384,6579,19
3,D,06,060,管理，補助的経済活動を行う事業所,78,3082,2502,580,24,39,31,8,12,74,59,15,9,122,89,33,8,211,171,40,6,218,193,25,6,420,351,69,11,1527,1202,325,-,-,-,-,1,471,406,65,-,-,-,-,1
3,D,06,061,一般土木建築工事業,449,32997,28625,4359,153,353,292,61,77,505,407,98,61,814,687,114,27,657,587,70,27,1068,940,128,34,2344,2139,205,24,3326,3003,323,14,3409,3073,336,13,4929,4377,552,15,15592,13120,2472,4
3,D,06,062,土木工事業（舗装工事業を除く）,2893,38239,32802,5292,947,2314,1799,507,807,5473,4374,1050,659,8867,7527,1297,226,5366,4711,655,156,5989,5313,631,64,4202,3770,432,22,3253,2858,395,7,1764,1547,217,1,387,363,24,1,624,540,84,3
3,D,06,063,舗装工事業,469,7921,7033,874,124,287,245,34,128,861,707,148,133,1752,1523,229,44,1037,940,97,26,901,814,87,9,579,516,63,3,387,299,88,1,257,230,27,-,-,-,-,1,1860,1759,101,-
3,D,06,064,建築工事業（木造建築工事業を除く）,4459,73081,59615,13311,2212,5256,3880,1352,1172,7702,5813,1841,515,6831,5517,1286,215,5091,4201,870,141,5257,4333,889,115,7812,6454,1358,48,6646,5557,1089,13,3084,2579,505,8,3060,2622,438,16,22342,18659,3683,4
3,D,06,065,木造建築工事業,2331,12216,8814,3386,1622,3841,2773,1060,511,3235,2330,897,131,1678,1209,469,30,733,545,188,19,720,499,221,7,559,397,162,9,1117,851,266,-,-,-,-,1,333,210,123,-,-,-,-,1
