地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,総数／従業者数（人）,経営組織／個人／事業所数（事業所）,経営組織／個人／従業者数（人）,経営組織／法人／総数／事業所数（事業所）,経営組織／法人／総数／従業者数（人）,経営組織／法人／会社／総数／事業所数（事業所）,経営組織／法人／会社／総数／従業者数（人）,経営組織／法人／会社／株式・有限・相互会社／事業所数（事業所）,経営組織／法人／会社／株式・有限・相互会社／従業者数（人）,経営組織／法人／会社／合名・合資会社／事業所数（事業所）,経営組織／法人／会社／合名・合資会社／従業者数（人）,経営組織／法人／会社／合同会社／事業所数（事業所）,経営組織／法人／会社／合同会社／従業者数（人）,経営組織／法人／会社／外国の会社／事業所数（事業所）,経営組織／法人／会社／外国の会社／従業者数（人）,経営組織／法人／会社以外の法人／事業所数（事業所）,経営組織／法人／会社以外の法人／従業者数（人）,経営組織／法人でない団体／事業所数（事業所）,経営組織／法人でない団体／従業者数（人）
0,1300000000,東京都,,,東京都,621671,9005511,171975,511982,447451,8482959,409997,7481679,405168,7416485,1705,10441,2316,37893,808,16860,37454,1001280,2245,10570
1,1310000000,区部,,,区部,494337,7550364,130355,384674,362112,7157066,333856,6424211,329786,6370833,1479,8456,1821,31118,770,13804,28256,732855,1870,8624
2,1310100000,千代田区,,,千代田区,31065,942339,3934,16995,26791,923539,24277,841648,23899,834453,77,467,113,3577,188,3151,2514,81891,340,1805
3,1310100100,千代田区,丸の内,,丸の内,2559,172189,228,2121,2315,169955,2168,164059,2105,160200,3,15,18,2712,42,1132,147,5896,16,113
4,1310100101,千代田区,丸の内,丸の内１丁目,丸の内１丁目,1285,94410,17,233,1263,94122,1207,92400,1179,91657,2,10,6,57,20,676,56,1722,5,55
4,1310100102,千代田区,丸の内,丸の内２丁目,丸の内２丁目,873,60643,177,1452,687,59144,645,57972,625,55766,1,5,3,1872,16,329,42,1172,9,47
4,1310100103,千代田区,丸の内,丸の内３丁目,丸の内３丁目,401,17136,34,436,365,16689,316,13687,301,12777,-,-,9,783,6,127,49,3002,2,11
3,1310100200,千代田区,大手町,,大手町,876,91278,15,324,844,90831,761,83368,746,83108,1,4,3,144,11,112,83,7463,17,123
4,1310100201,千代田区,大手町,大手町１丁目,大手町１丁目,626,80667,7,49,606,80509,542,73327,533,73108,-,-,3,144,6,75,64,7182,13,109
4,1310100202,千代田区,大手町,大手町２丁目,大手町２丁目,250,10611,8,275,238,10322,219,10041,213,10000,1,4,-,-,5,37,19,281,4,14
3,1310100300,千代田区,内幸町,,内幸町,737,35854,72,539,657,35267,600,29369,572,29050,-,-,2,35,26,284,57,5898,8,48
4,1310100301,千代田区,内幸町,内幸町１丁目,内幸町１丁目,456,17729,22,155,431,17567,402,17036,382,16804,-,-,2,35,18,197,29,531,3,7
4,1310100302,千代田区,内幸町,内幸町２丁目,内幸町２丁目,281,18125,50,384,226,17700,198,12333,190,12246,-,-,-,-,8,87,28,5367,5,41
