地域階層,地域コード,地域名,産業分類階層,大分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
0,13000,東京都,0,A～R,全産業（Ｓ公務を除く）,621671,8028649,4638339,3333882,145375,-,-,-,235812,503687,229474,268148,100352,662704,331830,322355,68639,932249,507930,415280,26875,639690,350594,284260,20437,767884,424886,338407,13181,906649,538790,363493,6245,857160,532059,319639,1856,448656,286750,159643,1431,544742,341750,200674,1468,1765228,1094276,661983
0,13000,東京都,1,A,農業，林業,455,2754,2047,686,81,-,-,-,198,455,328,116,104,685,539,136,45,562,442,120,12,281,209,72,8,328,253,75,7,443,276,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,1,B,漁業,10,70,60,10,1,-,-,-,3,10,9,1,4,29,21,8,1,11,11,-,1,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,1,C,鉱業，採石業，砂利採取業,78,1682,1310,370,17,-,-,-,43,62,45,15,3,20,14,6,4,57,48,9,3,78,67,11,2,64,50,14,2,114,103,11,2,254,186,68,1,259,227,32,-,-,-,-,1,774,570,204
0,13000,東京都,1,D,建設業,40014,381115,316558,62750,8896,-,-,-,17609,37394,26207,10915,6592,43291,34537,8296,3582,47965,40094,7506,1248,29650,25229,4262,982,36899,31734,5038,619,42065,35882,5972,305,41252,35603,5649,72,17555,14872,2468,51,19380,16827,2553,58,65664,55573,10091
0,13000,東京都,1,E,製造業,43569,512514,359805,146850,10798,-,-,-,18686,38586,21878,16511,6135,40287,26187,13825,3818,52003,35065,16706,1552,37114,25233,11758,1158,44138,30746,13392,750,51279,36313,14731,343,46757,32634,13842,130,31733,22074,9659,92,35207,25337,9870,107,135410,104338,26556
0,13000,東京都,1,F,電気・ガス・熱供給・水道業,397,21436,18412,2859,25,-,-,-,88,175,126,40,61,424,383,28,86,1148,1084,42,19,436,387,49,24,879,743,98,59,5288,4517,688,14,1911,1669,242,11,2492,2045,447,5,1862,1701,161,5,6821,5757,1064
0,13000,東京都,1,G,情報通信業,21935,807707,592329,209170,3266,-,-,-,6805,15025,8754,5554,3377,22400,14772,6863,2929,39932,27818,11222,1458,34935,25226,9322,1405,53581,38748,14140,1299,92122,66721,24792,737,102976,74988,27156,212,50562,37392,12668,205,79144,57964,21180,242,317030,239946,76273
0,13000,東京都,1,H,運輸業，郵便業,15099,414900,333181,80412,4504,-,-,-,2587,5751,4042,1659,1998,13697,10799,2770,2197,30431,24787,5455,1042,24948,20444,4337,1011,38167,31486,6494,874,61120,50274,10846,518,72190,61556,10634,182,43847,37537,6086,110,41019,33687,6970,76,83730,58569,25161
0,13000,東京都,1,I,卸売業，小売業,150728,1792157,1015942,769598,28785,-,-,-,57567,127589,56089,70381,27788,183567,86031,96125,19889,271347,146970,123088,6989,164551,92909,71006,4380,163580,95051,67900,2973,205644,119128,86129,1495,207389,117988,88551,363,87146,52618,34232,241,91407,57046,34361,258,289937,192112,97825
0,13000,東京都,1,J,金融業，保険業,10601,398227,202150,194555,1302,-,-,-,2496,5514,2654,2738,1247,8255,4542,3555,1992,28359,15405,12784,1145,27780,12175,15605,1120,42131,15836,26253,743,50215,22761,27264,283,38082,19306,18651,95,22962,13311,9651,78,29167,16162,13005,100,145762,79998,65049
0,13000,東京都,1,K,不動産業，物品賃貸業,55758,264310,164405,98445,25611,-,-,-,22136,39631,19227,20086,4137,26663,16876,9411,2032,27096,17506,9248,674,15995,10113,5808,468,17586,11098,6310,330,22881,14455,8376,198,27011,17999,8890,62,15220,10595,4625,59,21948,14387,7561,51,50279,32149,18130
0,13000,東京都,1,L,学術研究，専門・技術サービス業,41129,422550,271697,146368,10909,-,-,-,18706,38640,17349,20348,5582,36114,20012,15442,2904,38542,23498,14516,960,22921,14732,7958,810,30498,20053,10018,662,45254,30163,14972,318,44608,29776,14110,124,30217,20252,9965,72,27315,18725,7735,82,108441,77137,31304
0,13000,東京都,1,M,宿泊業，飲食サービス業,89160,749119,354245,386658,19112,-,-,-,31584,67936,27938,39494,16008,107326,50625,55429,12332,168338,82389,84075,5317,126971,57928,67460,3451,126746,57897,68118,1057,68999,33756,34742,182,23592,11818,10547,49,11443,5959,5276,30,11751,6308,5127,38,36017,19627,16390
0,13000,東京都,1,N,生活関連サービス業，娯楽業,46450,269113,116702,146724,14601,-,-,-,20119,41827,12922,28394,6001,38654,15130,22923,3101,41648,20119,21082,1144,27177,13890,13071,766,29100,14306,14405,465,31304,14039,16976,171,22952,11097,11318,36,8559,3779,4520,27,10067,4411,4871,19,17825,7009,9164
0,13000,東京都,1,O,教育，学習支援業,18381,309237,156920,151116,5267,-,-,-,5422,11854,4459,7204,2704,17945,7186,10453,2239,30427,11987,18189,1002,23971,9650,14147,798,30092,13905,16080,574,39083,20394,18517,196,25762,14845,10917,52,12745,7741,5004,52,20465,10885,9580,75,96893,55868,41025
0,13000,東京都,1,P,医療，福祉,48461,726056,201039,519171,6476,-,-,-,15936,39383,9467,29378,11915,79056,18162,59508,7110,95158,22925,70584,2498,59733,14741,44415,2301,87057,20079,66617,1290,88028,26477,61041,577,77386,25320,51773,141,34467,11304,23163,108,40976,13697,27279,109,124812,38867,85413
0,13000,東京都,1,Q,複合サービス事業,1720,32288,19798,12490,6,-,-,-,210,622,291,331,1049,7054,2788,4266,342,4151,1930,2221,30,719,424,295,20,735,408,327,12,736,447,289,7,1039,734,305,16,4118,2868,1250,23,8524,6292,2232,5,4590,3616,974
0,13000,東京都,1,R,サービス業（他に分類されないもの）,37724,923383,511711,405647,5718,-,-,-,15616,33232,17688,14983,5647,37237,23226,13311,4036,55074,35852,18433,1781,42410,27218,14683,1732,66273,42466,23125,1465,102074,63084,37980,899,123999,76540,46986,310,75331,44176,30597,278,106510,58321,48189,242,281243,123140,157360
