地域階層,地域コード,地域名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数のうち常用雇用者数／総数（人）,総数／従業者数のうち常用雇用者数／男（人）,総数／従業者数のうち常用雇用者数／女（人）,経営組織／個人／事業所数（事業所）,経営組織／個人／従業者数／総数（人）,経営組織／個人／従業者数／男（人）,経営組織／個人／従業者数／女（人）,経営組織／個人／従業者数のうち常用雇用者数／総数（人）,経営組織／個人／従業者数のうち常用雇用者数／男（人）,経営組織／個人／従業者数のうち常用雇用者数／女（人）,経営組織／法人／事業所数（事業所）,経営組織／法人／従業者数／総数（人）,経営組織／法人／従業者数／男（人）,経営組織／法人／従業者数／女（人）,経営組織／法人／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／従業者数のうち常用雇用者数／男（人）,経営組織／法人／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社／事業所数（事業所）,経営組織／法人／会社／従業者数／総数（人）,経営組織／法人／会社／従業者数／男（人）,経営組織／法人／会社／従業者数／女（人）,経営組織／法人／会社／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／事業所数（事業所）,経営組織／法人／会社／株式・有限・相互会社／従業者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社／合名・合資会社／事業所数（事業所）,経営組織／法人／会社／合名・合資会社／従業者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数／女（人）,経営組織／法人／会社／合名・合資会社／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社／合同会社／事業所数（事業所）,経営組織／法人／会社／合同会社／従業者数／総数（人）,経営組織／法人／会社／合同会社／従業者数／男（人）,経営組織／法人／会社／合同会社／従業者数／女（人）,経営組織／法人／会社／合同会社／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社／合同会社／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社／合同会社／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社／外国の会社／事業所数（事業所）,経営組織／法人／会社／外国の会社／従業者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数／男（人）,経営組織／法人／会社／外国の会社／従業者数／女（人）,経営組織／法人／会社／外国の会社／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社／外国の会社／従業者数のうち常用雇用者数／女（人）,経営組織／法人／会社以外の法人／事業所数（事業所）,経営組織／法人／会社以外の法人／従業者数／総数（人）,経営組織／法人／会社以外の法人／従業者数／男（人）,経営組織／法人／会社以外の法人／従業者数／女（人）,経営組織／法人／会社以外の法人／従業者数のうち常用雇用者数／総数（人）,経営組織／法人／会社以外の法人／従業者数のうち常用雇用者数／男（人）,経営組織／法人／会社以外の法人／従業者数のうち常用雇用者数／女（人）,経営組織／法人でない団体／事業所数（事業所）,経営組織／法人でない団体／従業者数／総数（人）,経営組織／法人でない団体／従業者数／男（人）,経営組織／法人でない団体／従業者数／女（人）,経営組織／法人でない団体／従業者数のうち常用雇用者数／総数（人）,経営組織／法人でない団体／従業者数のうち常用雇用者数／男（人）,経営組織／法人でない団体／従業者数のうち常用雇用者数／女（人）
4,13229,西東京市,5000,47900,21864,25772,41219,17816,23144,1837,5544,2334,3198,3099,877,2215,3137,42132,19481,22399,37907,16891,20764,2803,33225,16798,16373,29517,14503,14960,2766,32482,16552,15877,28834,14288,14493,8,41,21,20,35,17,18,29,702,225,476,648,198,449,-,-,-,-,-,-,-,334,8907,2683,6026,8390,2388,5804,26,224,49,175,213,48,165
1,13550,町村部,4803,44049,25831,18096,36919,21359,15442,2017,5426,2572,2846,2280,819,1456,2769,38471,23189,15168,34515,20496,13906,2399,31613,20400,11151,27991,17917,10013,2383,31403,20327,11014,27820,17864,9895,9,58,31,27,33,15,18,7,152,42,110,138,38,100,-,-,-,-,-,-,-,370,6858,2789,4017,6524,2579,3893,17,152,70,82,124,44,80
2,13300,西多摩郡,2737,33222,19597,13506,29488,17086,12286,779,2149,1097,1046,1006,375,627,1948,30968,18451,12404,28392,16677,11603,1726,25721,16406,9254,23328,14751,8517,1719,25567,16353,9153,23191,14706,8425,5,31,17,14,23,11,12,2,123,36,87,114,34,80,-,-,-,-,-,-,-,222,5247,2045,3150,5064,1926,3086,10,105,49,56,90,34,56
4,13303,瑞穂町,1624,21509,13610,7790,19208,12034,7067,402,1133,603,527,575,225,348,1220,20349,12994,7249,18606,11796,6705,1147,18790,12461,6275,17132,11313,5766,1143,18646,12416,6176,16999,11271,5675,3,26,14,12,22,11,11,1,118,31,87,111,31,80,-,-,-,-,-,-,-,73,1559,533,974,1474,483,939,2,27,13,14,27,13,14
4,13305,日の出町,704,9017,4497,4517,8198,3930,4266,181,466,249,214,197,77,118,521,8527,4235,4292,7989,3852,4137,433,5722,3115,2607,5231,2768,2463,433,5722,3115,2607,5231,2768,2463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,2805,1120,1685,2758,1084,1674,2,24,13,11,12,1,11
4,13307,檜原村,139,752,395,357,531,261,270,84,232,118,114,88,32,56,55,520,277,243,443,229,214,33,237,172,65,175,130,45,32,235,171,64,174,130,44,1,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,283,105,178,268,99,169,-,-,-,-,-,-,-
4,13308,奥多摩町,270,1944,1095,842,1551,861,683,112,318,127,191,146,41,105,152,1572,945,620,1354,800,547,113,972,658,307,790,540,243,111,964,651,306,787,537,243,1,3,2,1,-,-,-,1,5,5,-,3,3,-,-,-,-,-,-,-,-,39,600,287,313,564,260,304,6,54,23,31,51,20,31
2,13350,島部,2066,10827,6234,4590,7431,4273,3156,1238,3277,1475,1800,1274,444,829,821,7503,4738,2764,6123,3819,2303,673,5892,3994,1897,4663,3166,1496,664,5836,3974,1861,4629,3158,1470,4,27,14,13,10,4,6,5,29,6,23,24,4,20,-,-,-,-,-,-,-,148,1611,744,867,1460,653,807,7,47,21,26,34,10,24
3,13360,大島支庁,990,5086,2904,2182,3449,1961,1488,612,1615,750,865,618,220,398,373,3437,2138,1299,2810,1736,1074,301,2618,1779,839,2053,1411,642,297,2594,1773,821,2032,1406,626,1,2,1,1,2,1,1,3,22,5,17,19,4,15,-,-,-,-,-,-,-,72,819,359,460,757,325,432,5,34,16,18,21,5,16
4,13361,大島町,562,2993,1641,1352,2107,1132,975,315,794,362,432,308,110,198,245,2189,1278,911,1790,1021,769,208,1667,1068,599,1286,826,460,206,1647,1064,583,1269,823,446,-,-,-,-,-,-,-,2,20,4,16,17,3,14,-,-,-,-,-,-,-,37,522,210,312,504,195,309,2,10,1,9,9,1,8
4,13362,利島村,36,137,85,52,79,54,25,21,37,16,21,4,1,3,15,100,69,31,75,53,22,10,73,53,20,51,39,12,10,73,53,20,51,39,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,27,16,11,24,14,10,-,-,-,-,-,-,-
4,13363,新島村,227,1129,673,456,690,429,261,159,460,226,234,163,71,92,66,656,442,214,516,354,162,48,497,376,121,395,302,93,48,497,376,121,395,302,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,159,66,93,121,52,69,2,13,5,8,11,4,7
4,13364,神津島村,165,827,505,322,573,346,227,117,324,146,178,143,38,105,47,492,349,143,429,308,121,35,381,282,99,321,244,77,33,377,280,97,317,242,75,1,2,1,1,2,1,1,1,2,1,1,2,1,1,-,-,-,-,-,-,-,12,111,67,44,108,64,44,1,11,10,1,1,-,1
3,13380,三宅支庁,251,1319,911,406,888,633,254,148,331,157,172,112,34,77,103,988,754,234,776,599,177,87,831,652,179,641,513,128,86,830,651,179,641,513,128,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,16,157,102,55,135,86,49,-,-,-,-,-,-,-
4,13381,三宅村,226,1167,815,352,794,569,225,132,283,141,142,93,29,64,94,884,674,210,701,540,161,81,753,593,160,575,461,114,80,752,592,160,575,461,114,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,13,131,81,50,126,79,47,-,-,-,-,-,-,-
4,13382,御蔵島村,25,152,96,54,94,64,29,16,48,16,30,19,5,13,9,104,80,24,75,59,16,6,78,59,19,66,52,14,6,78,59,19,66,52,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,26,21,5,9,7,2,-,-,-,-,-,-,-
3,13400,八丈支庁,564,2966,1585,1380,2016,1070,945,343,1021,429,592,437,163,274,220,1942,1155,786,1576,906,669,185,1593,1010,582,1260,783,476,181,1562,997,564,1247,780,466,3,25,13,12,8,3,5,1,6,-,6,5,-,5,-,-,-,-,-,-,-,35,349,145,204,316,123,193,1,3,1,2,3,1,2
4,13401,八丈町,549,2882,1522,1359,1967,1029,937,337,1005,421,584,431,160,271,211,1874,1100,773,1533,868,664,176,1525,955,569,1217,745,471,173,1506,949,556,1205,743,461,2,13,6,7,7,2,5,1,6,-,6,5,-,5,-,-,-,-,-,-,-,35,349,145,204,316,123,193,1,3,1,2,3,1,2
4,13402,青ヶ島村,15,84,63,21,49,41,8,6,16,8,8,6,3,3,9,68,55,13,43,38,5,9,68,55,13,43,38,5,8,56,48,8,42,37,5,1,12,7,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,13420,小笠原支庁,261,1456,834,622,1078,609,469,135,310,139,171,107,27,80,125,1136,691,445,961,578,383,100,850,553,297,709,459,250,100,850,553,297,709,459,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,286,138,148,252,119,133,1,10,4,6,10,4,6
4,13421,小笠原村,261,1456,834,622,1078,609,469,135,310,139,171,107,27,80,125,1136,691,445,961,578,383,100,850,553,297,709,459,250,100,850,553,297,709,459,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,286,138,148,252,119,133,1,10,4,6,10,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成28年経済センサス活動調査報告（産業横断的集計　東京都概況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第11表　区市町村、経営組織（７区分）別民営事業所数及び男女別従業者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）従業者数及び常用雇用者の総数には、男女の別が不詳の従業者を含むため、男性と女性の合計は総数と一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・町村部　2:西多摩郡・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
