産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
3,E,12,121,製材業，木製品製造業,82,271,211,60,22,-,-,-,42,85,56,29,11,83,66,17,6,80,71,9,1,23,18,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,122,造作材・合板・建築用組立材料製造業,112,672,527,145,31,-,-,-,49,118,80,38,14,84,61,23,11,139,120,19,1,22,14,8,4,169,124,45,2,140,128,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,123,木製容器製造業（竹，とうを含む）,79,199,120,76,34,-,-,-,32,74,39,32,8,47,36,11,4,56,29,27,1,22,16,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,129,その他の木製品製造業（竹，とうを含む）,146,296,207,89,60,-,-,-,66,132,86,46,14,93,68,25,6,71,53,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,13,000,家具・装備品製造業,1347,5968,4292,1670,448,-,-,-,679,1343,880,463,133,839,613,220,43,531,404,127,17,408,284,124,13,474,352,122,7,428,309,119,4,664,445,219,1,203,144,59,1,317,240,77,1,761,621,140
3,E,13,130,管理，補助的経済活動を行う事業所,34,860,548,312,4,-,-,-,18,28,10,18,2,13,6,7,3,36,23,13,2,48,28,20,2,88,56,32,-,-,-,-,2,330,185,145,-,-,-,-,1,317,240,77,-,-,-,-
3,E,13,131,家具製造業,651,3139,2432,701,200,-,-,-,340,709,495,214,71,456,348,102,20,251,211,40,6,145,122,23,7,240,173,67,4,243,202,41,2,334,260,74,-,-,-,-,-,-,-,-,1,761,621,140
3,E,13,132,宗教用具製造業,64,128,86,42,28,-,-,-,30,60,30,30,4,27,23,4,1,11,8,3,-,-,-,-,1,30,25,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,133,建具製造業,347,518,352,166,153,-,-,-,173,310,204,106,12,73,45,28,7,84,63,21,2,51,40,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,139,その他の家具・装備品製造業,251,1323,874,449,63,-,-,-,118,236,141,95,44,270,191,79,12,149,99,50,7,164,94,70,3,116,98,18,3,185,107,78,-,-,-,-,1,203,144,59,-,-,-,-,-,-,-,-
2,E,14,000,パルプ・紙・紙加工品製造業,1537,10461,6672,3668,378,-,-,-,678,1455,754,701,216,1458,892,566,148,1974,1252,722,54,1270,784,486,35,1314,833,481,18,1254,869,385,7,957,647,189,2,472,375,97,1,307,266,41,-,-,-,-
3,E,14,140,管理，補助的経済活動を行う事業所,60,1058,822,236,17,-,-,-,21,42,24,18,9,54,33,21,5,61,41,20,3,77,41,36,1,30,24,6,1,87,74,13,1,177,145,32,1,223,174,49,1,307,266,41,-,-,-,-
3,E,14,141,パルプ製造業,3,274,213,61,-,-,-,-,-,-,-,-,1,7,6,1,1,18,6,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,249,201,48,-,-,-,-,-,-,-,-
3,E,14,142,紙製造業,30,404,267,137,5,-,-,-,10,20,15,5,6,46,30,16,5,66,50,16,-,-,-,-,2,94,65,29,2,178,107,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,143,加工紙製造業,35,399,279,120,9,-,-,-,9,23,15,8,5,36,23,13,6,78,46,32,1,23,8,15,3,112,77,35,2,127,110,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,144,紙製品製造業,431,2849,1652,1197,117,-,-,-,188,405,197,208,50,343,208,135,35,448,245,203,22,520,312,208,7,244,140,104,10,663,443,220,2,226,107,119,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,145,紙製容器製造業,737,4452,2777,1554,170,-,-,-,332,708,365,343,107,720,433,287,81,1109,724,385,24,567,371,196,17,650,399,251,2,144,90,54,4,554,395,38,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,149,その他のパルプ・紙・紙加工品製造業,241,1025,662,363,60,-,-,-,118,257,138,119,38,252,159,93,15,194,140,54,4,83,52,31,5,184,128,56,1,55,45,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,15,000,印刷・同関連業,6887,69635,50232,19113,1448,-,-,-,3060,6405,3634,2737,1041,6804,4725,2044,648,8843,6329,2481,256,6167,4444,1695,199,7630,5605,2025,165,11286,8445,2841,42,5909,4194,1555,9,2263,1559,704,7,2938,2177,761,12,11390,9120,2270
3,E,15,150,管理，補助的経済活動を行う事業所,118,3467,2653,814,32,-,-,-,42,94,54,40,13,78,53,25,12,152,102,50,10,246,165,81,3,120,69,51,1,62,46,16,2,334,254,80,1,237,159,78,1,437,378,59,1,1707,1373,334
3,E,15,151,印刷業,4936,51898,37112,14545,1039,-,-,-,2153,4503,2523,1954,750,4902,3373,1507,472,6432,4513,1886,186,4522,3247,1275,153,5880,4449,1431,128,8714,6446,2268,33,4642,3251,1231,7,1806,1209,597,6,2501,1799,702,9,7996,6302,1694
3,E,15,152,製版業,490,7198,5566,1595,84,-,-,-,182,391,246,143,89,579,420,152,62,860,671,189,20,476,349,99,23,877,661,216,22,1505,1151,354,6,823,623,200,-,-,-,-,-,-,-,-,2,1687,1445,242
3,E,15,153,製本業，印刷物加工業,1240,6211,4309,1894,268,-,-,-,643,1346,776,568,172,1128,798,324,92,1254,931,323,36,833,616,217,17,629,367,262,10,691,564,127,1,110,66,44,1,220,191,29,-,-,-,-,-,-,-,-
3,E,15,159,印刷関連サービス業,103,861,592,265,25,-,-,-,40,71,35,32,17,117,81,36,10,145,112,33,4,90,67,23,3,124,59,65,4,314,238,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,16,000,化学工業,1078,48656,29378,14604,103,-,-,-,353,782,424,343,165,1083,686,361,137,1908,1157,736,98,2357,1513,844,72,2861,1877,984,63,4249,2709,1448,42,5760,3635,2125,18,4388,3010,1378,12,4986,3350,1636,15,20282,11017,4749
3,E,16,160,管理，補助的経済活動を行う事業所,202,15227,7762,2947,15,-,-,-,62,128,72,54,28,188,125,63,25,340,221,119,18,420,298,122,15,575,418,157,18,1198,878,320,7,788,601,187,5,1238,994,244,3,1277,911,366,6,9075,3244,1315
3,E,16,161,化学肥料製造業,4,127,88,39,1,-,-,-,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,124,86,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,162,無機化学工業製品製造業,76,1295,1042,253,7,-,-,-,31,71,54,17,13,93,78,15,8,110,81,29,8,190,139,51,4,144,126,18,4,257,205,52,-,-,-,-,-,-,-,-,1,430,359,71,-,-,-,-
3,E,16,163,有機化学工業製品製造業,82,2889,2098,787,10,-,-,-,23,48,19,25,14,86,64,22,15,202,129,73,5,114,72,42,5,207,136,71,4,280,211,69,4,478,385,93,-,-,-,-,1,369,203,166,1,1105,879,226
3,E,16,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,156,2884,2112,770,17,-,-,-,59,133,75,56,24,150,114,36,21,299,229,70,18,439,299,140,8,308,247,61,2,121,53,68,5,667,500,167,1,283,228,55,1,484,367,117,-,-,-,-
3,E,16,165,医薬品製造業,160,16189,10696,5378,5,-,-,-,35,87,49,38,22,141,82,51,15,225,121,89,17,410,256,154,14,583,380,203,17,1227,712,423,14,2092,1377,715,11,2642,1722,920,5,2012,1165,847,5,6770,4832,1938
3,E,16,166,化粧品・歯磨・その他の化粧用調整品製造業,216,6807,3437,3339,19,-,-,-,75,167,66,98,44,284,131,125,32,455,184,271,15,369,164,205,12,505,191,314,9,600,261,339,6,870,312,558,1,225,66,159,-,-,-,-,3,3332,2062,1270
3,E,16,169,その他の化学工業,182,3238,2143,1091,29,-,-,-,67,145,87,54,20,141,92,49,21,277,192,85,17,415,285,130,14,539,379,160,7,442,303,139,6,865,460,405,-,-,-,-,1,414,345,69,-,-,-,-
2,E,17,000,石油製品・石炭製品製造業,57,5195,4406,789,4,-,-,-,11,21,18,3,16,104,76,28,12,174,140,34,5,124,94,30,4,184,142,42,1,96,78,18,1,102,87,15,1,273,204,69,-,-,-,-,2,4117,3567,550
3,E,17,170,管理，補助的経済活動を行う事業所,11,4695,3999,696,-,-,-,-,-,-,-,-,3,20,8,12,1,12,9,3,1,29,20,9,1,46,26,20,1,96,78,18,1,102,87,15,1,273,204,69,-,-,-,-,2,4117,3567,550
3,E,17,171,石油精製業,4,32,26,6,1,-,-,-,1,2,1,1,1,7,7,-,-,-,-,-,1,23,18,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,172,潤滑油・グリース製造業（石油精製業によらないもの）,7,128,107,21,-,-,-,-,1,2,1,1,2,13,8,5,2,24,21,3,-,-,-,-,2,89,77,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,173,コークス製造業,1,3,3,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,174,舗装材料製造業,30,309,246,63,1,-,-,-,8,14,13,1,9,59,48,11,9,138,110,28,2,49,36,13,1,49,39,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,179,その他の石油製品・石炭製品製造業,4,28,25,3,2,-,-,-,-,-,-,-,1,5,5,-,-,-,-,-,1,23,20,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,18,000,プラスチック製品製造業（別掲を除く）,2142,16310,10703,5599,464,-,-,-,954,1987,1033,951,337,2231,1267,959,212,2880,1721,1159,93,2237,1449,788,46,1734,1172,562,17,1040,720,320,14,1753,1360,393,2,445,348,97,1,345,327,18,2,1658,1306,352
3,E,18,180,管理，補助的経済活動を行う事業所,121,3040,2414,626,24,-,-,-,51,96,58,38,15,104,64,40,11,154,107,47,5,118,88,30,5,194,143,51,5,324,274,50,3,392,374,18,-,-,-,-,-,-,-,-,2,1658,1306,352
3,E,18,181,プラスチック板・棒・管・継手・異形押出製品製造業,289,1295,843,452,80,-,-,-,135,256,153,103,34,218,145,73,24,320,216,104,10,239,165,74,4,149,86,63,2,113,78,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,182,プラスチックフィルム・シート・床材・合成皮革製造業,260,1764,1083,681,59,-,-,-,117,242,123,119,42,270,161,109,23,343,204,139,9,224,122,102,7,244,141,103,-,-,-,-,2,240,175,65,1,201,157,44,-,-,-,-,-,-,-,-
3,E,18,183,工業用プラスチック製品製造業,575,4554,2907,1642,104,-,-,-,235,480,242,238,115,763,416,342,68,921,551,370,31,745,509,236,10,356,253,103,5,311,235,76,6,734,510,224,1,244,191,53,-,-,-,-,-,-,-,-
3,E,18,184,発泡・強化プラスチック製品製造業,127,843,508,332,22,-,-,-,51,132,73,56,28,186,112,74,17,209,131,78,4,96,50,46,4,170,121,49,1,50,21,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,185,プラスチック成形材料製造業（廃プラスチックを含む）,113,317,180,137,40,-,-,-,52,101,39,62,16,92,56,36,2,24,19,5,1,26,6,20,2,74,60,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,189,その他のプラスチック製品製造業,657,4497,2768,1729,135,-,-,-,313,680,345,335,87,598,313,285,67,909,493,416,33,789,509,280,14,547,368,179,4,242,112,130,3,387,301,86,-,-,-,-,1,345,327,18,-,-,-,-
2,E,19,000,ゴム製品製造業,713,10358,7860,2490,180,-,-,-,332,751,362,381,96,648,395,253,58,788,450,338,25,592,386,206,10,368,261,107,4,316,238,78,2,277,225,52,1,299,299,-,2,658,539,119,3,5661,4705,956
3,E,19,190,管理，補助的経済活動を行う事業所,36,2911,2350,561,9,-,-,-,17,34,13,21,5,36,21,15,-,-,-,-,1,29,18,11,-,-,-,-,-,-,-,-,1,114,93,21,1,299,299,-,1,317,265,52,1,2082,1641,441
3,E,19,191,タイヤ・チューブ製造業,8,3608,3081,527,2,-,-,-,2,8,4,4,1,7,4,3,1,14,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3579,3064,515
3,E,19,192,ゴム製・プラスチック製履物・同附属品製造業,74,542,388,150,33,-,-,-,32,73,38,31,3,20,14,6,2,34,17,17,3,74,45,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,341,274,67,-,-,-,-
3,E,19,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,490,2808,1724,1080,115,-,-,-,226,508,248,256,68,462,277,185,49,650,358,292,19,447,293,154,9,329,226,103,3,249,190,59,1,163,132,31,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,199,その他のゴム製品製造業,105,489,317,172,21,-,-,-,55,128,59,69,19,123,79,44,6,90,66,24,2,42,30,12,1,39,35,4,1,67,48,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,20,000,なめし革・同製品・毛皮製造業,1666,5782,3211,2525,650,-,-,-,701,1348,631,702,170,1114,625,468,84,1091,628,453,28,673,413,260,22,775,482,293,10,674,348,326,1,107,84,23,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,200,管理，補助的経済活動を行う事業所,9,41,29,12,2,-,-,-,5,8,5,3,1,7,4,3,-,-,-,-,1,26,20,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,201,なめし革製造業,104,306,242,64,40,-,-,-,42,86,67,19,13,85,69,16,7,94,78,16,2,41,28,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,202,工業用革製品製造業（手袋を除く）,13,41,20,21,4,-,-,-,8,14,8,6,-,-,-,-,-,-,-,-,1,27,12,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,203,革製履物用材料・同附属品製造業,178,383,214,169,91,-,-,-,61,116,57,59,18,118,73,45,5,68,36,32,2,43,24,19,1,38,24,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,204,革製履物製造業,312,1974,1289,679,100,-,-,-,115,244,127,116,37,238,152,81,30,400,248,152,12,279,185,94,13,468,330,138,4,238,163,75,1,107,84,23,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,205,革製手袋製造業,3,12,6,6,-,-,-,-,2,5,2,3,1,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,206,かばん製造業,286,1021,505,487,100,-,-,-,132,268,104,153,30,191,97,86,18,236,144,82,1,28,17,11,1,31,12,19,4,267,131,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,207,袋物製造業,605,1675,749,915,240,-,-,-,267,483,203,277,62,413,200,205,22,273,116,157,8,201,115,86,4,136,61,75,2,169,54,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,208,毛皮製造業,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,209,その他のなめし革製品製造業,153,329,157,172,70,-,-,-,69,124,58,66,8,55,26,29,2,20,6,14,1,28,12,16,3,102,55,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,21,000,窯業・土石製品製造業,734,9056,7064,1987,176,-,-,-,260,532,305,222,113,772,575,197,98,1366,1097,269,33,739,622,117,27,1023,816,207,17,1159,920,239,4,471,346,125,2,454,392,62,3,1204,984,220,1,1336,1007,329
3,E,21,210,管理，補助的経済活動を行う事業所,54,1856,1454,402,8,-,-,-,20,51,23,28,10,71,50,21,2,28,22,6,3,65,45,20,4,141,105,36,4,296,225,71,-,-,-,-,-,-,-,-,3,1204,984,220,-,-,-,-
3,E,21,211,ガラス・同製品製造業,290,3470,2565,902,95,-,-,-,121,246,131,112,37,244,154,90,17,240,167,73,5,111,93,18,6,261,211,50,4,319,234,85,2,259,176,83,2,454,392,62,-,-,-,-,1,1336,1007,329
3,E,21,212,セメント・同製品製造業,176,2143,1798,343,15,-,-,-,40,89,67,20,39,274,233,41,48,663,565,98,20,445,385,60,9,330,262,68,4,242,207,35,1,100,79,21,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,213,建設用粘土製品製造業（陶磁器製を除く）,3,2,2,-,2,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,214,陶磁器・同関連製品製造業,35,96,68,28,12,-,-,-,16,22,9,13,4,28,20,8,2,23,19,4,1,23,20,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,215,耐火物製造業,10,167,139,28,3,-,-,-,3,6,3,3,2,14,13,1,-,-,-,-,-,-,-,-,-,-,-,-,2,147,123,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,216,炭素・黒鉛製品製造業,9,26,12,14,-,-,-,-,7,13,7,6,2,13,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,217,研磨材・同製品製造業,35,193,135,58,11,-,-,-,10,16,11,5,7,41,30,11,5,77,50,27,1,20,15,5,1,39,29,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,218,骨材・石工品等製造業,76,652,533,119,18,-,-,-,24,54,36,18,7,50,39,11,19,261,212,49,2,49,47,2,4,138,117,21,2,100,82,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,219,その他の窯業・土石製品製造業,46,451,358,93,12,-,-,-,18,33,16,17,5,37,31,6,5,74,62,12,1,26,17,9,3,114,92,22,1,55,49,6,1,112,91,21,-,-,-,-,-,-,-,-,-,-,-,-
2,E,22,000,鉄鋼業,495,7122,5911,1211,140,-,-,-,202,421,272,149,63,396,304,92,36,476,396,80,21,500,404,96,13,502,421,81,10,647,528,119,6,731,658,73,2,428,385,43,1,312,294,18,1,2709,2249,460
3,E,22,220,管理，補助的経済活動を行う事業所,34,3183,2589,594,2,-,-,-,12,25,14,11,6,38,25,13,4,45,39,6,4,88,64,24,2,76,43,33,3,202,155,47,-,-,-,-,-,-,-,-,-,-,-,-,1,2709,2249,460
3,E,22,221,製鉄業,5,40,29,11,2,-,-,-,2,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,1,34,26,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,222,製鋼・製鋼圧延業,1,139,125,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,139,125,14,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,23,1295,1159,136,4,-,-,-,7,15,11,4,1,7,6,1,2,25,19,6,-,-,-,-,1,32,25,7,2,136,100,36,3,340,319,21,2,428,385,43,1,312,294,18,-,-,-,-
3,E,22,224,表面処理鋼材製造業,3,19,16,3,1,-,-,-,1,2,1,1,-,-,-,-,1,17,15,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,225,鉄素形材製造業,81,648,535,113,25,-,-,-,25,47,32,15,15,99,74,25,4,50,45,5,5,125,99,26,5,211,192,19,2,116,93,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,229,その他の鉄鋼業,348,1798,1458,340,106,-,-,-,155,326,211,115,41,252,199,53,25,339,278,61,12,287,241,46,4,149,135,14,3,193,180,13,2,252,214,38,-,-,-,-,-,-,-,-,-,-,-,-
2,E,23,000,非鉄金属製造業,578,6837,4960,1867,179,-,-,-,241,457,257,197,68,425,254,164,42,585,402,183,15,352,270,82,11,405,316,89,9,563,451,112,7,818,635,183,2,499,415,84,1,404,-,404,3,2329,1960,369
3,E,23,230,管理，補助的経済活動を行う事業所,40,1673,1014,659,6,-,-,-,17,34,17,17,6,39,21,18,3,38,30,8,-,-,-,-,3,105,66,39,1,78,59,19,1,105,85,20,1,229,206,23,1,404,-,404,1,641,530,111
3,E,23,231,非鉄金属第１次製錬・精製業,8,869,694,175,-,-,-,-,3,9,4,5,1,8,6,2,1,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,2,229,178,51,-,-,-,-,-,-,-,-,1,613,498,115
3,E,23,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,84,559,420,139,41,-,-,-,28,54,31,23,5,33,22,11,5,78,46,32,2,43,40,3,2,81,72,9,-,-,-,-,-,-,-,-,1,270,209,61,-,-,-,-,-,-,-,-
3,E,23,233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,115,1720,1447,270,34,-,-,-,56,91,53,35,9,55,37,18,8,107,78,29,3,74,54,20,1,38,33,5,2,122,102,20,1,158,158,-,-,-,-,-,-,-,-,-,1,1075,932,143
3,E,23,234,電線・ケーブル製造業,74,751,413,331,21,-,-,-,24,54,18,36,12,74,30,37,7,94,38,56,2,46,41,5,3,96,67,29,3,164,97,67,2,223,122,101,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,235,非鉄金属素形材製造業,173,984,775,209,51,-,-,-,76,146,88,58,21,135,92,43,14,202,157,45,5,114,75,39,2,85,78,7,3,199,193,6,1,103,92,11,-,-,-,-,-,-,-,-,-,-,-,-
3,E,23,239,その他の非鉄金属製造業,84,281,197,84,26,-,-,-,37,69,46,23,14,81,46,35,4,56,45,11,3,75,60,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,24,000,金属製品製造業,5559,30849,22664,8166,1620,-,-,-,2549,5217,3288,1921,740,4760,3392,1357,405,5452,4049,1403,112,2660,2058,602,82,3168,2442,726,34,2271,1745,526,9,1156,918,238,4,1041,794,247,1,421,328,93,3,4703,3650,1053
3,E,24,240,管理，補助的経済活動を行う事業所,219,3258,2487,767,63,-,-,-,98,189,89,96,27,174,120,54,13,183,131,52,5,114,75,39,3,104,75,29,7,504,407,97,-,-,-,-,1,264,172,92,1,421,328,93,1,1305,1090,215
3,E,24,241,ブリキ缶・その他のめっき板等製品製造業,33,216,148,68,8,-,-,-,11,18,8,10,5,39,20,19,7,97,68,29,1,28,23,5,1,34,29,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,242,洋食器・刃物・手道具・金物類製造業,594,2339,1584,755,189,-,-,-,271,536,320,216,71,438,304,134,42,537,373,164,9,215,152,63,8,291,187,104,3,212,157,55,1,110,91,19,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,167,1385,1027,358,37,-,-,-,78,170,109,61,25,163,115,48,14,197,135,62,4,102,86,16,4,159,132,27,3,170,140,30,1,174,120,54,1,250,190,60,-,-,-,-,-,-,-,-
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,1434,9545,7360,2180,392,-,-,-,687,1466,1046,420,197,1257,991,261,107,1472,1161,311,26,617,532,85,16,609,482,127,4,230,184,46,2,241,184,57,1,255,220,35,-,-,-,-,2,3398,2560,838
3,E,24,245,金属素形材製品製造業,927,3408,2314,1088,302,-,-,-,432,857,520,337,99,631,422,203,67,898,631,267,16,391,280,111,6,244,166,78,4,282,204,78,1,105,91,14,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,1067,6229,4558,1671,270,-,-,-,454,953,588,365,186,1183,862,321,89,1190,876,314,30,695,542,153,24,950,752,198,11,737,551,186,2,249,175,74,1,272,212,60,-,-,-,-,-,-,-,-
3,E,24,247,金属線製品製造業（ねじ類を除く）,112,307,218,89,40,-,-,-,51,105,73,32,14,93,63,30,6,78,57,21,-,-,-,-,1,31,25,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,407,1715,1249,466,136,-,-,-,176,357,201,156,46,299,185,114,35,466,367,99,5,118,86,32,8,337,272,65,-,-,-,-,1,138,138,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,249,その他の金属製品製造業,599,2447,1719,724,183,-,-,-,291,566,334,228,70,483,310,173,25,334,250,84,16,380,282,98,11,409,322,87,2,136,102,34,1,139,119,20,-,-,-,-,-,-,-,-,-,-,-,-
2,E,25,000,はん用機械器具製造業,1382,16326,13013,3294,317,-,-,-,591,1183,741,438,221,1455,1126,324,119,1611,1265,336,48,1169,885,284,30,1131,894,237,30,1894,1440,454,11,1773,1542,231,8,1910,1565,345,2,752,633,119,5,3448,2922,526
